#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5698,40323934,TraAM80_00001,TraAM80_00001,-,-,Unknown,-,"putative immunodominant antigen, putative,tc40 antigen-like",protein-coding,-,-,-,"putative immunodominant antigen, putative,tc40 antigen-like",20200918,-
5698,40323955,TraAM80_00022,TraAM80_00022,-,-,Unknown,-,60S ribosomal protein L22,protein-coding,-,-,-,60S ribosomal protein L22,20200922,-
5698,40323956,TraAM80_00023,TraAM80_00023,-,-,Unknown,-,asparaginase,protein-coding,-,-,-,asparaginase,20200918,-
5698,40323957,TraAM80_00024,TraAM80_00024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323958,TraAM80_00025,TraAM80_00025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323959,TraAM80_00026,TraAM80_00026,-,-,Unknown,-,"metallo-peptidase, Clan MA(E), Family M3",protein-coding,-,-,-,"metallo-peptidase, Clan MA(E), Family M3",20200918,-
5698,40323960,TraAM80_00027,TraAM80_00027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323961,TraAM80_00028,TraAM80_00028,-,-,Unknown,-,chaperone DnaJ protein,protein-coding,-,-,-,chaperone DnaJ protein,20200918,-
5698,40323962,TraAM80_00029,TraAM80_00029,-,-,Unknown,-,putative amino acid permease-like protein,protein-coding,-,-,-,putative amino acid permease-like protein,20200918,-
5698,40323963,TraAM80_00030,TraAM80_00030,-,-,Unknown,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200918,-
5698,40323964,TraAM80_00031,TraAM80_00031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323965,TraAM80_00032,TraAM80_00032,-,-,Unknown,-,large subunit ribosomal protein L18e,protein-coding,-,-,-,large subunit ribosomal protein L18e,20200922,-
5698,40323966,TraAM80_00033,TraAM80_00033,-,-,Unknown,-,putative phosphoribosylpyrophosphate synthetase,protein-coding,-,-,-,putative phosphoribosylpyrophosphate synthetase,20200918,-
5698,40323967,TraAM80_00034,TraAM80_00034,-,-,Unknown,-,putative ABC1 protein,protein-coding,-,-,-,putative ABC1 protein,20200918,-
5698,40323968,TraAM80_00035,TraAM80_00035,-,-,Unknown,-,putative cell cycle sequence binding phosphoprotein (RBP45),protein-coding,-,-,-,putative cell cycle sequence binding phosphoprotein (RBP45),20200918,-
5698,40323969,TraAM80_00036,TraAM80_00036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323970,TraAM80_00037,TraAM80_00037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323971,TraAM80_00038,TraAM80_00038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323972,TraAM80_00039,TraAM80_00039,-,-,Unknown,-,syntaxin 1B/2/3,protein-coding,-,-,-,syntaxin 1B/2/3,20200918,-
5698,40323973,TraAM80_00040,TraAM80_00040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323974,TraAM80_00041,TraAM80_00041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323975,TraAM80_00042,TraAM80_00042,-,-,Unknown,-,unconventional myosin-XV-like,pseudo,-,-,-,-,20200918,-
5698,40323976,TraAM80_00043,TraAM80_00043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323977,TraAM80_00044,TraAM80_00044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323978,TraAM80_00045,TraAM80_00045,-,-,Unknown,-,"putative serine/threonine protein kinase, putative,protein kinase",protein-coding,-,-,-,"putative serine/threonine protein kinase, putative,protein kinase",20200918,-
5698,40323979,TraAM80_00046,TraAM80_00046,-,-,Unknown,-,Inosine triphosphate pyrophosphatase family protein ,protein-coding,-,-,-,Inosine triphosphate pyrophosphatase family protein ,20200918,-
5698,40323980,TraAM80_00047,TraAM80_00047,-,-,Unknown,-,putative CDC16,protein-coding,-,-,-,putative CDC16,20200918,-
5698,40323981,TraAM80_00048,TraAM80_00048,-,-,Unknown,-,60S acidic ribosomal protein,protein-coding,-,-,-,60S acidic ribosomal protein,20200918,-
5698,40323982,TraAM80_00049,TraAM80_00049,-,-,Unknown,-,putative MCAK-like kinesin,protein-coding,-,-,-,putative MCAK-like kinesin,20200918,-
5698,40323983,TraAM80_00050,TraAM80_00050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323984,TraAM80_00051,TraAM80_00051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323985,TraAM80_00052,TraAM80_00052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323986,TraAM80_00053,TraAM80_00053,-,-,Unknown,-,WD domain containing protein,protein-coding,-,-,-,WD domain containing protein,20200918,-
5698,40323987,TraAM80_00054,TraAM80_00054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323988,TraAM80_00055,TraAM80_00055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323989,TraAM80_00056,TraAM80_00056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323990,TraAM80_00057,TraAM80_00057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323991,TraAM80_00058,TraAM80_00058,-,-,Unknown,-,"phosphatidylinositol glycan, class P",protein-coding,-,-,-,"phosphatidylinositol glycan, class P",20200918,-
5698,40323992,TraAM80_00059,TraAM80_00059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323993,TraAM80_00060,TraAM80_00060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323994,TraAM80_00061,TraAM80_00061,-,-,Unknown,-,putative radial spoke protein 3,protein-coding,-,-,-,putative radial spoke protein 3,20200918,-
5698,40323995,TraAM80_00062,TraAM80_00062,-,-,Unknown,-,200 kDa antigen p200,protein-coding,-,-,-,200 kDa antigen p200,20200918,-
5698,40323996,TraAM80_00063,TraAM80_00063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40323997,TraAM80_00064,TraAM80_00064,-,-,Unknown,-,pleiotropic regulator 1,protein-coding,-,-,-,pleiotropic regulator 1,20200918,-
5698,40323998,TraAM80_00065,TraAM80_00065,-,-,Unknown,-,"putative heat shock protein HslVU, ATPase subunit HslU",protein-coding,-,-,-,"putative heat shock protein HslVU, ATPase subunit HslU",20200918,-
5698,40323999,TraAM80_00066,TraAM80_00066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324000,TraAM80_00067,TraAM80_00067,-,-,Unknown,-,RNA helicase,protein-coding,-,-,-,RNA helicase,20200918,-
5698,40324001,TraAM80_00068,TraAM80_00068,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324002,TraAM80_00069,TraAM80_00069,-,-,Unknown,-,solute carrier family 50 (sugar transporter),protein-coding,-,-,-,solute carrier family 50 (sugar transporter),20200918,-
5698,40324003,TraAM80_00070,TraAM80_00070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324004,TraAM80_00071,TraAM80_00071,-,-,Unknown,-,rab1 small GTP-binding protein,protein-coding,-,-,-,rab1 small GTP-binding protein,20200918,-
5698,40324005,TraAM80_00072,TraAM80_00072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324006,TraAM80_00073,TraAM80_00073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324007,TraAM80_00074,TraAM80_00074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324008,TraAM80_00075,TraAM80_00075,-,-,Unknown,-,succinyl-diaminopimelate desuccinylase-like protein,protein-coding,-,-,-,succinyl-diaminopimelate desuccinylase-like protein,20200918,-
5698,40324009,TraAM80_00076,TraAM80_00076,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324010,TraAM80_00077,TraAM80_00077,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324011,TraAM80_00078,TraAM80_00078,-,-,Unknown,-,co-chaperone GrpE,protein-coding,-,-,-,co-chaperone GrpE,20200918,-
5698,40324012,TraAM80_00079,TraAM80_00079,-,-,Unknown,-,kinesin,protein-coding,-,-,-,kinesin,20200918,-
5698,40324013,TraAM80_00080,TraAM80_00080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324014,TraAM80_00081,TraAM80_00081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324015,TraAM80_00082,TraAM80_00082,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324016,TraAM80_00083,TraAM80_00083,-,-,Unknown,-,putative 4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate synthesis protein,protein-coding,-,-,-,putative 4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate synthesis protein,20200918,-
5698,40324017,TraAM80_00084,TraAM80_00084,-,-,Unknown,-,putative metallo-beta-lactamase superfamily,protein-coding,-,-,-,putative metallo-beta-lactamase superfamily,20200918,-
5698,40324018,TraAM80_00085,TraAM80_00085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324019,TraAM80_00086,TraAM80_00086,-,-,Unknown,-,antigen 2,protein-coding,-,-,-,antigen 2,20200918,-
5698,40324020,TraAM80_00087,TraAM80_00087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324021,TraAM80_00088,TraAM80_00088,-,-,Unknown,-,mitochondrial oligo-U binding protein TBRGG1,protein-coding,-,-,-,mitochondrial oligo-U binding protein TBRGG1,20200918,-
5698,40324022,TraAM80_00089,TraAM80_00089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324023,TraAM80_00090,TraAM80_00090,-,-,Unknown,-,rac serine-threonine kinase-like protein,protein-coding,-,-,-,rac serine-threonine kinase-like protein,20200918,-
5698,40324024,TraAM80_00091,TraAM80_00091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324025,TraAM80_00092,TraAM80_00092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324026,TraAM80_00093,TraAM80_00093,-,-,Unknown,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20200918,-
5698,40324027,TraAM80_00094,TraAM80_00094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324028,TraAM80_00095,TraAM80_00095,-,-,Unknown,-,hypothetical protein,pseudo,-,-,-,-,20200918,-
5698,40324029,TraAM80_00096,TraAM80_00096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324030,TraAM80_00097,TraAM80_00097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324031,TraAM80_00098,TraAM80_00098,-,-,Unknown,-,hypothetical protein,pseudo,-,-,-,-,20200918,-
5698,40324032,TraAM80_00099,TraAM80_00099,-,-,Unknown,-,"dTDP-glucose 4,6-dehydratase",protein-coding,-,-,-,"dTDP-glucose 4,6-dehydratase",20200918,-
5698,40324033,TraAM80_00100,TraAM80_00100,-,-,Unknown,-,adenosine kinase,protein-coding,-,-,-,adenosine kinase,20200918,-
5698,40324034,TraAM80_00101,TraAM80_00101,-,-,Unknown,-,hypothetical protein,pseudo,-,-,-,-,20200918,-
5698,40324035,TraAM80_00102,TraAM80_00102,-,-,Unknown,-,putative ubiquitin-protein ligase,protein-coding,-,-,-,putative ubiquitin-protein ligase,20200918,-
5698,40324036,TraAM80_00103,TraAM80_00103,-,-,Unknown,-,putative ubiquitin-protein ligase,protein-coding,-,-,-,putative ubiquitin-protein ligase,20200918,-
5698,40324037,TraAM80_00104,TraAM80_00104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324038,TraAM80_00105,TraAM80_00105,-,-,Unknown,-,Aspartate ammonia-lyase,protein-coding,-,-,-,Aspartate ammonia-lyase,20200918,-
5698,40324039,TraAM80_00106,TraAM80_00106,-,-,Unknown,-,p22 protein precursor,protein-coding,-,-,-,p22 protein precursor,20200918,-
5698,40324040,TraAM80_00107,TraAM80_00107,-,-,Unknown,-,histone-binding protein RBBP7,protein-coding,-,-,-,histone-binding protein RBBP7,20200918,-
5698,40324041,TraAM80_00108,TraAM80_00108,-,-,Unknown,-,histone-binding protein RBBP7,protein-coding,-,-,-,histone-binding protein RBBP7,20200918,-
5698,40324042,TraAM80_00109,TraAM80_00109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324043,TraAM80_00110,TraAM80_00110,-,-,Unknown,-,p22 protein precursor,protein-coding,-,-,-,p22 protein precursor,20200918,-
5698,40324044,TraAM80_00111,TraAM80_00111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324045,TraAM80_00112,TraAM80_00112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324046,TraAM80_00113,TraAM80_00113,-,-,Unknown,-,putative protein kinase,protein-coding,-,-,-,putative protein kinase,20200918,-
5698,40324047,TraAM80_00114,TraAM80_00114,-,-,Unknown,-,putative ubiquitin conjugation factor E4 B,protein-coding,-,-,-,putative ubiquitin conjugation factor E4 B,20200918,-
5698,40324048,TraAM80_00115,TraAM80_00115,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324049,TraAM80_00116,TraAM80_00116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324050,TraAM80_00117,TraAM80_00117,-,-,Unknown,-,DnaJ chaperone protein,protein-coding,-,-,-,DnaJ chaperone protein,20200918,-
5698,40324051,TraAM80_00118,TraAM80_00118,-,-,Unknown,-,succinate dehydrogenase subunit,protein-coding,-,-,-,succinate dehydrogenase subunit,20200918,-
5698,40324052,TraAM80_00119,TraAM80_00119,-,-,Unknown,-,ribosome-associated protein,protein-coding,-,-,-,ribosome-associated protein,20200918,-
5698,40324053,TraAM80_00120,TraAM80_00120,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324054,TraAM80_00121,TraAM80_00121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324055,TraAM80_00122,TraAM80_00122,-,-,Unknown,-,DREV methyltransferase,protein-coding,-,-,-,DREV methyltransferase,20200918,-
5698,40324056,TraAM80_00123,TraAM80_00123,-,-,Unknown,-,putative RNA-binding protein,protein-coding,-,-,-,putative RNA-binding protein,20200918,-
5698,40324057,TraAM80_00124,TraAM80_00124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324058,TraAM80_00125,TraAM80_00125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324059,TraAM80_00126,TraAM80_00126,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324060,TraAM80_00127,TraAM80_00127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324061,TraAM80_00128,TraAM80_00128,-,-,Unknown,-,ER membrane DUF1077 domain-containing protein,protein-coding,-,-,-,ER membrane DUF1077 domain-containing protein,20200918,-
5698,40324062,TraAM80_00129,TraAM80_00129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324063,TraAM80_00130,TraAM80_00130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324064,TraAM80_00131,TraAM80_00131,-,-,Unknown,-,putative heat shock protein 33,protein-coding,-,-,-,putative heat shock protein 33,20200918,-
5698,40324065,TraAM80_00132,TraAM80_00132,-,-,Unknown,-,putative importin alpha,protein-coding,-,-,-,putative importin alpha,20200918,-
5698,40324066,TraAM80_00133,TraAM80_00133,-,-,Unknown,-,putative nucleolar MIF4G domain-containing protein 1-like,protein-coding,-,-,-,putative nucleolar MIF4G domain-containing protein 1-like,20200918,-
5698,40324067,TraAM80_00134,TraAM80_00134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324068,TraAM80_00135,TraAM80_00135,-,-,Unknown,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200918,-
5698,40324069,TraAM80_00136,TraAM80_00136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324070,TraAM80_00137,TraAM80_00137,-,-,Unknown,-,putative ubiquitin hydrolase,protein-coding,-,-,-,putative ubiquitin hydrolase,20200918,-
5698,40324071,TraAM80_00138,TraAM80_00138,-,-,Unknown,-,small nuclear ribonucleoprotein Sm-E,pseudo,-,-,-,-,20200918,-
5698,40324072,TraAM80_00139,TraAM80_00139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324073,TraAM80_00140,TraAM80_00140,-,-,Unknown,-,"zinc finger, c2h2 type domain containing protein",protein-coding,-,-,-,"zinc finger, c2h2 type domain containing protein",20200918,-
5698,40324074,TraAM80_00141,TraAM80_00141,-,-,Unknown,-,putative calcium-binding protein,protein-coding,-,-,-,putative calcium-binding protein,20200918,-
5698,40324075,TraAM80_00142,TraAM80_00142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324076,TraAM80_00143,TraAM80_00143,-,-,Unknown,-,pyridoxal kinase,protein-coding,-,-,-,pyridoxal kinase,20200918,-
5698,40324077,TraAM80_00144,TraAM80_00144,-,-,Unknown,-,transferase,protein-coding,-,-,-,transferase,20200918,-
5698,40324078,TraAM80_00145,TraAM80_00145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324079,TraAM80_00146,TraAM80_00146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324080,TraAM80_00147,TraAM80_00147,-,-,Unknown,-,putative vacuolar assembly protein vps41,protein-coding,-,-,-,putative vacuolar assembly protein vps41,20200918,-
5698,40324081,TraAM80_00148,TraAM80_00148,-,-,Unknown,-,vacuolar assembly protein vps41,protein-coding,-,-,-,vacuolar assembly protein vps41,20200918,-
5698,40324082,TraAM80_00149,TraAM80_00149,-,-,Unknown,-,putative ribosome biogenesis protein,protein-coding,-,-,-,putative ribosome biogenesis protein,20200918,-
5698,40324083,TraAM80_00150,TraAM80_00150,-,-,Unknown,-,putative ribosome biogenesis protein,protein-coding,-,-,-,putative ribosome biogenesis protein,20200918,-
5698,40324084,TraAM80_00151,TraAM80_00151,-,-,Unknown,-,L-threonine 3-dehydrogenase,protein-coding,-,-,-,L-threonine 3-dehydrogenase,20200918,-
5698,40324085,TraAM80_00152,TraAM80_00152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200922,-
5698,40324086,TraAM80_00153,TraAM80_00153,-,-,Unknown,-,U3 small nuclear ribonucloprotein (snRNP),protein-coding,-,-,-,U3 small nuclear ribonucloprotein (snRNP),20200918,-
5698,40324087,TraAM80_00154,TraAM80_00154,-,-,Unknown,-,protein ARV1,protein-coding,-,-,-,protein ARV1,20200918,-
5698,40324088,TraAM80_00155,TraAM80_00155,-,-,Unknown,-,trypanothione synthetase,protein-coding,-,-,-,trypanothione synthetase,20200918,-
5698,40324089,TraAM80_00156,TraAM80_00156,-,-,Unknown,-,putative trypanothione synthetase,protein-coding,-,-,-,putative trypanothione synthetase,20200918,-
5698,40324090,TraAM80_00157,TraAM80_00157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324091,TraAM80_00158,TraAM80_00158,-,-,Unknown,-,pumilio protein 8,protein-coding,-,-,-,pumilio protein 8,20200918,-
5698,40324092,TraAM80_00159,TraAM80_00159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324093,TraAM80_00160,TraAM80_00160,-,-,Unknown,-,putative rac serine-threonine kinase,protein-coding,-,-,-,putative rac serine-threonine kinase,20200918,-
5698,40324094,TraAM80_00161,TraAM80_00161,-,-,Unknown,-,putative protein kinase,protein-coding,-,-,-,putative protein kinase,20200918,-
5698,40324095,TraAM80_00162,TraAM80_00162,-,-,Unknown,-,putative microsomal signal peptidase subunit,protein-coding,-,-,-,putative microsomal signal peptidase subunit,20200918,-
5698,40324096,TraAM80_00163,TraAM80_00163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324097,TraAM80_00164,TraAM80_00164,-,-,Unknown,-,putative structural maintenance of chromosome (SMC) family protein,protein-coding,-,-,-,putative structural maintenance of chromosome (SMC) family protein,20200918,-
5698,40324098,TraAM80_00165,TraAM80_00165,-,-,Unknown,-,peroxisome assembly protein,protein-coding,-,-,-,peroxisome assembly protein,20200918,-
5698,40324099,TraAM80_00166,TraAM80_00166,-,-,Unknown,-,DHHC containing zinc finger protein,protein-coding,-,-,-,DHHC containing zinc finger protein,20200918,-
5698,40324100,TraAM80_00167,TraAM80_00167,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324101,TraAM80_00168,TraAM80_00168,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324102,TraAM80_00169,TraAM80_00169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324103,TraAM80_00170,TraAM80_00170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324104,TraAM80_00171,TraAM80_00171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324105,TraAM80_00172,TraAM80_00172,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324106,TraAM80_00173,TraAM80_00173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324107,TraAM80_00174,TraAM80_00174,-,-,Unknown,-,peroxin-2,protein-coding,-,-,-,peroxin-2,20200918,-
5698,40324108,TraAM80_00175,TraAM80_00175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5698,40324109,TraAM80_00176,TraAM80_00176,-,-,Unknown,-,putative membrane-bound acid phosphatase 2,protein-coding,-,-,-,putative membrane-bound acid phosphatase 2,20200918,-
5698,40324110,TraAM80_00177,TraAM80_00177,-,-,Unknown,-,putative proteasome regulatory non-ATPase subunit 6,protein-coding,-,-,-,putative proteasome regulatory non-ATPase subunit 6,20200918,-
