#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517966,60332659,2,I5H77_gp02,SEA_PIPER2020_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2517966,60332747,92,I5H77_gp92,SEA_PIPER2020_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332748,93,I5H77_gp93,SEA_PIPER2020_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332749,94,I5H77_gp94,SEA_PIPER2020_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332750,95,I5H77_gp95,SEA_PIPER2020_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332751,96,I5H77_gp96,SEA_PIPER2020_96,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517966,60332752,97,I5H77_gp97,SEA_PIPER2020_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332753,98,I5H77_gp98,SEA_PIPER2020_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2517966,60332754,44,I5H77_gp44,SEA_PIPER2020_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2517966,60332755,90,I5H77_gp90,SEA_PIPER2020_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2517966,60332756,1,I5H77_gp01,SEA_PIPER2020_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2517966,60338759,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
