#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1555201,26630266,PBI_EQUEMIOH13_2,PBI_EQUEMIOH13_2,-,-,-,-,VIP2 protein,protein-coding,-,-,-,VIP2 protein,20200910,-
1555201,26630284,PBI_EQUEMIOH13_20,PBI_EQUEMIOH13_20,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1555201,26630285,PBI_EQUEMIOH13_21,PBI_EQUEMIOH13_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630286,PBI_EQUEMIOH13_22,PBI_EQUEMIOH13_22,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1555201,26630287,PBI_EQUEMIOH13_23,PBI_EQUEMIOH13_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1555201,26630288,PBI_EQUEMIOH13_24,PBI_EQUEMIOH13_24,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1555201,26630289,PBI_EQUEMIOH13_25,PBI_EQUEMIOH13_25,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
1555201,26630290,PBI_EQUEMIOH13_27,PBI_EQUEMIOH13_27,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201026,-
1555201,26630291,PBI_EQUEMIOH13_28,PBI_EQUEMIOH13_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200910,-
1555201,26630292,PBI_EQUEMIOH13_26,PBI_EQUEMIOH13_26,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201026,-
1555201,26630293,PBI_EQUEMIOH13_29,PBI_EQUEMIOH13_29,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200910,-
1555201,26630294,PBI_EQUEMIOH13_30,PBI_EQUEMIOH13_30,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200910,-
1555201,26630295,PBI_EQUEMIOH13_31,PBI_EQUEMIOH13_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630296,PBI_EQUEMIOH13_32,PBI_EQUEMIOH13_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630297,PBI_EQUEMIOH13_33,PBI_EQUEMIOH13_33,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200910,-
1555201,26630298,PBI_EQUEMIOH13_34,PBI_EQUEMIOH13_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630299,PBI_EQUEMIOH13_35,PBI_EQUEMIOH13_35,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1555201,26630300,PBI_EQUEMIOH13_36,PBI_EQUEMIOH13_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630301,PBI_EQUEMIOH13_37,PBI_EQUEMIOH13_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630302,PBI_EQUEMIOH13_38,PBI_EQUEMIOH13_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630303,PBI_EQUEMIOH13_39,PBI_EQUEMIOH13_39,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20200910,-
1555201,26630304,PBI_EQUEMIOH13_40,PBI_EQUEMIOH13_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630305,PBI_EQUEMIOH13_41,PBI_EQUEMIOH13_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630306,PBI_EQUEMIOH13_42,PBI_EQUEMIOH13_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630307,PBI_EQUEMIOH13_43,PBI_EQUEMIOH13_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630308,PBI_EQUEMIOH13_44,PBI_EQUEMIOH13_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630309,PBI_EQUEMIOH13_45,PBI_EQUEMIOH13_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1555201,26630310,PBI_EQUEMIOH13_46,PBI_EQUEMIOH13_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630311,PBI_EQUEMIOH13_47,PBI_EQUEMIOH13_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630312,PBI_EQUEMIOH13_48,PBI_EQUEMIOH13_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630313,PBI_EQUEMIOH13_49,PBI_EQUEMIOH13_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630314,PBI_EQUEMIOH13_50,PBI_EQUEMIOH13_50,-,-,-,-,ThyX-like protein,protein-coding,-,-,-,ThyX-like protein,20200910,-
1555201,26630315,PBI_EQUEMIOH13_51,PBI_EQUEMIOH13_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630316,PBI_EQUEMIOH13_52,PBI_EQUEMIOH13_52,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200910,-
1555201,26630317,PBI_EQUEMIOH13_53,PBI_EQUEMIOH13_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630318,PBI_EQUEMIOH13_54,PBI_EQUEMIOH13_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630319,PBI_EQUEMIOH13_55,PBI_EQUEMIOH13_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630320,PBI_EQUEMIOH13_56,PBI_EQUEMIOH13_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630321,PBI_EQUEMIOH13_57,PBI_EQUEMIOH13_57,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201026,-
1555201,26630322,PBI_EQUEMIOH13_58,PBI_EQUEMIOH13_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630323,PBI_EQUEMIOH13_59,PBI_EQUEMIOH13_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630324,PBI_EQUEMIOH13_60,PBI_EQUEMIOH13_60,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201026,-
1555201,26630325,PBI_EQUEMIOH13_61,PBI_EQUEMIOH13_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630326,PBI_EQUEMIOH13_62,PBI_EQUEMIOH13_62,-,-,-,-,endo VII protein,protein-coding,-,-,-,endo VII protein,20201026,-
1555201,26630327,PBI_EQUEMIOH13_63,PBI_EQUEMIOH13_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630328,PBI_EQUEMIOH13_64,PBI_EQUEMIOH13_64,-,-,-,-,esterase/lipase,protein-coding,-,-,-,esterase/lipase,20200910,-
1555201,26630329,PBI_EQUEMIOH13_65,PBI_EQUEMIOH13_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630330,PBI_EQUEMIOH13_66,PBI_EQUEMIOH13_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630331,PBI_EQUEMIOH13_67,PBI_EQUEMIOH13_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630332,PBI_EQUEMIOH13_68,PBI_EQUEMIOH13_68,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200910,-
1555201,26630333,PBI_EQUEMIOH13_69,PBI_EQUEMIOH13_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630334,PBI_EQUEMIOH13_70,PBI_EQUEMIOH13_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630335,PBI_EQUEMIOH13_71,PBI_EQUEMIOH13_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630336,PBI_EQUEMIOH13_72,PBI_EQUEMIOH13_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630337,PBI_EQUEMIOH13_73,PBI_EQUEMIOH13_73,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1555201,26630338,PBI_EQUEMIOH13_74,PBI_EQUEMIOH13_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630339,PBI_EQUEMIOH13_75,PBI_EQUEMIOH13_75,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1555201,26630340,PBI_EQUEMIOH13_76,PBI_EQUEMIOH13_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630341,PBI_EQUEMIOH13_77,PBI_EQUEMIOH13_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630342,PBI_EQUEMIOH13_78,PBI_EQUEMIOH13_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630343,PBI_EQUEMIOH13_79,PBI_EQUEMIOH13_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630344,PBI_EQUEMIOH13_80,PBI_EQUEMIOH13_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630345,PBI_EQUEMIOH13_81,PBI_EQUEMIOH13_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630346,PBI_EQUEMIOH13_82,PBI_EQUEMIOH13_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630347,PBI_EQUEMIOH13_83,PBI_EQUEMIOH13_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630348,PBI_EQUEMIOH13_84,PBI_EQUEMIOH13_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630349,PBI_EQUEMIOH13_85,PBI_EQUEMIOH13_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630350,PBI_EQUEMIOH13_86,PBI_EQUEMIOH13_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630351,PBI_EQUEMIOH13_87,PBI_EQUEMIOH13_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630352,PBI_EQUEMIOH13_88,PBI_EQUEMIOH13_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630353,PBI_EQUEMIOH13_89,PBI_EQUEMIOH13_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630354,PBI_EQUEMIOH13_90,PBI_EQUEMIOH13_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630355,PBI_EQUEMIOH13_91,PBI_EQUEMIOH13_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630356,PBI_EQUEMIOH13_92,PBI_EQUEMIOH13_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630357,PBI_EQUEMIOH13_93,PBI_EQUEMIOH13_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630358,PBI_EQUEMIOH13_94,PBI_EQUEMIOH13_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630359,PBI_EQUEMIOH13_95,PBI_EQUEMIOH13_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630360,PBI_EQUEMIOH13_96,PBI_EQUEMIOH13_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630361,PBI_EQUEMIOH13_97,PBI_EQUEMIOH13_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26630362,PBI_EQUEMIOH13_1,PBI_EQUEMIOH13_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1555201,26680662,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Equemioh13).,other,-,-,-,-,20200513,-
