#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
665032,8683949,2,DP-phiW-14_gp002,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20201220,-
665032,8683977,30,DP-phiW-14_gp030,-,-,-,-,DNA helicase UvsW,protein-coding,-,-,-,DNA helicase UvsW,20201220,-
665032,8683978,31,DP-phiW-14_gp031,-,-,-,-,putative repair and recombination protein UvsY,protein-coding,-,-,-,putative repair and recombination protein UvsY,20201220,-
665032,8683979,32,DP-phiW-14_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683980,33,DP-phiW-14_gp033,-,-,-,-,gp3 tail completion and sheath stabilizer protein,protein-coding,-,-,-,gp3 tail completion and sheath stabilizer protein,20201220,-
665032,8683981,34,DP-phiW-14_gp034,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201220,-
665032,8683982,35,DP-phiW-14_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683983,37,DP-phiW-14_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683984,38,DP-phiW-14_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683985,39,DP-phiW-14_gp038,-,-,-,-,gp23 major head protein,protein-coding,-,-,-,gp23 major head protein,20201220,-
665032,8683986,40,DP-phiW-14_gp039,-,-,-,-,gp22 prohead core scaffold protein,protein-coding,-,-,-,gp22 prohead core scaffold protein,20201220,-
665032,8683987,41,DP-phiW-14_gp040,-,-,-,-,gp21 prohead core and protease,protein-coding,-,-,-,gp21 prohead core and protease,20201220,-
665032,8683988,42,DP-phiW-14_gp041,-,-,-,-,gp68-like protein,protein-coding,-,-,-,gp68-like protein,20201220,-
665032,8683989,43,DP-phiW-14_gp042,-,-,-,-,gp20 portal vertex protein of head,protein-coding,-,-,-,gp20 portal vertex protein of head,20201220,-
665032,8683990,44,DP-phiW-14_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8683991,45,DP-phiW-14_gp044,-,-,-,-,gp19 tail tube protein,protein-coding,-,-,-,gp19 tail tube protein,20201220,-
665032,8683992,46,DP-phiW-14_gp045,-,-,-,-,gp18 tail sheath protein,protein-coding,-,-,-,gp18 tail sheath protein,20201220,-
665032,8683993,47,DP-phiW-14_gp046,-,-,-,-,gp17 terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,gp17 terminase DNA packaging enzyme large subunit,20201220,-
665032,8683994,47A,DP-phiW-14_gp047,-,-,-,-,terminase DNA packaging enzyme large subunit,pseudo,-,-,-,-,20201220,-
665032,8683995,48,DP-phiW-14_gp048,-,-,-,-,gp16 terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,gp16 terminase DNA packaging enzyme small subunit,20201220,-
665032,8683996,49,DP-phiW-14_gp049,-,-,-,-,gp15 tail sheath stabilizer and completion protein,protein-coding,-,-,-,gp15 tail sheath stabilizer and completion protein,20201220,-
665032,8683997,50,DP-phiW-14_gp050,-,-,-,-,gp14 neck protein,protein-coding,-,-,-,gp14 neck protein,20201220,-
665032,8683998,51,DP-phiW-14_gp051,-,-,-,-,gp13 neck protein,protein-coding,-,-,-,gp13 neck protein,20201220,-
665032,8683999,52,DP-phiW-14_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684000,53,DP-phiW-14_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684001,54,DP-phiW-14_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684002,55,DP-phiW-14_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684003,56,DP-phiW-14_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684004,57,DP-phiW-14_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684005,58,DP-phiW-14_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684006,59,DP-phiW-14_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684007,60,DP-phiW-14_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684008,61,DP-phiW-14_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684009,62,DP-phiW-14_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684010,63,DP-phiW-14_gp063,-,-,-,-,gp36 hinge connector of long tail fiber distal connector,protein-coding,-,-,-,gp36 hinge connector of long tail fiber distal connector,20201220,-
665032,8684011,64,DP-phiW-14_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684012,65,DP-phiW-14_gp065,-,-,-,-,gp6 baseplate wedge subunit,protein-coding,-,-,-,gp6 baseplate wedge subunit,20201220,-
665032,8684013,66,DP-phiW-14_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684014,67,DP-phiW-14_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684015,68,DP-phiW-14_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684016,69,DP-phiW-14_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684017,70,DP-phiW-14_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684018,71,DP-phiW-14_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684019,72,DP-phiW-14_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684020,73,DP-phiW-14_gp073,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20201220,-
665032,8684021,74,DP-phiW-14_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684022,75,DP-phiW-14_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684023,76,DP-phiW-14_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684024,77,DP-phiW-14_gp077,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201220,-
665032,8684025,78,DP-phiW-14_gp078,-,-,-,-,phoH-like protein,protein-coding,-,-,-,phoH-like protein,20201220,-
665032,8684026,79,DP-phiW-14_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684027,80,DP-phiW-14_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684028,81,DP-phiW-14_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684029,82A,DP-phiW-14_gp082,-,-,-,-,baseplate hub subunit and tail lysozyme,pseudo,-,-,-,-,20201220,-
665032,8684030,82,DP-phiW-14_gp083,-,-,-,-,gp5 baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,gp5 baseplate hub subunit and tail lysozyme,20201220,-
665032,8684031,83,DP-phiW-14_gp084,-,-,-,-,gp25 base plate wedge subunit,protein-coding,-,-,-,gp25 base plate wedge subunit,20201220,-
665032,8684032,84,DP-phiW-14_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684033,85,DP-phiW-14_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684034,86,DP-phiW-14_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684035,87,DP-phiW-14_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684036,88,DP-phiW-14_gp089,-,-,-,-,Tk.4 conserved hypothetical protein,protein-coding,-,-,-,Tk.4 conserved hypothetical protein,20201220,-
665032,8684037,89,DP-phiW-14_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684038,90,DP-phiW-14_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684039,91,DP-phiW-14_gp092,-,-,-,-,putative glutathionylspermidine synthase,protein-coding,-,-,-,putative glutathionylspermidine synthase,20201220,-
665032,8684040,92,DP-phiW-14_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684041,93,DP-phiW-14_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684042,94,DP-phiW-14_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684043,95,DP-phiW-14_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684044,96,DP-phiW-14_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684045,97,DP-phiW-14_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684046,98,DP-phiW-14_gp099,-,-,-,-,NrdA.1 conserved hypothetical protein,protein-coding,-,-,-,NrdA.1 conserved hypothetical protein,20201220,-
665032,8684047,99,DP-phiW-14_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684048,100,DP-phiW-14_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684049,101,DP-phiW-14_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684050,102,DP-phiW-14_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684051,103,DP-phiW-14_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684052,104,DP-phiW-14_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684053,105,DP-phiW-14_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684054,106,DP-phiW-14_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684055,107,DP-phiW-14_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684056,108,DP-phiW-14_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684057,109,DP-phiW-14_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684058,110,DP-phiW-14_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684059,111,DP-phiW-14_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684060,112,DP-phiW-14_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684061,113,DP-phiW-14_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684062,114,DP-phiW-14_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684063,115,DP-phiW-14_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684064,116,DP-phiW-14_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684065,117,DP-phiW-14_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684066,118,DP-phiW-14_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684067,119,DP-phiW-14_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684068,120,DP-phiW-14_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684069,121,DP-phiW-14_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684070,122,DP-phiW-14_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684071,123,DP-phiW-14_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684072,124,DP-phiW-14_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684073,125,DP-phiW-14_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684074,126,DP-phiW-14_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684075,127,DP-phiW-14_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684076,128,DP-phiW-14_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684077,129,DP-phiW-14_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684078,130,DP-phiW-14_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684079,131,DP-phiW-14_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684080,132,DP-phiW-14_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684081,133,DP-phiW-14_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684082,134,DP-phiW-14_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684083,135,DP-phiW-14_gp136,-,-,-,-,RnlB RNA ligase 2,protein-coding,-,-,-,RnlB RNA ligase 2,20201220,-
665032,8684084,136,DP-phiW-14_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684085,137,DP-phiW-14_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684086,138,DP-phiW-14_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684087,139,DP-phiW-14_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684088,140,DP-phiW-14_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684089,141,DP-phiW-14_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684090,142,DP-phiW-14_gp143,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
665032,8684091,143,DP-phiW-14_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684092,144,DP-phiW-14_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684093,145,DP-phiW-14_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684094,146,DP-phiW-14_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684095,147,DP-phiW-14_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684096,148,DP-phiW-14_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684097,149,DP-phiW-14_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684098,150,DP-phiW-14_gp151,-,-,-,-,putative gp42 dCMP hydroxymethylase,protein-coding,-,-,-,putative gp42 dCMP hydroxymethylase,20201220,-
665032,8684099,151,DP-phiW-14_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684100,152,DP-phiW-14_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684101,153,DP-phiW-14_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684102,154,DP-phiW-14_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684103,155,DP-phiW-14_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684104,156,DP-phiW-14_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684105,157,DP-phiW-14_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684106,158,DP-phiW-14_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684107,159,DP-phiW-14_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684108,160,DP-phiW-14_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684109,161,DP-phiW-14_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684110,162,DP-phiW-14_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684111,163,DP-phiW-14_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684112,164,DP-phiW-14_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684113,165,DP-phiW-14_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684114,166,DP-phiW-14_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684115,167,DP-phiW-14_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684116,168,DP-phiW-14_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684117,169,DP-phiW-14_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684118,170,DP-phiW-14_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684119,171,DP-phiW-14_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684120,172,DP-phiW-14_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684121,173,DP-phiW-14_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684122,174,DP-phiW-14_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684123,175,DP-phiW-14_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684124,176,DP-phiW-14_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684125,177,DP-phiW-14_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684126,178,DP-phiW-14_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684127,179,DP-phiW-14_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684128,180,DP-phiW-14_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684129,181,DP-phiW-14_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684130,182,DP-phiW-14_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684131,183,DP-phiW-14_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684132,184,DP-phiW-14_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684133,185,DP-phiW-14_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684134,186,DP-phiW-14_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684135,187,DP-phiW-14_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684136,188,DP-phiW-14_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684137,189,DP-phiW-14_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684138,190,DP-phiW-14_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684139,191,DP-phiW-14_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684140,192,DP-phiW-14_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684141,193,DP-phiW-14_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684142,194,DP-phiW-14_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684143,195,DP-phiW-14_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684144,196,DP-phiW-14_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684145,197,DP-phiW-14_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684146,198,DP-phiW-14_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684147,199,DP-phiW-14_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684148,200,DP-phiW-14_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684149,201,DP-phiW-14_gp202,-,-,-,-,gp30 DNA ligase,protein-coding,-,-,-,gp30 DNA ligase,20201220,-
665032,8684150,202,DP-phiW-14_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684151,203,DP-phiW-14_gp204,-,-,-,-,dexA exonuclease A,protein-coding,-,-,-,dexA exonuclease A,20201220,-
665032,8684152,204,DP-phiW-14_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
665032,8684153,205,DP-phiW-14_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
