#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340534,16900979,N271_gp02,N271_gp02,Jersey_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1340534,16900995,N271_gp26,N271_gp26,Jersey_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900996,N271_gp27,N271_gp27,Jersey_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900997,N271_gp17,N271_gp17,Jersey_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16900998,N271_gp42,N271_gp42,Jersey_42,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1340534,16900999,N271_gp56,N271_gp56,Jersey_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901000,N271_gp21,N271_gp21,Jersey_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901001,N271_gp34,N271_gp34,Jersey_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901002,N271_gp60,N271_gp60,Jersey_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901003,N271_gp40,N271_gp40,Jersey_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901004,N271_gp69,N271_gp69,Jersey_69,-,-,-,putative NinH protein,protein-coding,-,-,-,putative NinH protein,20200629,-
1340534,16901005,N271_gp49,N271_gp49,Jersey_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901006,N271_gp22,N271_gp22,Jersey_22,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1340534,16901007,N271_gp64,N271_gp64,Jersey_64,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1340534,16901008,N271_gp61,N271_gp61,Jersey_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901009,N271_gp57,N271_gp57,Jersey_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901010,N271_gp29,N271_gp29,Jersey_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901011,N271_gp51,N271_gp51,Jersey_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901012,N271_gp52,N271_gp52,Jersey_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901013,N271_gp35,N271_gp35,Jersey_35,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1340534,16901014,N271_gp32,N271_gp32,Jersey_32,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1340534,16901015,N271_gp50,N271_gp50,Jersey_50,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1340534,16901016,N271_gp25,N271_gp25,Jersey_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901017,N271_gp36,N271_gp36,Jersey_36,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1340534,16901018,N271_gp18,N271_gp18,Jersey_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901019,N271_gp38,N271_gp38,Jersey_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901020,N271_gp39,N271_gp39,Jersey_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901021,N271_gp24,N271_gp24,Jersey_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901022,N271_gp66,N271_gp66,Jersey_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901023,N271_gp41,N271_gp41,Jersey_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901024,N271_gp58,N271_gp58,Jersey_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901025,N271_gp48,N271_gp48,Jersey_48,-,-,-,NinX protein,protein-coding,-,-,-,NinX protein,20200629,-
1340534,16901026,N271_gp45,N271_gp45,Jersey_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901027,N271_gp44,N271_gp44,Jersey_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901028,N271_gp37,N271_gp37,Jersey_37,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20200629,-
1340534,16901029,N271_gp23,N271_gp23,Jersey_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901030,N271_gp43,N271_gp43,Jersey_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901031,N271_gp33,N271_gp33,Jersey_33,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200629,-
1340534,16901032,N271_gp54,N271_gp54,Jersey_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901033,N271_gp53,N271_gp53,Jersey_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901034,N271_gp65,N271_gp65,Jersey_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901035,N271_gp28,N271_gp28,Jersey_28,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1340534,16901036,N271_gp55,N271_gp55,Jersey_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901037,N271_gp19,N271_gp19,Jersey_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901038,N271_gp67,N271_gp67,Jersey_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901039,N271_gp46,N271_gp46,Jersey_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1340534,16901040,N271_gp62,N271_gp62,Jersey_62,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1340534,16901041,N271_gp47,N271_gp47,Jersey_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901042,N271_gp20,N271_gp20,Jersey_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901043,N271_gp63,N271_gp63,Jersey_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901044,N271_gp01,N271_gp01,Jersey_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1340534,16901045,N271_gp06,N271_gp06,Jersey_06,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1340534,16901046,N271_gp09,N271_gp09,Jersey_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16901047,N271_gp68,N271_gp68,Jersey_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340534,16976907,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
