#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675549,26633473,FLORINDA_2,FLORINDA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1675549,26633487,FLORINDA_16,FLORINDA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633488,FLORINDA_17,FLORINDA_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1675549,26633489,FLORINDA_18,FLORINDA_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1675549,26633490,FLORINDA_19,FLORINDA_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1675549,26633491,FLORINDA_20,FLORINDA_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675549,26633492,FLORINDA_21,FLORINDA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633493,FLORINDA_22,FLORINDA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633494,FLORINDA_23,FLORINDA_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633495,FLORINDA_24,FLORINDA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633496,FLORINDA_25,FLORINDA_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633497,FLORINDA_26,FLORINDA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633498,FLORINDA_27,FLORINDA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633499,FLORINDA_28,FLORINDA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633500,FLORINDA_29,FLORINDA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633501,FLORINDA_30,FLORINDA_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1675549,26633502,FLORINDA_31,FLORINDA_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200629,-
1675549,26633503,FLORINDA_32,FLORINDA_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1675549,26633504,FLORINDA_33,FLORINDA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633505,FLORINDA_34,FLORINDA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633506,FLORINDA_35,FLORINDA_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20200629,-
1675549,26633507,FLORINDA_36,FLORINDA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633508,FLORINDA_37,FLORINDA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633509,FLORINDA_38,FLORINDA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633510,FLORINDA_39,FLORINDA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633511,FLORINDA_40,FLORINDA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633512,FLORINDA_41,FLORINDA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633513,FLORINDA_42,FLORINDA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633514,FLORINDA_43,FLORINDA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633515,FLORINDA_44,FLORINDA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633516,FLORINDA_45,FLORINDA_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633517,FLORINDA_46,FLORINDA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633518,FLORINDA_47,FLORINDA_47,-,-,-,-,HTH binding domain,protein-coding,-,-,-,HTH binding domain,20210424,-
1675549,26633519,FLORINDA_48,FLORINDA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633520,FLORINDA_49,FLORINDA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633521,FLORINDA_50,FLORINDA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633522,FLORINDA_51,FLORINDA_51,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1675549,26633523,FLORINDA_52,FLORINDA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633524,FLORINDA_53,FLORINDA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633525,FLORINDA_54,FLORINDA_54,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1675549,26633526,FLORINDA_55,FLORINDA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633527,FLORINDA_56,FLORINDA_56,-,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20200629,-
1675549,26633528,FLORINDA_57,FLORINDA_57,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200629,-
1675549,26633529,FLORINDA_58,FLORINDA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633530,FLORINDA_59,FLORINDA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633531,FLORINDA_60,FLORINDA_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633532,FLORINDA_61,FLORINDA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633533,FLORINDA_62,FLORINDA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1675549,26633534,FLORINDA_63,FLORINDA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633535,FLORINDA_64,FLORINDA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633536,FLORINDA_65,FLORINDA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633537,FLORINDA_66,FLORINDA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633538,FLORINDA_67,FLORINDA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633539,FLORINDA_68,FLORINDA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1675549,26633540,FLORINDA_69,FLORINDA_69,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200629,-
1675549,26633541,FLORINDA_70,FLORINDA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633542,FLORINDA_71,FLORINDA_71,-,-,-,-,HTH DNA-binding domain protein,protein-coding,-,-,-,HTH DNA-binding domain protein,20200629,-
1675549,26633543,FLORINDA_72,FLORINDA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633544,FLORINDA_73,FLORINDA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633545,FLORINDA_74,FLORINDA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633546,FLORINDA_75,FLORINDA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633547,FLORINDA_76,FLORINDA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633548,FLORINDA_77,FLORINDA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633549,FLORINDA_78,FLORINDA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633550,FLORINDA_79,FLORINDA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633551,FLORINDA_80,FLORINDA_80,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1675549,26633552,FLORINDA_81,FLORINDA_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633553,FLORINDA_82,FLORINDA_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633554,FLORINDA_83,FLORINDA_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633555,FLORINDA_84,FLORINDA_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633556,FLORINDA_85,FLORINDA_85,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1675549,26633557,FLORINDA_86,FLORINDA_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633558,FLORINDA_87,FLORINDA_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633559,FLORINDA_88,FLORINDA_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633560,FLORINDA_89,FLORINDA_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633561,FLORINDA_90,FLORINDA_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633562,FLORINDA_91,FLORINDA_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633563,FLORINDA_92,FLORINDA_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633564,FLORINDA_93,FLORINDA_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633565,FLORINDA_94,FLORINDA_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633566,FLORINDA_95,FLORINDA_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633567,FLORINDA_96,FLORINDA_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633568,FLORINDA_97,FLORINDA_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633569,FLORINDA_98,FLORINDA_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633570,FLORINDA_99,FLORINDA_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633571,FLORINDA_100,FLORINDA_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633572,FLORINDA_101,FLORINDA_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633573,FLORINDA_102,FLORINDA_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633574,FLORINDA_103,FLORINDA_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633575,FLORINDA_104,FLORINDA_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633576,FLORINDA_105,FLORINDA_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633577,FLORINDA_106,FLORINDA_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633578,FLORINDA_107,FLORINDA_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633579,FLORINDA_108,FLORINDA_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633580,FLORINDA_109,FLORINDA_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633581,FLORINDA_110,FLORINDA_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633582,FLORINDA_111,FLORINDA_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633583,FLORINDA_112,FLORINDA_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633584,FLORINDA_113,FLORINDA_113,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200629,-
1675549,26633585,FLORINDA_114,FLORINDA_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633586,FLORINDA_115,FLORINDA_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633587,FLORINDA_116,FLORINDA_116,-,-,-,-,glycosyltransferase domain protein,protein-coding,-,-,-,glycosyltransferase domain protein,20200629,-
1675549,26633588,FLORINDA_117,FLORINDA_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26633589,FLORINDA_1,FLORINDA_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1675549,26680879,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Florinda).,other,-,-,-,-,20200513,-
