#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647301,26637305,2,SEA_VINCENZO_2,-,-,-,-,carboxylate deaminase,protein-coding,-,-,-,carboxylate deaminase,20201221,-
1647301,26637326,23,SEA_VINCENZO_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637327,24,SEA_VINCENZO_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1647301,26637328,25,SEA_VINCENZO_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637329,26,SEA_VINCENZO_26,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1647301,26637330,27,SEA_VINCENZO_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647301,26637331,28,SEA_VINCENZO_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647301,26637332,29,SEA_VINCENZO_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647301,26637333,30,SEA_VINCENZO_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647301,26637334,31,SEA_VINCENZO_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647301,26637335,32,SEA_VINCENZO_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637336,33,SEA_VINCENZO_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637337,34,SEA_VINCENZO_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637338,35,SEA_VINCENZO_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637339,36,SEA_VINCENZO_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637340,37,SEA_VINCENZO_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637341,38,SEA_VINCENZO_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637342,39,SEA_VINCENZO_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637343,40,SEA_VINCENZO_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637344,41,SEA_VINCENZO_41,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1647301,26637345,42,SEA_VINCENZO_42,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1647301,26637346,43,SEA_VINCENZO_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637347,44,SEA_VINCENZO_44,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1647301,26637348,45,SEA_VINCENZO_45,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1647301,26637349,46,SEA_VINCENZO_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637350,47,SEA_VINCENZO_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637351,48,SEA_VINCENZO_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637352,49,SEA_VINCENZO_49,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1647301,26637353,50,SEA_VINCENZO_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637354,51,SEA_VINCENZO_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637355,52,SEA_VINCENZO_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637356,53,SEA_VINCENZO_53,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201221,-
1647301,26637357,54,SEA_VINCENZO_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637358,55,SEA_VINCENZO_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637359,56,SEA_VINCENZO_56,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1647301,26637360,57,SEA_VINCENZO_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637361,58,SEA_VINCENZO_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637362,59,SEA_VINCENZO_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637363,60,SEA_VINCENZO_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637364,61,SEA_VINCENZO_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637365,62,SEA_VINCENZO_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637366,63,SEA_VINCENZO_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637367,64,SEA_VINCENZO_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637368,65,SEA_VINCENZO_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637369,66,SEA_VINCENZO_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637370,67,SEA_VINCENZO_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637371,68,SEA_VINCENZO_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637372,69,SEA_VINCENZO_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637373,70,SEA_VINCENZO_70,-,-,-,-,RNase E,protein-coding,-,-,-,RNase E,20201221,-
1647301,26637374,71,SEA_VINCENZO_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637375,72,SEA_VINCENZO_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637376,73,SEA_VINCENZO_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637377,74,SEA_VINCENZO_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637378,75,SEA_VINCENZO_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637379,76,SEA_VINCENZO_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637380,77,SEA_VINCENZO_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637381,78,SEA_VINCENZO_78,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1647301,26637382,79,SEA_VINCENZO_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637383,80,SEA_VINCENZO_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637384,81,SEA_VINCENZO_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637385,82,SEA_VINCENZO_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637386,83,SEA_VINCENZO_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637387,84,SEA_VINCENZO_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637388,85,SEA_VINCENZO_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637389,86,SEA_VINCENZO_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637390,87,SEA_VINCENZO_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637391,88,SEA_VINCENZO_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637392,89,SEA_VINCENZO_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637393,90,SEA_VINCENZO_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637394,91,SEA_VINCENZO_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637395,92,SEA_VINCENZO_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637396,93,SEA_VINCENZO_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637397,94,SEA_VINCENZO_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637398,95,SEA_VINCENZO_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637399,96,SEA_VINCENZO_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637400,97,SEA_VINCENZO_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637401,98,SEA_VINCENZO_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26637402,1,SEA_VINCENZO_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647301,26680810,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Vincenzo).,other,-,-,-,-,20200513,-
