#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283295,60329246,2,I5H44_gp002,SEA_GORGE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2283295,60329293,50,I5H44_gp050,SEA_GORGE_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2283295,60329294,51,I5H44_gp051,SEA_GORGE_51,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210123,-
2283295,60329295,52,I5H44_gp052,SEA_GORGE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329296,53,I5H44_gp053,SEA_GORGE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329297,55,I5H44_gp055,SEA_GORGE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329298,56,I5H44_gp056,SEA_GORGE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329299,57,I5H44_gp057,SEA_GORGE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329300,59,I5H44_gp059,SEA_GORGE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329301,60,I5H44_gp060,SEA_GORGE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2283295,60329302,61,I5H44_gp061,SEA_GORGE_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2283295,60329303,62,I5H44_gp062,SEA_GORGE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2283295,60329304,63,I5H44_gp063,SEA_GORGE_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2283295,60329305,64,I5H44_gp064,SEA_GORGE_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2283295,60329306,65,I5H44_gp065,SEA_GORGE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329307,66,I5H44_gp066,SEA_GORGE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329308,67,I5H44_gp067,SEA_GORGE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329309,68,I5H44_gp068,SEA_GORGE_68,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2283295,60329310,69,I5H44_gp069,SEA_GORGE_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2283295,60329311,70,I5H44_gp070,SEA_GORGE_70,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210424,-
2283295,60329312,71,I5H44_gp071,SEA_GORGE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329313,72,I5H44_gp072,SEA_GORGE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329314,73,I5H44_gp073,SEA_GORGE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329315,74,I5H44_gp074,SEA_GORGE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329316,76,I5H44_gp076,SEA_GORGE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329317,77,I5H44_gp077,SEA_GORGE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329318,78,I5H44_gp078,SEA_GORGE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329319,79,I5H44_gp079,SEA_GORGE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329320,80,I5H44_gp080,SEA_GORGE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329321,81,I5H44_gp081,SEA_GORGE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329322,83,I5H44_gp083,SEA_GORGE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329323,84,I5H44_gp084,SEA_GORGE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329324,85,I5H44_gp085,SEA_GORGE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329325,86,I5H44_gp086,SEA_GORGE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329326,87,I5H44_gp087,SEA_GORGE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329327,88,I5H44_gp088,SEA_GORGE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329328,90,I5H44_gp090,SEA_GORGE_90,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210406,-
2283295,60329329,91,I5H44_gp091,SEA_GORGE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329330,92,I5H44_gp092,SEA_GORGE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329331,94,I5H44_gp094,SEA_GORGE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329332,95,I5H44_gp095,SEA_GORGE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329333,96,I5H44_gp096,SEA_GORGE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329334,97,I5H44_gp097,SEA_GORGE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329335,98,I5H44_gp098,SEA_GORGE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329336,99,I5H44_gp099,SEA_GORGE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329337,100,I5H44_gp100,SEA_GORGE_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2283295,60329338,101,I5H44_gp101,SEA_GORGE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329339,103,I5H44_gp103,SEA_GORGE_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2283295,60329340,102,I5H44_gp102,SEA_GORGE_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2283295,60329341,54,I5H44_gp054,SEA_GORGE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329342,58,I5H44_gp058,SEA_GORGE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329343,75,I5H44_gp075,SEA_GORGE_75,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210313,-
2283295,60329344,82,I5H44_gp082,SEA_GORGE_82,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2283295,60329345,89,I5H44_gp089,SEA_GORGE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2283295,60329346,93,I5H44_gp093,SEA_GORGE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2283295,60329347,48,I5H44_gp048,SEA_GORGE_48,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2283295,60329348,1,I5H44_gp001,SEA_GORGE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2283295,60338691,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
