#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1548918,23680541,ORF02,VC49_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1548918,23680573,ORF34,VC49_gp34,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1548918,23680574,ORF35,VC49_gp35,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210424,-
1548918,23680575,ORF36,VC49_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1548918,23680576,ORF37,VC49_gp37,-,-,-,-,anti-CRISPR protein AcrFgp36,protein-coding,-,-,-,anti-CRISPR protein AcrFgp36,20210406,-
1548918,23680577,ORF38,VC49_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680578,ORF39,VC49_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680579,ORF40,VC49_gp40,-,-,-,-,protease,protein-coding,-,-,-,protease,20210417,-
1548918,23680580,ORF41,VC49_gp41,-,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210417,-
1548918,23680581,ORF42,VC49_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680582,ORF43,VC49_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680583,ORF44,VC49_gp44,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210424,-
1548918,23680584,ORF45,VC49_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680585,ORF46,VC49_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680586,ORF47,VC49_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680587,ORF48,VC49_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680588,ORF49,VC49_gp49,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1548918,23680589,ORF50,VC49_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1548918,23680590,ORF51,VC49_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680591,ORF52,VC49_gp52,-,-,-,-,putative serine--glyoxylate aminotransferase,protein-coding,-,-,-,putative serine--glyoxylate aminotransferase,20200629,-
1548918,23680592,ORF53,VC49_gp53,-,-,-,-,putative FAD/FMN-containing dehydrogenase,protein-coding,-,-,-,putative FAD/FMN-containing dehydrogenase,20200629,-
1548918,23680593,ORF54,VC49_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680594,ORF55,VC49_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680595,ORF56,VC49_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1548918,23680596,ORF57,VC49_gp57,-,-,-,-,DUF2793 domain-containing protein,protein-coding,-,-,-,DUF2793 domain-containing protein,20210424,-
1548918,23680597,ORF58,VC49_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680598,ORF59,VC49_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1548918,23680599,ORF01,VC49_gp01,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1548918,23711143,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
