#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301561,63027030,2,J1772_gp02,SEA_ALI17_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2301561,63027054,26,J1772_gp26,SEA_ALI17_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027055,27,J1772_gp27,SEA_ALI17_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027056,28,J1772_gp28,SEA_ALI17_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027057,29,J1772_gp29,SEA_ALI17_29,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2301561,63027058,30,J1772_gp30,SEA_ALI17_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301561,63027059,31,J1772_gp31,SEA_ALI17_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301561,63027060,32,J1772_gp32,SEA_ALI17_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027061,33,J1772_gp33,SEA_ALI17_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301561,63027062,34,J1772_gp34,SEA_ALI17_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027063,35,J1772_gp35,SEA_ALI17_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027064,36,J1772_gp36,SEA_ALI17_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301561,63027065,37,J1772_gp37,SEA_ALI17_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027066,38,J1772_gp38,SEA_ALI17_38,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2301561,63027067,39,J1772_gp39,SEA_ALI17_39,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2301561,63027068,40,J1772_gp40,SEA_ALI17_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027069,41,J1772_gp41,SEA_ALI17_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027070,42,J1772_gp42,SEA_ALI17_42,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2301561,63027071,43,J1772_gp43,SEA_ALI17_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027072,44,J1772_gp44,SEA_ALI17_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027073,45,J1772_gp45,SEA_ALI17_45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2301561,63027074,46,J1772_gp46,SEA_ALI17_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027075,47,J1772_gp47,SEA_ALI17_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2301561,63027076,48,J1772_gp48,SEA_ALI17_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027077,49,J1772_gp49,SEA_ALI17_49,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2301561,63027078,50,J1772_gp50,SEA_ALI17_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027079,51,J1772_gp51,SEA_ALI17_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027080,52,J1772_gp52,SEA_ALI17_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027081,53,J1772_gp53,SEA_ALI17_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027082,54,J1772_gp54,SEA_ALI17_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027083,55,J1772_gp55,SEA_ALI17_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027084,56,J1772_gp56,SEA_ALI17_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027085,57,J1772_gp57,SEA_ALI17_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027086,58,J1772_gp58,SEA_ALI17_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027087,59,J1772_gp59,SEA_ALI17_59,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2301561,63027088,60,J1772_gp60,SEA_ALI17_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027089,61,J1772_gp61,SEA_ALI17_61,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2301561,63027090,62,J1772_gp62,SEA_ALI17_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027091,63,J1772_gp63,SEA_ALI17_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027092,64,J1772_gp64,SEA_ALI17_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027093,65,J1772_gp65,SEA_ALI17_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027094,66,J1772_gp66,SEA_ALI17_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027095,67,J1772_gp67,SEA_ALI17_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027096,68,J1772_gp68,SEA_ALI17_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027097,69,J1772_gp69,SEA_ALI17_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027098,70,J1772_gp70,SEA_ALI17_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027099,71,J1772_gp71,SEA_ALI17_71,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210309,-
2301561,63027100,72,J1772_gp72,SEA_ALI17_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027101,73,J1772_gp73,SEA_ALI17_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027102,74,J1772_gp74,SEA_ALI17_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027103,76,J1772_gp76,SEA_ALI17_76,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210309,-
2301561,63027104,77,J1772_gp77,SEA_ALI17_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027105,78,J1772_gp78,SEA_ALI17_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027106,79,J1772_gp79,SEA_ALI17_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027107,80,J1772_gp80,SEA_ALI17_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027108,81,J1772_gp81,SEA_ALI17_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027109,82,J1772_gp82,SEA_ALI17_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027110,83,J1772_gp83,SEA_ALI17_83,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2301561,63027111,84,J1772_gp84,SEA_ALI17_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027112,75,J1772_gp75,SEA_ALI17_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301561,63027113,1,J1772_gp01,SEA_ALI17_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2301561,63139659,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia terrae bacteriophage Ali17).,other,-,-,-,-,20210310,-
