#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
169684,40120017,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage phi H; Bacteriophage phi-H; Bacteriophage phiH; Halobacterium phage phi H; Halobacterium salinarium bacteriophage phi H; Halobacterium salinarium phage phi H).,other,-,-,-,-,20200513,-
169684,62571594,int1,JR051_gp36,PhiH1_175,-,-,-,tyrosine integrase/recombinase,protein-coding,-,-,-,tyrosine integrase/recombinase,20210424,-
169684,62571595,JR051_gp37,JR051_gp37,PhiH1_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571596,JR051_gp38,JR051_gp38,PhiH1_185,-,-,-,repeat-containing tail fiber protein,pseudo,-,-,-,-,20210208,-
169684,62571597,JR051_gp39,JR051_gp39,PhiH1_190,-,-,-,YncB-like endonuclease,protein-coding,-,-,-,YncB-like endonuclease,20210424,-
169684,62571598,JR051_gp40,JR051_gp40,PhiH1_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571599,JR051_gp41,JR051_gp41,PhiH1_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571600,JR051_gp42,JR051_gp42,PhiH1_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571601,JR051_gp43,JR051_gp43,PhiH1_210,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210208,-
169684,62571602,JR051_gp44,JR051_gp44,PhiH1_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571603,JR051_gp45,JR051_gp45,PhiH1_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571604,JR051_gp46,JR051_gp46,PhiH1_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571605,JR051_gp47,JR051_gp47,PhiH1_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571606,JR051_gp48,JR051_gp48,PhiH1_235,-,-,-,VapC family toxin,protein-coding,-,-,-,VapC family toxin,20210424,-
169684,62571607,int2,JR051_gp49,PhiH1_240,-,-,-,tyrosine integrase/recombinase,protein-coding,-,-,-,tyrosine integrase/recombinase,20210424,-
169684,62571608,JR051_gp50,JR051_gp50,PhiH1_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571609,JR051_gp51,JR051_gp51,PhiH1_250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571610,JR051_gp52,JR051_gp52,PhiH1_255,-,-,-,HNH-type endonuclease,protein-coding,-,-,-,HNH-type endonuclease,20210424,-
169684,62571611,JR051_gp53,JR051_gp53,PhiH1_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571612,JR051_gp54,JR051_gp54,PhiH1_265,-,-,-,parA domain protein,protein-coding,-,-,-,parA domain protein,20210424,-
169684,62571613,repR,JR051_gp55,PhiH1_270,-,-,-,repressor protein,protein-coding,-,-,-,repressor protein,20210417,-
169684,62571614,JR051_gp56,JR051_gp56,PhiH1_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571615,JR051_gp57,JR051_gp57,PhiH1_280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571616,repH,JR051_gp58,PhiH1_285,-,-,-,plasmid replication protein,protein-coding,-,-,-,plasmid replication protein,20210424,-
169684,62571617,imm,JR051_gp59,PhiH1_290,-,-,-,putative immunity protein,protein-coding,-,-,-,putative immunity protein,20210424,-
169684,62571618,JR051_gp60,JR051_gp60,PhiH1_295,-,-,-,PadR-like family transcriptional regulator,protein-coding,-,-,-,PadR-like family transcriptional regulator,20210424,-
169684,62571619,JR051_gp61,JR051_gp61,PhiH1_300,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210424,-
169684,62571620,JR051_gp62,JR051_gp62,PhiH1_305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571621,JR051_gp63,JR051_gp63,PhiH1_310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571622,pcnA,JR051_gp64,PhiH1_315,-,-,-,DNA polymerase sliding clamp,protein-coding,-,-,-,DNA polymerase sliding clamp,20210424,-
169684,62571623,JR051_gp65,JR051_gp65,PhiH1_320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571624,JR051_gp66,JR051_gp66,PhiH1_325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571625,JR051_gp67,JR051_gp67,PhiH1_330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571626,tnpA,JR051_gp68,PhiH1_335,-,-,-,IS200-type transposase,protein-coding,-,-,-,IS200-type transposase,20210612,-
169684,62571627,tnpB,JR051_gp69,PhiH1_340,-,-,-,IS1341-type transposase,protein-coding,-,-,-,IS1341-type transposase,20210417,-
169684,62571628,JR051_gp70,JR051_gp70,PhiH1_345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571629,JR051_gp71,JR051_gp71,PhiH1_350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571630,JR051_gp72,JR051_gp72,PhiH1_355,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571631,JR051_gp73,JR051_gp73,PhiH1_360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571632,JR051_gp74,JR051_gp74,PhiH1_365,-,-,-,HNH-type endonuclease,protein-coding,-,-,-,HNH-type endonuclease,20210424,-
169684,62571633,JR051_gp75,JR051_gp75,PhiH1_370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571634,JR051_gp76,JR051_gp76,PhiH1_375,-,-,-,DUF4326 domain protein,protein-coding,-,-,-,DUF4326 domain protein,20210424,-
169684,62571635,JR051_gp77,JR051_gp77,PhiH1_380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571636,JR051_gp78,JR051_gp78,PhiH1_385,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571637,JR051_gp79,JR051_gp79,PhiH1_390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571638,JR051_gp80,JR051_gp80,PhiH1_395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571639,JR051_gp81,JR051_gp81,PhiH1_400,-,-,-,NTPase protein,protein-coding,-,-,-,NTPase protein,20210424,-
169684,62571640,dcm5,JR051_gp82,PhiH1_405,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20210424,-
169684,62571641,JR051_gp83,JR051_gp83,PhiH1_410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571642,JR051_gp84,JR051_gp84,PhiH1_415,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571643,yhdJ,JR051_gp85,PhiH1_420,-,-,-,DNA methylase N-4/N-6 domain protein,protein-coding,-,-,-,DNA methylase N-4/N-6 domain protein,20210424,-
169684,62571644,JR051_gp86,JR051_gp86,PhiH1_425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571645,JR051_gp87,JR051_gp87,PhiH1_430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571646,JR051_gp88,JR051_gp88,PhiH1_435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571647,JR051_gp89,JR051_gp89,PhiH1_440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571648,JR051_gp90,JR051_gp90,PhiH1_445,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571649,JR051_gp91,JR051_gp91,PhiH1_450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571650,JR051_gp92,JR051_gp92,PhiH1_455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571651,JR051_gp93,JR051_gp93,PhiH1_460,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210208,-
169684,62571652,hol,JR051_gp94,PhiH1_465,-,-,-,transmembrane domain protein,protein-coding,-,-,-,transmembrane domain protein,20210208,-
169684,62571653,ycdA,JR051_gp95,PhiH1_470,-,-,-,DNA methylase N-4/N-6 domain protein,protein-coding,-,-,-,DNA methylase N-4/N-6 domain protein,20210424,-
169684,62571654,JR051_gp96,JR051_gp96,PhiH1_475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571655,JR051_gp97,JR051_gp97,PhiH1_480,-,-,-,CxxC motif protein,protein-coding,-,-,-,CxxC motif protein,20210208,-
169684,62571656,JR051_gp02,JR051_gp02,PhiH1_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
169684,62571657,terS,JR051_gp01,PhiH1_485,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
