#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301570,60333291,2,I5H83_gp002,SEA_QUICKMATH_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2301570,60333312,23,I5H83_gp023,SEA_QUICKMATH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333313,24,I5H83_gp024,SEA_QUICKMATH_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333314,25,I5H83_gp025,SEA_QUICKMATH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333315,26,I5H83_gp026,SEA_QUICKMATH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333316,27,I5H83_gp027,SEA_QUICKMATH_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333317,28,I5H83_gp028,SEA_QUICKMATH_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333318,29,I5H83_gp029,SEA_QUICKMATH_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333319,30,I5H83_gp030,SEA_QUICKMATH_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333320,31,I5H83_gp031,SEA_QUICKMATH_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2301570,60333321,32,I5H83_gp032,SEA_QUICKMATH_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301570,60333322,33,I5H83_gp033,SEA_QUICKMATH_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2301570,60333323,34,I5H83_gp034,SEA_QUICKMATH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301570,60333324,35,I5H83_gp035,SEA_QUICKMATH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333325,36,I5H83_gp036,SEA_QUICKMATH_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
2301570,60333326,37,I5H83_gp037,SEA_QUICKMATH_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333327,38,I5H83_gp038,SEA_QUICKMATH_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333328,39,I5H83_gp039,SEA_QUICKMATH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333329,40,I5H83_gp040,SEA_QUICKMATH_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333330,41,I5H83_gp041,SEA_QUICKMATH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333331,42,I5H83_gp042,SEA_QUICKMATH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333332,43,I5H83_gp043,SEA_QUICKMATH_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
2301570,60333333,44,I5H83_gp044,SEA_QUICKMATH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333334,45,I5H83_gp045,SEA_QUICKMATH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333335,46,I5H83_gp046,SEA_QUICKMATH_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2301570,60333336,47,I5H83_gp047,SEA_QUICKMATH_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2301570,60333337,48,I5H83_gp048,SEA_QUICKMATH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333338,49,I5H83_gp049,SEA_QUICKMATH_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333339,50,I5H83_gp050,SEA_QUICKMATH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333340,51,I5H83_gp051,SEA_QUICKMATH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333341,52,I5H83_gp052,SEA_QUICKMATH_52,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2301570,60333342,53,I5H83_gp053,SEA_QUICKMATH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333343,54,I5H83_gp054,SEA_QUICKMATH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333344,55,I5H83_gp055,SEA_QUICKMATH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333345,56,I5H83_gp056,SEA_QUICKMATH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333346,57,I5H83_gp057,SEA_QUICKMATH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301570,60333347,58,I5H83_gp058,SEA_QUICKMATH_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2301570,60333348,59,I5H83_gp059,SEA_QUICKMATH_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210425,-
2301570,60333349,60,I5H83_gp060,SEA_QUICKMATH_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2301570,60333350,61,I5H83_gp061,SEA_QUICKMATH_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2301570,60333351,62,I5H83_gp062,SEA_QUICKMATH_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2301570,60333352,63,I5H83_gp063,SEA_QUICKMATH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333353,64,I5H83_gp064,SEA_QUICKMATH_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333354,65,I5H83_gp065,SEA_QUICKMATH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333355,66,I5H83_gp066,SEA_QUICKMATH_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333356,67,I5H83_gp067,SEA_QUICKMATH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333357,68,I5H83_gp068,SEA_QUICKMATH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301570,60333358,69,I5H83_gp069,SEA_QUICKMATH_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2301570,60333359,70,I5H83_gp070,SEA_QUICKMATH_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333360,71,I5H83_gp071,SEA_QUICKMATH_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333361,72,I5H83_gp072,SEA_QUICKMATH_72,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210212,-
2301570,60333362,73,I5H83_gp073,SEA_QUICKMATH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333363,74,I5H83_gp074,SEA_QUICKMATH_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333364,75,I5H83_gp075,SEA_QUICKMATH_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333365,76,I5H83_gp076,SEA_QUICKMATH_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333366,77,I5H83_gp077,SEA_QUICKMATH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333367,78,I5H83_gp078,SEA_QUICKMATH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333368,79,I5H83_gp079,SEA_QUICKMATH_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333369,80,I5H83_gp080,SEA_QUICKMATH_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333370,81,I5H83_gp081,SEA_QUICKMATH_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333371,82,I5H83_gp082,SEA_QUICKMATH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333372,83,I5H83_gp083,SEA_QUICKMATH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333373,84,I5H83_gp084,SEA_QUICKMATH_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333374,85,I5H83_gp085,SEA_QUICKMATH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333375,86,I5H83_gp086,SEA_QUICKMATH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333376,87,I5H83_gp087,SEA_QUICKMATH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333377,88,I5H83_gp088,SEA_QUICKMATH_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333378,89,I5H83_gp089,SEA_QUICKMATH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333379,90,I5H83_gp090,SEA_QUICKMATH_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333380,91,I5H83_gp091,SEA_QUICKMATH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333381,92,I5H83_gp092,SEA_QUICKMATH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333382,93,I5H83_gp093,SEA_QUICKMATH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333383,94,I5H83_gp094,SEA_QUICKMATH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333384,95,I5H83_gp095,SEA_QUICKMATH_95,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210424,-
2301570,60333385,96,I5H83_gp096,SEA_QUICKMATH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333386,97,I5H83_gp097,SEA_QUICKMATH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333387,98,I5H83_gp098,SEA_QUICKMATH_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333388,99,I5H83_gp099,SEA_QUICKMATH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333389,100,I5H83_gp100,SEA_QUICKMATH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333390,101,I5H83_gp101,SEA_QUICKMATH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333391,102,I5H83_gp102,SEA_QUICKMATH_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301570,60333392,103,I5H83_gp103,SEA_QUICKMATH_103,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210417,-
2301570,60333393,104,I5H83_gp104,SEA_QUICKMATH_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301570,60333394,105,I5H83_gp105,SEA_QUICKMATH_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301570,60333395,1,I5H83_gp001,SEA_QUICKMATH_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301570,60338707,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
