#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572747,26639967,AVV62_gp02,AVV62_gp02,1152AP2_02,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1572747,26639987,AVV62_gp22,AVV62_gp22,1152AP2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639988,AVV62_gp23,AVV62_gp23,1152AP2_23,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1572747,26639989,AVV62_gp24,AVV62_gp24,1152AP2_24,-,-,-,host specificity protein J,protein-coding,-,-,-,host specificity protein J,20200629,-
1572747,26639990,AVV62_gp25,AVV62_gp25,1152AP2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639991,AVV62_gp26,AVV62_gp26,1152AP2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639992,AVV62_gp27,AVV62_gp27,1152AP2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639993,AVV62_gp28,AVV62_gp28,1152AP2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639994,AVV62_gp29,AVV62_gp29,1152AP2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639995,AVV62_gp30,AVV62_gp30,1152AP2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639996,AVV62_gp31,AVV62_gp31,1152AP2_31,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201221,-
1572747,26639997,AVV62_gp32,AVV62_gp32,1152AP2_32,-,-,-,DUF4224 domain-containing protein,protein-coding,-,-,-,DUF4224 domain-containing protein,20201221,-
1572747,26639998,AVV62_gp33,AVV62_gp33,1152AP2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26639999,AVV62_gp34,AVV62_gp34,1152AP2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640000,AVV62_gp35,AVV62_gp35,1152AP2_35,-,-,-,antirepressor protein Ant,protein-coding,-,-,-,antirepressor protein Ant,20200926,-
1572747,26640001,AVV62_gp36,AVV62_gp36,1152AP2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640002,AVV62_gp37,AVV62_gp37,1152AP2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640003,AVV62_gp38,AVV62_gp38,1152AP2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640004,AVV62_gp39,AVV62_gp39,1152AP2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640005,AVV62_gp40,AVV62_gp40,1152AP2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640006,AVV62_gp41,AVV62_gp41,1152AP2_41,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20201221,-
1572747,26640007,AVV62_gp42,AVV62_gp42,1152AP2_42,-,-,-,pyruvate kinase,protein-coding,-,-,-,pyruvate kinase,20200629,-
1572747,26640008,AVV62_gp43,AVV62_gp43,1152AP2_43,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20201221,-
1572747,26640009,AVV62_gp44,AVV62_gp44,1152AP2_44,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201221,-
1572747,26640010,AVV62_gp45,AVV62_gp45,1152AP2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640011,AVV62_gp46,AVV62_gp46,1152AP2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640012,AVV62_gp47,AVV62_gp47,1152AP2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640013,AVV62_gp48,AVV62_gp48,1152AP2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640014,AVV62_gp49,AVV62_gp49,1152AP2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640015,AVV62_gt01,AVV62_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1572747,26640016,AVV62_gp78,AVV62_gp78,1152AP2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640017,AVV62_gp77,AVV62_gp77,1152AP2_52,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20210417,-
1572747,26640018,AVV62_gp76,AVV62_gp76,1152AP2_53,-,-,-,HigA family addiction module antidote protein,protein-coding,-,-,-,HigA family addiction module antidote protein,20201221,-
1572747,26640019,AVV62_gp75,AVV62_gp75,1152AP2_54,-,-,-,IS481 family transposase,protein-coding,-,-,-,IS481 family transposase,20201221,-
1572747,26640020,AVV62_gp74,AVV62_gp74,1152AP2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1572747,26640021,AVV62_gp73,AVV62_gp73,1152AP2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640022,AVV62_gp72,AVV62_gp72,1152AP2_57,-,-,-,LexA family transcriptional regulator,protein-coding,-,-,-,LexA family transcriptional regulator,20210417,-
1572747,26640023,AVV62_gp71,AVV62_gp71,1152AP2_58,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1572747,26640024,AVV62_gp70,AVV62_gp70,1152AP2_59,-,-,-,CII protein,protein-coding,-,-,-,CII protein,20200926,-
1572747,26640025,AVV62_gp69,AVV62_gp69,1152AP2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640026,AVV62_gp68,AVV62_gp68,1152AP2_61,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210417,-
1572747,26640027,AVV62_gp67,AVV62_gp67,1152AP2_62,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
1572747,26640028,AVV62_gp66,AVV62_gp66,1152AP2_63,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1572747,26640029,AVV62_gp65,AVV62_gp65,1152AP2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640030,AVV62_gp64,AVV62_gp64,1152AP2_65,-,-,-,DUF1367 family protein,protein-coding,-,-,-,DUF1367 family protein,20201221,-
1572747,26640031,AVV62_gp63,AVV62_gp63,1152AP2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640032,AVV62_gp62,AVV62_gp62,1152AP2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640033,AVV62_gp61,AVV62_gp61,1152AP2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640034,AVV62_gp60,AVV62_gp60,1152AP2_69,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201221,-
1572747,26640035,AVV62_gp59,AVV62_gp59,1152AP2_70,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20200912,-
1572747,26640036,AVV62_gp58,AVV62_gp58,1152AP2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640037,AVV62_gp57,AVV62_gp57,1152AP2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640038,AVV62_gp56,AVV62_gp56,1152AP2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640039,AVV62_gp55,AVV62_gp55,1152AP2_74,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1572747,26640040,AVV62_gp54,AVV62_gp54,1152AP2_75,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1572747,26640041,AVV62_gp53,AVV62_gp53,1152AP2_76,-,-,-,DUF2570 domain-containing protein,protein-coding,-,-,-,DUF2570 domain-containing protein,20201221,-
1572747,26640042,AVV62_gp52,AVV62_gp52,1152AP2_77,-,-,-,lytic protein Rz1,protein-coding,-,-,-,lytic protein Rz1,20200629,-
1572747,26640043,AVV62_gp51,AVV62_gp51,1152AP2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640044,AVV62_gp50,AVV62_gp50,1152AP2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640045,AVV62_gp79,AVV62_gp79,1152AP2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572747,26640046,AVV62_gp01,AVV62_gp01,1152AP2_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1572747,26680694,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mannheimia haemolytica bacteriophage vB_MhS_1152AP2).,other,-,-,-,-,20200513,-
