#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262530,16151484,1,HSTV1_1,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1262530,16151517,37,HSTV1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151518,38,HSTV1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151519,39,HSTV1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151520,40,HSTV1_40,-,-,-,-,PCNA protein,protein-coding,-,-,-,PCNA protein,20201221,-
1262530,16151521,43,HSTV1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151522,42,HSTV1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151523,41,HSTV1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151524,44,HSTV1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151525,45,HSTV1_45,-,-,-,-,MCM DNA helicase,protein-coding,-,-,-,MCM DNA helicase,20201221,-
1262530,16151526,46,HSTV1_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151527,47,HSTV1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151528,48,HSTV1_48,-,-,-,-,cytosine methyltransferase,protein-coding,-,-,-,cytosine methyltransferase,20201221,-
1262530,16151529,49,HSTV1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151530,50,HSTV1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151531,51,HSTV1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151532,52,HSTV1_52,-,-,-,-,adenine methyltransferase,protein-coding,-,-,-,adenine methyltransferase,20201221,-
1262530,16151533,53,HSTV1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151534,35,HSTV1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151535,25,HSTV1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16151536,8,HSTV1_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262530,16216226,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190918,-
