#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250422,65114171,2,KNT94_gp02,SEA_KINGTUT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2250422,65114197,28,KNT94_gp28,SEA_KINGTUT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114198,29,KNT94_gp29,SEA_KINGTUT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114199,30,KNT94_gp30,SEA_KINGTUT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114200,31,KNT94_gp31,SEA_KINGTUT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114201,32,KNT94_gp32,SEA_KINGTUT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114202,33,KNT94_gp33,SEA_KINGTUT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114203,34,KNT94_gp34,SEA_KINGTUT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114204,35,KNT94_gp35,SEA_KINGTUT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114205,36,KNT94_gp36,SEA_KINGTUT_36,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210607,-
2250422,65114206,37,KNT94_gp37,SEA_KINGTUT_37,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210607,-
2250422,65114207,38,KNT94_gp38,SEA_KINGTUT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114208,39,KNT94_gp39,SEA_KINGTUT_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2250422,65114209,40,KNT94_gp40,SEA_KINGTUT_40,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2250422,65114210,41,KNT94_gp41,SEA_KINGTUT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114211,42,KNT94_gp42,SEA_KINGTUT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114212,43,KNT94_gp43,SEA_KINGTUT_43,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2250422,65114213,44,KNT94_gp44,SEA_KINGTUT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114214,45,KNT94_gp45,SEA_KINGTUT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114215,46,KNT94_gp46,SEA_KINGTUT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114216,47,KNT94_gp47,SEA_KINGTUT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114217,48,KNT94_gp48,SEA_KINGTUT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114218,49,KNT94_gp49,SEA_KINGTUT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114219,50,KNT94_gp50,SEA_KINGTUT_50,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
2250422,65114220,51,KNT94_gp51,SEA_KINGTUT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114221,52,KNT94_gp52,SEA_KINGTUT_52,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2250422,65114222,53,KNT94_gp53,SEA_KINGTUT_53,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210607,-
2250422,65114223,54,KNT94_gp54,SEA_KINGTUT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114224,55,KNT94_gp55,SEA_KINGTUT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114225,56,KNT94_gp56,SEA_KINGTUT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114226,57,KNT94_gp57,SEA_KINGTUT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114227,58,KNT94_gp58,SEA_KINGTUT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114228,59,KNT94_gp59,SEA_KINGTUT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114229,60,KNT94_gp60,SEA_KINGTUT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114230,61,KNT94_gp61,SEA_KINGTUT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114231,62,KNT94_gp62,SEA_KINGTUT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114232,63,KNT94_gp63,SEA_KINGTUT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114233,64,KNT94_gp64,SEA_KINGTUT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114234,65,KNT94_gp65,SEA_KINGTUT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114235,66,KNT94_gp66,SEA_KINGTUT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114236,67,KNT94_gp67,SEA_KINGTUT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114237,68,KNT94_gp68,SEA_KINGTUT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114238,69,KNT94_gp69,SEA_KINGTUT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114239,70,KNT94_gp70,SEA_KINGTUT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114240,71,KNT94_gp71,SEA_KINGTUT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114241,72,KNT94_gp72,SEA_KINGTUT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114242,73,KNT94_gp73,SEA_KINGTUT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114243,74,KNT94_gp74,SEA_KINGTUT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114244,75,KNT94_gp75,SEA_KINGTUT_75,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2250422,65114245,76,KNT94_gp76,SEA_KINGTUT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114246,77,KNT94_gp77,SEA_KINGTUT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114247,78,KNT94_gp78,SEA_KINGTUT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114248,79,KNT94_gp79,SEA_KINGTUT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114249,80,KNT94_gp80,SEA_KINGTUT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114250,81,KNT94_gp81,SEA_KINGTUT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114251,82,KNT94_gp82,SEA_KINGTUT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114252,83,KNT94_gp83,SEA_KINGTUT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114253,84,KNT94_gp84,SEA_KINGTUT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114254,85,KNT94_gp85,SEA_KINGTUT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114255,86,KNT94_gp86,SEA_KINGTUT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114256,87,KNT94_gp87,SEA_KINGTUT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114257,88,KNT94_gp88,SEA_KINGTUT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114258,89,KNT94_gp89,SEA_KINGTUT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114259,90,KNT94_gp90,SEA_KINGTUT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114260,91,KNT94_gp91,SEA_KINGTUT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114261,92,KNT94_gp92,SEA_KINGTUT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250422,65114262,1,KNT94_gp01,SEA_KINGTUT_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210607,-
2250422,65242854,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
