#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1449437,18500305,CF86_gp02,CF86_gp02,-,-,-,-,Putative terminase large subunit,protein-coding,-,-,-,Putative terminase large subunit,20200629,-
1449437,18500346,CF86_gp43,CF86_gp43,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500347,CF86_gp44,CF86_gp44,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500348,CF86_gp45,CF86_gp45,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500349,CF86_gp46,CF86_gp46,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500350,CF86_gp47,CF86_gp47,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20210424,-
1449437,18500351,CF86_gp48,CF86_gp48,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500352,CF86_gp49,CF86_gp49,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500353,CF86_gp50,CF86_gp50,-,-,-,-,Putative Cro/CI transcriptional regulator,protein-coding,-,-,-,Putative Cro/CI transcriptional regulator,20200629,-
1449437,18500354,CF86_gp51,CF86_gp51,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1449437,18500355,CF86_gp52,CF86_gp52,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500356,CF86_gp53,CF86_gp53,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500357,CF86_gp54,CF86_gp54,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1449437,18500358,CF86_gp55,CF86_gp55,-,-,-,-,Replication protein P,protein-coding,-,-,-,Replication protein P,20201221,-
1449437,18500359,CF86_gp56,CF86_gp56,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500360,CF86_gp57,CF86_gp57,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500361,CF86_gp58,CF86_gp58,-,-,-,-,Putative HNH endonuclease,protein-coding,-,-,-,Putative HNH endonuclease,20200629,-
1449437,18500362,CF86_gp59,CF86_gp59,-,-,-,-,recombination protein NinB,protein-coding,-,-,-,recombination protein NinB,20201221,-
1449437,18500363,CF86_gp60,CF86_gp60,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500364,CF86_gp61,CF86_gp61,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500365,CF86_gp62,CF86_gp62,-,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20201221,-
1449437,18500366,CF86_gp63,CF86_gp63,-,-,-,-,Putative antitermination Q protein,protein-coding,-,-,-,Putative antitermination Q protein,20210424,-
1449437,18500367,CF86_gp64,CF86_gp64,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500368,CF86_gp65,CF86_gp65,-,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20201221,-
1449437,18500369,CF86_gp66,CF86_gp66,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500370,CF86_gp67,CF86_gp67,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500371,CF86_gp68,CF86_gp68,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201221,-
1449437,18500372,CF86_gp69,CF86_gp69,-,-,-,-,Putative lysis protein,protein-coding,-,-,-,Putative lysis protein,20200629,-
1449437,18500373,CF86_gp01,CF86_gp01,-,-,-,-,Putative terminase small subunit,protein-coding,-,-,-,Putative terminase small subunit,20200629,-
1449437,18506835,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
