#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527511,23679883,2,PBI_HADES_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527511,23679939,58,PBI_HADES_58,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210313,-
1527511,23679940,59,PBI_HADES_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679941,60,PBI_HADES_60,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1527511,23679942,61,PBI_HADES_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679943,62,PBI_HADES_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679944,63,PBI_HADES_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679945,64,PBI_HADES_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679946,65,PBI_HADES_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679947,66,PBI_HADES_66,-,-,-,-,HNH homing endonuclease domain protein,protein-coding,-,-,-,HNH homing endonuclease domain protein,20201221,-
1527511,23679948,67,PBI_HADES_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679949,68,PBI_HADES_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679950,69,PBI_HADES_69,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1527511,23679951,70,PBI_HADES_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679952,71,PBI_HADES_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679953,72,PBI_HADES_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679954,73,PBI_HADES_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679955,74,PBI_HADES_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679956,75,PBI_HADES_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679957,76,PBI_HADES_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679958,77,PBI_HADES_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679959,78,PBI_HADES_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679960,79,PBI_HADES_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679961,80,PBI_HADES_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679962,81,PBI_HADES_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679963,82,PBI_HADES_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679964,83,PBI_HADES_83,-,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201221,-
1527511,23679965,84,PBI_HADES_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679966,85,PBI_HADES_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679967,86,PBI_HADES_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679968,87,PBI_HADES_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679969,88,PBI_HADES_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679970,89,PBI_HADES_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679971,90,PBI_HADES_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679972,91,PBI_HADES_91,-,-,-,-,MerR-like protein,protein-coding,-,-,-,MerR-like protein,20210129,-
1527511,23679973,92,PBI_HADES_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679974,93,PBI_HADES_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679975,94,PBI_HADES_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679976,95,PBI_HADES_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679977,96,PBI_HADES_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679978,97,PBI_HADES_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679979,98,PBI_HADES_98,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1527511,23679980,99,PBI_HADES_99,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20201221,-
1527511,23679981,100,PBI_HADES_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527511,23679982,101,PBI_HADES_101,-,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20201221,-
1527511,23679983,102,PBI_HADES_102,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1527511,23679984,1,PBI_HADES_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1527511,23711115,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Hades).,other,-,-,-,-,20200513,-
