#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
357446,42437075,oi1rnl,GM559_mgp54,-,-,MT,-,intronic ORF at intron 1 of rnl,protein-coding,-,-,-,intronic ORF at intron 1 of rnl,20200926,-
357446,42437134,oi1nad4,GM559_mgp11,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
357446,42437135,atp8,GM559_mgp10,-,-,MT,-,ATP synthesase subunit 8,protein-coding,-,-,-,ATP synthesase subunit 8,20200905,-
357446,42437136,atp6,GM559_mgp09,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,ATP synthase subunit 6,20200905,-
357446,42437137,oi1atp6,GM559_mgp08,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20200905,-
357446,42437138,oi2atp6,GM559_mgp07,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20200905,-
357446,42437139,trnI,GM559_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437140,rns,GM559_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
357446,42437141,oi1rns,GM559_mgp06,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
357446,42437142,trnM,GM559_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437143,trnY,GM559_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437144,cox3,GM559_mgp05,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210417,-
357446,42437145,oi1cox3,GM559_mgp04,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20191126,-
357446,42437146,oi2cox3,GM559_mgp03,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
357446,42437147,trnG,GM559_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437148,trnK,GM559_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437149,trnD,GM559_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437150,trnS,GM559_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437151,trnW,GM559_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437152,nad6,GM559_mgp02,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210417,-
357446,42437153,oi1nad6,GM559_mgp01,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
357446,42437154,trnV,GM559_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437155,trnW,GM559_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437156,trnI,GM559_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437157,trnS,GM559_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437158,trnN,GM559_mgt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437159,trnP,GM559_mgt30,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
357446,42437160,rnl,GM559_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
