#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
663553,26518885,2,AU159_gp002,COLBERT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
663553,26518946,63,AU159_gp063,COLBERT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518947,64,AU159_gp064,COLBERT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518948,65,AU159_gp065,COLBERT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518949,66,AU159_gp066,COLBERT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518950,67,AU159_gp067,COLBERT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518951,68,AU159_gp068,COLBERT_68,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
663553,26518952,69,AU159_gp069,COLBERT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518953,70,AU159_gp070,COLBERT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518954,71,AU159_gp071,COLBERT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
663553,26518955,72,AU159_gp072,COLBERT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518956,73,AU159_gp073,COLBERT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518957,74,AU159_gp074,COLBERT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518958,75,AU159_gp075,COLBERT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518959,76,AU159_gp076,COLBERT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518960,77,AU159_gp077,COLBERT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518961,78,AU159_gp078,COLBERT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518962,79,AU159_gp079,COLBERT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518963,80,AU159_gp080,COLBERT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518964,81,AU159_gp081,COLBERT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518965,82,AU159_gp082,COLBERT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518966,83,AU159_gp083,COLBERT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518967,84,AU159_gp084,COLBERT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518968,85,AU159_gp085,COLBERT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518969,86,AU159_gp086,COLBERT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518970,87,AU159_gp087,COLBERT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518971,88,AU159_gp088,COLBERT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518972,89,AU159_gp089,COLBERT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518973,90,AU159_gp090,COLBERT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518974,91,AU159_gp091,COLBERT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518975,92,AU159_gp092,COLBERT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518976,93,AU159_gp093,COLBERT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518977,94,AU159_gp094,COLBERT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518978,95,AU159_gp095,COLBERT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518979,96,AU159_gp096,COLBERT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518980,97,AU159_gp097,COLBERT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518981,98,AU159_gp098,COLBERT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518982,99,AU159_gp099,COLBERT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518983,100,AU159_gp100,COLBERT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663553,26518984,1,AU159_gp001,COLBERT_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
663553,26591571,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Colbert).,other,-,-,-,-,20200513,-
