#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5322,5666623,LOC5666623,-,-,-,MT,-,cox1,protein-coding,-,-,-,cytochrome c oxidase subunit 1;hypothetical protein,20201029,-
5322,59369868,PC9H_000027,PC9H_000027,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369869,BGL1B,PC9H_000028,-,-,Unknown,-,Beta-glucosidase 1B,protein-coding,-,-,-,Beta-glucosidase 1B,20210529,-
5322,59369870,PC9H_000029,PC9H_000029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369871,PC9H_000030,PC9H_000030,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369872,PC9H_000031,PC9H_000031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369873,PC9H_000032,PC9H_000032,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369874,PC9H_000033,PC9H_000033,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369875,PC9H_000034,PC9H_000034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369876,PC9H_000035,PC9H_000035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369877,PC9H_000036,PC9H_000036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369878,PC9H_000037,PC9H_000037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369879,PC9H_000038,PC9H_000038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369880,PC9H_000039,PC9H_000039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369881,PC9H_000040,PC9H_000040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369882,PC9H_000041,PC9H_000041,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369883,PC9H_000042,PC9H_000042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369884,PC9H_000043,PC9H_000043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369885,PC9H_000044,PC9H_000044,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59369886,PC9H_000045,PC9H_000045,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59369887,PC9H_000046,PC9H_000046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369888,PC9H_000047,PC9H_000047,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369889,PC9H_000048,PC9H_000048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369890,PC9H_000049,PC9H_000049,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369891,PC9H_000050,PC9H_000050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369892,PC9H_000051,PC9H_000051,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369893,PC9H_000052,PC9H_000052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369894,PC9H_000053,PC9H_000053,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369895,PC9H_000054,PC9H_000054,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369896,PC9H_000055,PC9H_000055,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369897,PC9H_000056,PC9H_000056,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369898,PC9H_000057,PC9H_000057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369899,PC9H_000058,PC9H_000058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369900,PC9H_000059,PC9H_000059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369901,PC9H_000060,PC9H_000060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369902,NUO78,PC9H_000061,-,-,Unknown,-,"NADH dehydrogenase (ubiquinone) 78K chain precursor, 5-prime end",protein-coding,-,-,-,"NADH dehydrogenase (ubiquinone) 78K chain precursor, 5-prime end",20210529,-
5322,59369903,PC9H_000062,PC9H_000062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369904,PC9H_000063,PC9H_000063,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369905,PC9H_000064,PC9H_000064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369906,PC9H_000065,PC9H_000065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369907,PC9H_000066,PC9H_000066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369908,CFT1,PC9H_000067,-,-,Unknown,-,mRNA cleavage and polyadenylation factor subunit,protein-coding,-,-,-,mRNA cleavage and polyadenylation factor subunit,20210529,-
5322,59369909,PC9H_000068,PC9H_000068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369910,PC9H_000069,PC9H_000069,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369911,PC9H_000070,PC9H_000070,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369912,PC9H_000071,PC9H_000071,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369913,PC9H_000072,PC9H_000072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369914,PC9H_000073,PC9H_000073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369915,PC9H_000074,PC9H_000074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369916,PC9H_000075,PC9H_000075,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369917,PC9H_000076,PC9H_000076,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369918,PC9H_000077,PC9H_000077,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369919,PC9H_000078,PC9H_000078,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369920,PC9H_000079,PC9H_000079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369921,PC9H_000080,PC9H_000080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369922,PC9H_000081,PC9H_000081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369923,PLC1_1,PC9H_000082,-,-,Unknown,-,Phospholipase C,protein-coding,-,-,-,Phospholipase C,20210529,-
5322,59369924,PLC1_2,PC9H_000083,-,-,Unknown,-,Phospholipase C,protein-coding,-,-,-,Phospholipase C,20210529,-
5322,59369925,PC9H_000084,PC9H_000084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369926,PC9H_000085,PC9H_000085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369927,PC9H_000086,PC9H_000086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369928,PC9H_000087,PC9H_000087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369929,PC9H_000088,PC9H_000088,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369930,PC9H_000089,PC9H_000089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369931,PC9H_000090,PC9H_000090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369932,PC9H_000091,PC9H_000091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369933,PC9H_000092,PC9H_000092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369934,PC9H_000093,PC9H_000093,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369935,PC9H_000094,PC9H_000094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369936,PC9H_000095,PC9H_000095,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369937,PC9H_000096,PC9H_000096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369938,PC9H_000097,PC9H_000097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369939,PC9H_000098,PC9H_000098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369940,PC9H_000099,PC9H_000099,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369941,PC9H_000100,PC9H_000100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369942,PC9H_000101,PC9H_000101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369943,PC9H_000102,PC9H_000102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369944,PC9H_000103,PC9H_000103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369945,PC9H_000104,PC9H_000104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369946,PC9H_000105,PC9H_000105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369947,PC9H_000106,PC9H_000106,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369948,PC9H_000107,PC9H_000107,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369949,PC9H_000108,PC9H_000108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369950,PC9H_000109,PC9H_000109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369951,PC9H_000110,PC9H_000110,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369952,ACS1,PC9H_000111,-,-,Unknown,-,acetyl-CoA synthetase,protein-coding,-,-,-,acetyl-CoA synthetase,20210424,-
5322,59369953,PC9H_000112,PC9H_000112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369954,PC9H_000113,PC9H_000113,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369955,PC9H_000114,PC9H_000114,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369956,PC9H_000115,PC9H_000115,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369957,PC9H_000116,PC9H_000116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369958,PC9H_000117,PC9H_000117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369959,PC9H_000118,PC9H_000118,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369960,CEL1_1,PC9H_000119,-,-,Unknown,-,Esterase/lipase/thioesterase,protein-coding,-,-,-,Esterase/lipase/thioesterase,20210424,-
5322,59369961,RHO1_1,PC9H_000120,-,-,Unknown,-,GTP-binding protein Rho1,protein-coding,-,-,-,GTP-binding protein Rho1,20210424,-
5322,59369962,RRD2,PC9H_000121,-,-,Unknown,-,Serine/threonine-protein phosphatase 2A activator 2,protein-coding,-,-,-,Serine/threonine-protein phosphatase 2A activator 2,20210424,-
5322,59369963,PC9H_000122,PC9H_000122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369964,STE3_1,PC9H_000123,-,-,Unknown,-,a-factor receptor,protein-coding,-,-,-,a-factor receptor,20210529,-
5322,59369965,PC9H_000124,PC9H_000124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369966,PC9H_000125,PC9H_000125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369967,PC9H_000126,PC9H_000126,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369968,PC9H_000127,PC9H_000127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369969,PC9H_000128,PC9H_000128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369970,SPA2_1,PC9H_000129,-,-,Unknown,-,component of the polarisome,protein-coding,-,-,-,component of the polarisome,20210529,-
5322,59369971,PC9H_000130,PC9H_000130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369972,GWT1,PC9H_000131,-,-,Unknown,-,Glucosaminyl phosphatidylinositol (GlcN-PI) nositol acylation protein,protein-coding,-,-,-,Glucosaminyl phosphatidylinositol (GlcN-PI) nositol acylation protein,20210529,-
5322,59369973,PC9H_000132,PC9H_000132,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369974,PC9H_000133,PC9H_000133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369975,PC9H_000134,PC9H_000134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369976,PC9H_000135,PC9H_000135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369977,PC9H_000136,PC9H_000136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59369978,PC9H_000137,PC9H_000137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369979,PC9H_000138,PC9H_000138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369980,PC9H_000139,PC9H_000139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369981,PC9H_000140,PC9H_000140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369982,PC9H_000141,PC9H_000141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369983,MRPL24,PC9H_000142,-,-,Unknown,-,"39S ribosomal protein L24, mitochondrial",protein-coding,-,-,-,"39S ribosomal protein L24, mitochondrial",20210529,-
5322,59369984,PC9H_000143,PC9H_000143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369985,SPA2_2,PC9H_000144,-,-,Unknown,-,component of the polarisome,protein-coding,-,-,-,component of the polarisome,20210529,-
5322,59369986,PC9H_000145,PC9H_000145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369987,PC9H_000146,PC9H_000146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369988,PC9H_000147,PC9H_000147,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369989,PC9H_000148,PC9H_000148,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369990,PC9H_000149,PC9H_000149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369991,PC9H_000150,PC9H_000150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369992,PC9H_000151,PC9H_000151,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369993,PC9H_000152,PC9H_000152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369994,PC9H_000153,PC9H_000153,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59369995,LCB1,PC9H_000154,-,-,Unknown,-,serine palmitoyltransferase component,protein-coding,-,-,-,serine palmitoyltransferase component,20210529,-
5322,59369996,ATG1,PC9H_000155,-,-,Unknown,-,Serine/threonine-protein kinase,protein-coding,-,-,-,Serine/threonine-protein kinase,20210529,-
5322,59369997,PC9H_000156,PC9H_000156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369998,PC9H_000157,PC9H_000157,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59369999,PC9H_000158,PC9H_000158,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370000,POL30,PC9H_000159,-,-,Unknown,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20210529,-
5322,59370001,CAP64,PC9H_000160,-,-,Unknown,-,Cap64p,protein-coding,-,-,-,Cap64p,20210529,-
5322,59370002,PC9H_000161,PC9H_000161,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370003,PC9H_000162,PC9H_000162,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20201029,-
5322,59370004,PC9H_000163,PC9H_000163,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370005,PC9H_000164,PC9H_000164,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370006,PC9H_000165,PC9H_000165,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59370007,RPL34,PC9H_000166,-,-,Unknown,-,60S ribosomal protein L34,protein-coding,-,-,-,60S ribosomal protein L34,20210424,-
5322,59370008,PC9H_000167,PC9H_000167,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370009,PC9H_000168,PC9H_000168,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370010,PC9H_000169,PC9H_000169,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370011,PC9H_000170,PC9H_000170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370012,PC9H_000171,PC9H_000171,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59370013,RPL31,PC9H_000172,-,-,Unknown,-,60S ribosomal protein L31,protein-coding,-,-,-,60S ribosomal protein L31,20210116,-
5322,59370014,PC9H_000173,PC9H_000173,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370015,TOF1,PC9H_000174,-,-,Unknown,-,Topoisomerase 1-associated factor 1,protein-coding,-,-,-,Topoisomerase 1-associated factor 1,20210529,-
5322,59370016,PC9H_000175,PC9H_000175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370017,CAP59,PC9H_000176,-,-,Unknown,-,capsular associated protein,protein-coding,-,-,-,capsular associated protein,20210424,-
5322,59370018,PC9H_000177,PC9H_000177,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370019,PC9H_000178,PC9H_000178,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370020,PC9H_000179,PC9H_000179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370021,PC9H_000180,PC9H_000180,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370022,PC9H_000181,PC9H_000181,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370023,PC9H_000182,PC9H_000182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59370024,PC9H_000183,PC9H_000183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59370025,PC9H_000184,PC9H_000184,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5322,59370026,PC9H_000185,PC9H_000185,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370027,DNAJC2,PC9H_000186,-,-,Unknown,-,"DnaJ (Hsp40), sub C, member 2",protein-coding,-,-,-,"DnaJ (Hsp40), sub C, member 2",20210424,-
5322,59370028,PC9H_000187,PC9H_000187,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201029,-
5322,59370029,PC9H_000188,PC9H_000188,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5322,59370030,PC9H_000189,PC9H_000189,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
