#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10666,65055713,KMB99_gp001,KMB99_gp001,EcT6_00001,-,-,-,membrane ATPase,protein-coding,-,-,-,membrane ATPase,20210607,-
10666,65055757,KMB99_gp045,KMB99_gp045,EcT6_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055758,KMB99_gp046,KMB99_gp046,EcT6_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055759,KMB99_gp047,KMB99_gp047,EcT6_00047,-,-,-,phage-associated DNA polymerase,protein-coding,-,-,-,phage-associated DNA polymerase,20210607,-
10666,65055760,KMB99_gp048,KMB99_gp048,EcT6_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055761,KMB99_gp049,KMB99_gp049,EcT6_00049,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20210607,-
10666,65055762,KMB99_gp050,KMB99_gp050,EcT6_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055763,KMB99_gp051,KMB99_gp051,EcT6_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055764,KMB99_gp052,KMB99_gp052,EcT6_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055765,KMB99_gp053,KMB99_gp053,EcT6_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055766,KMB99_gp054,KMB99_gp054,EcT6_00054,-,-,-,SMC domain-containing protein,protein-coding,-,-,-,SMC domain-containing protein,20210607,-
10666,65055767,KMB99_gp055,KMB99_gp055,EcT6_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055768,KMB99_gp056,KMB99_gp056,EcT6_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055769,XhlA,KMB99_gp057,EcT6_00057,-,-,-,hemolysin,protein-coding,-,-,-,hemolysin,20210607,-
10666,65055770,KMB99_gp059,KMB99_gp059,EcT6_00059,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20210607,-
10666,65055771,KMB99_gp060,KMB99_gp060,EcT6_00060,-,-,-,prohead core protein protease,protein-coding,-,-,-,prohead core protein protease,20210607,-
10666,65055772,KMB99_gp061,KMB99_gp061,EcT6_00061,-,-,-,head assembly cochaperone with GroES,protein-coding,-,-,-,head assembly cochaperone with GroES,20210607,-
10666,65055773,KMB99_gp062,KMB99_gp062,EcT6_00062,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210612,-
10666,65055774,KMB99_gp063,KMB99_gp063,EcT6_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055775,KMB99_gp064,KMB99_gp064,EcT6_00064,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210608,-
10666,65055776,KMB99_gp065,KMB99_gp065,EcT6_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055777,KMB99_gp066,KMB99_gp066,EcT6_00066,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210607,-
10666,65055778,KMB99_gp067,KMB99_gp067,EcT6_00067,-,-,-,prohead assembly scaffold protein,protein-coding,-,-,-,prohead assembly scaffold protein,20210607,-
10666,65055779,KMB99_gp068,KMB99_gp068,EcT6_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055780,KMB99_gp069,KMB99_gp069,EcT6_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055781,KMB99_gp070,KMB99_gp070,EcT6_00070,-,-,-,chaperone for long tail fiber formation,protein-coding,-,-,-,chaperone for long tail fiber formation,20210607,-
10666,65055782,KMB99_gp071,KMB99_gp071,EcT6_00071,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20210612,-
10666,65055783,KMB99_gp072,KMB99_gp072,EcT6_00072,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
10666,65055784,KMB99_gp073,KMB99_gp073,EcT6_00073,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
10666,65055785,KMB99_gp074,KMB99_gp074,EcT6_00074,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
10666,65055786,KMB99_gp075,KMB99_gp075,EcT6_00075,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
10666,65055787,KMB99_gp076,KMB99_gp076,EcT6_00076,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
10666,65055788,KMB99_gp077,KMB99_gp077,EcT6_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055789,KMB99_gp078,KMB99_gp078,EcT6_00078,-,-,-,inhibitor of host Lon protease,protein-coding,-,-,-,inhibitor of host Lon protease,20210607,-
10666,65055790,KMB99_gp079,KMB99_gp079,EcT6_00079,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
10666,65055791,KMB99_gp080,KMB99_gp080,EcT6_00080,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
10666,65055792,KMB99_gp081,KMB99_gp081,EcT6_00081,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
10666,65055793,KMB99_gp082,KMB99_gp082,EcT6_00082,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20210607,-
10666,65055794,KMB99_gp083,KMB99_gp083,EcT6_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055795,KMB99_gp084,KMB99_gp084,EcT6_00084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055796,KMB99_gp085,KMB99_gp085,EcT6_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055797,KMB99_gp086,KMB99_gp086,EcT6_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055798,KMB99_gp087,KMB99_gp087,EcT6_00087,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
10666,65055799,KMB99_gp088,KMB99_gp088,EcT6_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055800,KMB99_gp089,KMB99_gp089,EcT6_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055801,KMB99_gp090,KMB99_gp090,EcT6_00090,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
10666,65055802,KMB99_gp091,KMB99_gp091,EcT6_00091,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210607,-
10666,65055803,KMB99_gp092,KMB99_gp092,EcT6_00092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055804,KMB99_gp093,KMB99_gp093,EcT6_00093,-,-,-,nrdC.10 hypothetical protein,protein-coding,-,-,-,nrdC.10 hypothetical protein,20210608,-
10666,65055805,KMB99_gp094,KMB99_gp094,EcT6_00094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055806,KMB99_gp095,KMB99_gp095,EcT6_00095,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
10666,65055807,KMB99_gp096,KMB99_gp096,EcT6_00096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055808,KMB99_gp097,KMB99_gp097,EcT6_00097,-,-,-,integrase and recombinase,protein-coding,-,-,-,integrase and recombinase,20210607,-
10666,65055809,KMB99_gp098,KMB99_gp098,EcT6_00098,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210607,-
10666,65055810,kilA,KMB99_gp099,EcT6_00099,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20210607,-
10666,65055811,KMB99_gp101,KMB99_gp101,EcT6_00101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055812,KMB99_gp102,KMB99_gp102,EcT6_00102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055813,KMB99_gp103,KMB99_gp103,EcT6_00103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055814,KMB99_gp104,KMB99_gp104,EcT6_00104,-,-,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20210607,-
10666,65055815,KMB99_gp105,KMB99_gp105,EcT6_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055816,KMB99_gp106,KMB99_gp106,EcT6_00106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055817,KMB99_gp107,KMB99_gp107,EcT6_00107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055818,KMB99_gp108,KMB99_gp108,EcT6_00108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055819,KMB99_gp109,KMB99_gp109,EcT6_00109,-,-,-,Tk.2 conserved hypothetical protein,protein-coding,-,-,-,Tk.2 conserved hypothetical protein,20210607,-
10666,65055820,KMB99_gp110,KMB99_gp110,EcT6_00110,-,-,-,rI antiholin,protein-coding,-,-,-,rI antiholin,20210607,-
10666,65055821,KMB99_gp111,KMB99_gp111,EcT6_00111,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210607,-
10666,65055822,KMB99_gp112,KMB99_gp112,EcT6_00112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055823,KMB99_gp113,KMB99_gp113,EcT6_00113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055824,KMB99_gp114,KMB99_gp114,EcT6_00114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055825,KMB99_gp115,KMB99_gp115,EcT6_00115,-,-,-,rI antiholin,protein-coding,-,-,-,rI antiholin,20210607,-
10666,65055826,KMB99_gp116,KMB99_gp116,EcT6_00116,-,-,-,site-specific RNase,protein-coding,-,-,-,site-specific RNase,20210607,-
10666,65055827,KMB99_gp117,KMB99_gp117,EcT6_00117,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210607,-
10666,65055828,KMB99_gp118,KMB99_gp118,EcT6_00118,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
10666,65055829,KMB99_gp119,KMB99_gp119,EcT6_00119,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
10666,65055830,KMB99_gp120,KMB99_gp120,EcT6_00120,-,-,-,e.3 conserved hypothetical predicted membrane protein,protein-coding,-,-,-,e.3 conserved hypothetical predicted membrane protein,20210607,-
10666,65055831,KMB99_gp121,KMB99_gp121,EcT6_00121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055832,KMB99_gp122,KMB99_gp122,EcT6_00122,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
10666,65055833,KMB99_gp123,KMB99_gp123,EcT6_00123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055834,KMB99_gp124,KMB99_gp124,EcT6_00124,-,-,-,capsid scaffolding protein,protein-coding,-,-,-,capsid scaffolding protein,20210607,-
10666,65055835,KMB99_gp125,KMB99_gp125,EcT6_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055836,KMB99_gt001,KMB99_gt001,EcT6_00126,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055837,KMB99_gp265,KMB99_gp265,EcT6_00127,-,-,-,serine recombinase,protein-coding,-,-,-,serine recombinase,20210607,-
10666,65055838,KMB99_gt002,KMB99_gt002,EcT6_00128,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055839,KMB99_gt003,KMB99_gt003,EcT6_00129,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055840,KMB99_gt004,KMB99_gt004,EcT6_00130,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055841,KMB99_gt005,KMB99_gt005,EcT6_00131,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055842,KMB99_gt006,KMB99_gt006,EcT6_00132,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055843,KMB99_gt007,KMB99_gt007,EcT6_00133,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
10666,65055844,KMB99_gp264,KMB99_gp264,EcT6_00134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055845,KMB99_gp263,KMB99_gp263,EcT6_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055846,KMB99_gp262,KMB99_gp262,EcT6_00136,-,-,-,putative Cro/Cl-type repressor,protein-coding,-,-,-,putative Cro/Cl-type repressor,20210607,-
10666,65055847,KMB99_gp261,KMB99_gp261,EcT6_00137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055848,KMB99_gp260,KMB99_gp260,EcT6_00138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055849,KMB99_gp259,KMB99_gp259,EcT6_00139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055850,KMB99_gp258,KMB99_gp258,EcT6_00140,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210607,-
10666,65055851,KMB99_gp257,KMB99_gp257,EcT6_00141,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210607,-
10666,65055852,KMB99_gp256,KMB99_gp256,EcT6_00142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055853,KMB99_gp255,KMB99_gp255,EcT6_00143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055854,KMB99_gp254,KMB99_gp254,EcT6_00144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
10666,65055855,KMB99_gp253,KMB99_gp253,EcT6_00145,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210612,-
10666,65055856,KMB99_gp252,KMB99_gp252,EcT6_00146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055857,KMB99_gp251,KMB99_gp251,EcT6_00147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055858,KMB99_gp250,KMB99_gp250,EcT6_00148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055859,KMB99_gp249,KMB99_gp249,EcT6_00149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
10666,65055860,KMB99_gp248,KMB99_gp248,EcT6_00150,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
10666,65055861,KMB99_gp247,KMB99_gp247,EcT6_00151,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
10666,65055862,KMB99_gp246,KMB99_gp246,EcT6_00152,-,-,-,gp8 baseplate wedge subunit,protein-coding,-,-,-,gp8 baseplate wedge subunit,20210607,-
10666,65055863,KMB99_gp245,KMB99_gp245,EcT6_00153,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
10666,65055864,KMB99_gp244,KMB99_gp244,EcT6_00154,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
10666,65055865,KMB99_gp243,KMB99_gp243,EcT6_00155,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20210607,-
10666,65055866,KMB99_gp242,KMB99_gp242,EcT6_00156,-,-,-,phage tail fiber protein,protein-coding,-,-,-,phage tail fiber protein,20210607,-
10666,65055867,KMB99_gp241,KMB99_gp241,EcT6_00157,-,-,-,phage neck whiskers protein,protein-coding,-,-,-,phage neck whiskers protein,20210607,-
10666,65055868,KMB99_gp240,KMB99_gp240,EcT6_00158,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210607,-
10666,65055869,KMB99_gp239,KMB99_gp239,EcT6_00159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055870,KMB99_gp238,KMB99_gp238,EcT6_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055871,KMB99_gp237,KMB99_gp237,EcT6_00161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055872,KMB99_gp236,KMB99_gp236,EcT6_00162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055873,KMB99_gp235,KMB99_gp235,EcT6_00163,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
10666,65055874,KMB99_gp234,KMB99_gp234,EcT6_00164,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
10666,65055875,KMB99_gp233,KMB99_gp233,EcT6_00165,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210607,-
10666,65055876,KMB99_gp232,KMB99_gp232,EcT6_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
10666,65055877,KMB99_gp231,KMB99_gp231,EcT6_00167,-,-,-,chaperone for long tail fiber formation,protein-coding,-,-,-,chaperone for long tail fiber formation,20210607,-
10666,65055878,KMB99_gp230,KMB99_gp230,EcT6_00168,-,-,-,phage prohead core protein,protein-coding,-,-,-,phage prohead core protein,20210607,-
10666,65055879,KMB99_gp229,KMB99_gp229,EcT6_00169,-,-,-,phage capsid and scaffold protein,protein-coding,-,-,-,phage capsid and scaffold protein,20210607,-
10666,65055880,KMB99_gp228,KMB99_gp228,EcT6_00170,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210612,-
10666,65055881,KMB99_gp227,KMB99_gp227,EcT6_00171,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
10666,65055882,KMB99_gp226,KMB99_gp226,EcT6_00172,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
10666,65055883,KMB99_gp225,KMB99_gp225,EcT6_00173,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
10666,65055884,KMB99_gp224,KMB99_gp224,EcT6_00174,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
10666,65055885,KMB99_gp223,KMB99_gp223,EcT6_00175,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
10666,65055886,KMB99_gp222,KMB99_gp222,EcT6_00176,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
10666,65055887,KMB99_gp221,KMB99_gp221,EcT6_00177,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20210607,-
10666,65055888,KMB99_gp220,KMB99_gp220,EcT6_00178,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
10666,65055889,KMB99_gp219,KMB99_gp219,EcT6_00179,-,-,-,phage capsid and scaffold protein,protein-coding,-,-,-,phage capsid and scaffold protein,20210607,-
10666,65055890,KMB99_gp218,KMB99_gp218,EcT6_00180,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
10666,65055891,KMB99_gp217,KMB99_gp217,EcT6_00181,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
10666,65055892,KMB99_gp216,KMB99_gp216,EcT6_00182,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210607,-
