#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54402318,P153DRAFT_10752,P153DRAFT_10752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402319,P153DRAFT_107556,P153DRAFT_107556,-,-,Unknown,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210320,-
1392245,54402320,P153DRAFT_108275,P153DRAFT_108275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402321,P153DRAFT_108284,P153DRAFT_108284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402322,P153DRAFT_108426,P153DRAFT_108426,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402323,P153DRAFT_108514,P153DRAFT_108514,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402324,P153DRAFT_108809,P153DRAFT_108809,-,-,Unknown,-,cyclin-domain-containing protein,protein-coding,-,-,-,cyclin-domain-containing protein,20210320,-
1392245,54402325,P153DRAFT_108810,P153DRAFT_108810,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402326,P153DRAFT_109189,P153DRAFT_109189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402327,P153DRAFT_109333,P153DRAFT_109333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402328,P153DRAFT_109418,P153DRAFT_109418,-,-,Unknown,-,Metallo-hydrolase/oxidoreductase,protein-coding,-,-,-,Metallo-hydrolase/oxidoreductase,20210320,-
1392245,54402329,P153DRAFT_110043,P153DRAFT_110043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402330,P153DRAFT_110128,P153DRAFT_110128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402331,P153DRAFT_110491,P153DRAFT_110491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402332,P153DRAFT_110524,P153DRAFT_110524,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402333,P153DRAFT_110566,P153DRAFT_110566,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402334,P153DRAFT_110606,P153DRAFT_110606,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402335,P153DRAFT_110937,P153DRAFT_110937,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402336,P153DRAFT_111061,P153DRAFT_111061,-,-,Unknown,-,alpha-ketoacid dehydrogenase kinase,protein-coding,-,-,-,alpha-ketoacid dehydrogenase kinase,20210320,-
1392245,54402337,P153DRAFT_111062,P153DRAFT_111062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402338,P153DRAFT_11107,P153DRAFT_11107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402339,P153DRAFT_111254,P153DRAFT_111254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402340,P153DRAFT_111621,P153DRAFT_111621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402341,P153DRAFT_111658,P153DRAFT_111658,-,-,Unknown,-,signal peptidase 22 kDa subunit,protein-coding,-,-,-,signal peptidase 22 kDa subunit,20210320,-
1392245,54402342,P153DRAFT_111718,P153DRAFT_111718,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402343,P153DRAFT_111750,P153DRAFT_111750,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402344,P153DRAFT_111916,P153DRAFT_111916,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402345,P153DRAFT_111967,P153DRAFT_111967,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402346,P153DRAFT_112104,P153DRAFT_112104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402347,P153DRAFT_112573,P153DRAFT_112573,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402348,P153DRAFT_112607,P153DRAFT_112607,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402349,P153DRAFT_112638,P153DRAFT_112638,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402350,P153DRAFT_112702,P153DRAFT_112702,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402351,P153DRAFT_112805,P153DRAFT_112805,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402352,P153DRAFT_112866,P153DRAFT_112866,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402353,P153DRAFT_112960,P153DRAFT_112960,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402354,P153DRAFT_113098,P153DRAFT_113098,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402355,P153DRAFT_113643,P153DRAFT_113643,-,-,Unknown,-,SEP-domain-containing protein,protein-coding,-,-,-,SEP-domain-containing protein,20210320,-
1392245,54402356,P153DRAFT_113892,P153DRAFT_113892,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402357,P153DRAFT_113972,P153DRAFT_113972,-,-,Unknown,-,SPX-domain-containing protein,protein-coding,-,-,-,SPX-domain-containing protein,20210320,-
1392245,54402358,P153DRAFT_113999,P153DRAFT_113999,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402359,P153DRAFT_114018,P153DRAFT_114018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402360,P153DRAFT_114034,P153DRAFT_114034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402361,P153DRAFT_114085,P153DRAFT_114085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402362,P153DRAFT_114745,P153DRAFT_114745,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402363,P153DRAFT_114768,P153DRAFT_114768,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402364,P153DRAFT_11480,P153DRAFT_11480,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210320,-
1392245,54402365,P153DRAFT_115014,P153DRAFT_115014,-,-,Unknown,-,protein phosphatase 2A regulatory B subunit,protein-coding,-,-,-,protein phosphatase 2A regulatory B subunit,20210320,-
1392245,54402366,P153DRAFT_115029,P153DRAFT_115029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402367,P153DRAFT_115165,P153DRAFT_115165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402368,P153DRAFT_115229,P153DRAFT_115229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402369,P153DRAFT_115412,P153DRAFT_115412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402370,P153DRAFT_115526,P153DRAFT_115526,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402371,P153DRAFT_115785,P153DRAFT_115785,-,-,Unknown,-,ATP-dependent RNA helicase fal1,protein-coding,-,-,-,ATP-dependent RNA helicase fal1,20210320,-
1392245,54402372,P153DRAFT_115891,P153DRAFT_115891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402373,P153DRAFT_116017,P153DRAFT_116017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402374,P153DRAFT_116291,P153DRAFT_116291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402375,P153DRAFT_116509,P153DRAFT_116509,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402376,P153DRAFT_116554,P153DRAFT_116554,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402377,P153DRAFT_116600,P153DRAFT_116600,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402378,P153DRAFT_116865,P153DRAFT_116865,-,-,Unknown,-,negative transcriptional regulator,protein-coding,-,-,-,negative transcriptional regulator,20210320,-
1392245,54402379,P153DRAFT_116920,P153DRAFT_116920,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402380,P153DRAFT_116965,P153DRAFT_116965,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402381,P153DRAFT_117017,P153DRAFT_117017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402382,P153DRAFT_117085,P153DRAFT_117085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402383,P153DRAFT_117349,P153DRAFT_117349,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402384,P153DRAFT_11771,P153DRAFT_11771,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402385,P153DRAFT_11781,P153DRAFT_11781,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402386,P153DRAFT_117959,P153DRAFT_117959,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402387,P153DRAFT_118004,P153DRAFT_118004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402388,P153DRAFT_11802,P153DRAFT_11802,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402389,P153DRAFT_118092,P153DRAFT_118092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402390,P153DRAFT_118389,P153DRAFT_118389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402391,P153DRAFT_118683,P153DRAFT_118683,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402392,P153DRAFT_118705,P153DRAFT_118705,-,-,Unknown,-,p53-like transcription factor,protein-coding,-,-,-,p53-like transcription factor,20210320,-
1392245,54402393,P153DRAFT_118782,P153DRAFT_118782,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402394,P153DRAFT_118953,P153DRAFT_118953,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402395,P153DRAFT_119005,P153DRAFT_119005,-,-,Unknown,-,RecF/RecN/SMC protein,protein-coding,-,-,-,RecF/RecN/SMC protein,20210320,-
1392245,54402396,P153DRAFT_119158,P153DRAFT_119158,-,-,Unknown,-,ergosterol biosynthesis protein-like protein,protein-coding,-,-,-,ergosterol biosynthesis protein-like protein,20210320,-
1392245,54402397,P153DRAFT_119233,P153DRAFT_119233,-,-,Unknown,-,long-chain-fatty-acid-CoA ligase 1,protein-coding,-,-,-,long-chain-fatty-acid-CoA ligase 1,20210320,-
1392245,54402398,P153DRAFT_119240,P153DRAFT_119240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402399,P153DRAFT_119276,P153DRAFT_119276,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402400,P153DRAFT_119925,P153DRAFT_119925,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402401,P153DRAFT_119975,P153DRAFT_119975,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402402,P153DRAFT_120063,P153DRAFT_120063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402403,P153DRAFT_120162,P153DRAFT_120162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402404,P153DRAFT_120294,P153DRAFT_120294,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402405,P153DRAFT_120503,P153DRAFT_120503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402406,P153DRAFT_120730,P153DRAFT_120730,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402407,P153DRAFT_120886,P153DRAFT_120886,-,-,Unknown,-,mitochondrial heat shock protein-like protein,protein-coding,-,-,-,mitochondrial heat shock protein-like protein,20210320,-
1392245,54402408,P153DRAFT_121511,P153DRAFT_121511,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402409,P153DRAFT_121522,P153DRAFT_121522,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402410,P153DRAFT_121595,P153DRAFT_121595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402411,P153DRAFT_121685,P153DRAFT_121685,-,-,Unknown,-,peptidyl-prolyl cis-trans isomerase,protein-coding,-,-,-,peptidyl-prolyl cis-trans isomerase,20210320,-
1392245,54402412,P153DRAFT_121861,P153DRAFT_121861,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402413,P153DRAFT_122196,P153DRAFT_122196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402414,P153DRAFT_12225,P153DRAFT_12225,-,-,Unknown,-,transcription factor spt3,protein-coding,-,-,-,transcription factor spt3,20210320,-
1392245,54402415,P153DRAFT_122288,P153DRAFT_122288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402416,P153DRAFT_122375,P153DRAFT_122375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402417,P153DRAFT_122451,P153DRAFT_122451,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402418,P153DRAFT_122531,P153DRAFT_122531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402419,P153DRAFT_122581,P153DRAFT_122581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402420,P153DRAFT_122611,P153DRAFT_122611,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402421,P153DRAFT_122798,P153DRAFT_122798,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402422,P153DRAFT_12297,P153DRAFT_12297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402423,P153DRAFT_122988,P153DRAFT_122988,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54402424,P153DRAFT_123197,P153DRAFT_123197,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402425,P153DRAFT_123216,P153DRAFT_123216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402426,P153DRAFT_123305,P153DRAFT_123305,-,-,Unknown,-,oxysterol binding protein 1,protein-coding,-,-,-,oxysterol binding protein 1,20210320,-
1392245,54402427,P153DRAFT_123306,P153DRAFT_123306,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402428,P153DRAFT_123395,P153DRAFT_123395,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402429,P153DRAFT_12354,P153DRAFT_12354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402430,P153DRAFT_12367,P153DRAFT_12367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402431,P153DRAFT_124095,P153DRAFT_124095,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402432,P153DRAFT_12433,P153DRAFT_12433,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402433,P153DRAFT_124349,P153DRAFT_124349,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402434,P153DRAFT_124358,P153DRAFT_124358,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402435,P153DRAFT_124431,P153DRAFT_124431,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402436,P153DRAFT_124609,P153DRAFT_124609,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402437,P153DRAFT_12504,P153DRAFT_12504,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402438,P153DRAFT_12506,P153DRAFT_12506,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402439,P153DRAFT_125180,P153DRAFT_125180,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402440,P153DRAFT_125259,P153DRAFT_125259,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402441,P153DRAFT_125339,P153DRAFT_125339,-,-,Unknown,-,"TolB, C-terminal domain-containing protein",protein-coding,-,-,-,"TolB, C-terminal domain-containing protein",20210320,-
1392245,54402442,P153DRAFT_125708,P153DRAFT_125708,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20210320,-
1392245,54402443,P153DRAFT_12612,P153DRAFT_12612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54402444,P153DRAFT_126130,P153DRAFT_126130,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402445,P153DRAFT_126185,P153DRAFT_126185,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402446,P153DRAFT_126330,P153DRAFT_126330,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210320,-
1392245,54402447,P153DRAFT_126401,P153DRAFT_126401,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402448,P153DRAFT_126664,P153DRAFT_126664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54402449,P153DRAFT_126873,P153DRAFT_126873,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54402450,P153DRAFT_127267,P153DRAFT_127267,-,-,Unknown,-,ARM repeat-containing protein,protein-coding,-,-,-,ARM repeat-containing protein,20210320,-
