#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079287,54988379,HOS76_gp02,HOS76_gp02,PsPhHenninger_gp51,-,-,-,protein inside capsid A,protein-coding,-,-,-,protein inside capsid A,20210403,-
2079287,54988410,HOS76_gp33,HOS76_gp33,PsPhHenninger_gp20,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210403,-
2079287,54988411,HOS76_gp34,HOS76_gp34,PsPhHenninger_gp19,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2079287,54988412,HOS76_gp35,HOS76_gp35,PsPhHenninger_gp18,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
2079287,54988413,HOS76_gp36,HOS76_gp36,PsPhHenninger_gp17,-,-,-,polymerase,protein-coding,-,-,-,polymerase,20210403,-
2079287,54988414,HOS76_gp37,HOS76_gp37,PsPhHenninger_gp16,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20210403,-
2079287,54988415,HOS76_gp38,HOS76_gp38,PsPhHenninger_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988416,HOS76_gp39,HOS76_gp39,PsPhHenninger_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079287,54988417,HOS76_gp40,HOS76_gp40,PsPhHenninger_gp13,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2079287,54988418,HOS76_gp41,HOS76_gp41,PsPhHenninger_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988419,HOS76_gp42,HOS76_gp42,PsPhHenninger_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2079287,54988420,HOS76_gp43,HOS76_gp43,PsPhHenninger_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079287,54988421,HOS76_gp44,HOS76_gp44,PsPhHenninger_gp09,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2079287,54988422,HOS76_gp45,HOS76_gp45,PsPhHenninger_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079287,54988423,HOS76_gp46,HOS76_gp46,PsPhHenninger_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079287,54988424,HOS76_gp47,HOS76_gp47,PsPhHenninger_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079287,54988425,HOS76_gp48,HOS76_gp48,PsPhHenninger_gp05,-,-,-,virion assembly protein,protein-coding,-,-,-,virion assembly protein,20210403,-
2079287,54988426,HOS76_gp49,HOS76_gp49,PsPhHenninger_gp04,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210403,-
2079287,54988427,HOS76_gp50,HOS76_gp50,PsPhHenninger_gp03,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210403,-
2079287,54988428,HOS76_gp51,HOS76_gp51,PsPhHenninger_gp02,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210403,-
2079287,54988429,HOS76_gp52,HOS76_gp52,PsPhHenninger_gp01,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2079287,54988430,HOS76_gp01,HOS76_gp01,PsPhHenninger_gp52,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2079287,55153818,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
