#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821537,29123569,2,BJD70_gp02,SEA_PANCHINO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821537,29123582,16,BJD70_gp16,SEA_PANCHINO_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1821537,29123583,14,BJD70_gp15,SEA_PANCHINO_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821537,29123584,17,BJD70_gp17,SEA_PANCHINO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123585,18,BJD70_gp18,SEA_PANCHINO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123586,19,BJD70_gp19,SEA_PANCHINO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123587,20,BJD70_gp20,SEA_PANCHINO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123588,21,BJD70_gp21,SEA_PANCHINO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123589,22,BJD70_gp22,SEA_PANCHINO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123590,23,BJD70_gp23,SEA_PANCHINO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123591,24,BJD70_gp24,SEA_PANCHINO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123592,25,BJD70_gp25,SEA_PANCHINO_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821537,29123593,26,BJD70_gp26,SEA_PANCHINO_26,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1821537,29123594,27,BJD70_gp27,SEA_PANCHINO_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821537,29123595,28,BJD70_gp28,SEA_PANCHINO_28,-,-,-,type 1 restriction enzyme,protein-coding,-,-,-,type 1 restriction enzyme,20200927,-
1821537,29123596,29,BJD70_gp29,SEA_PANCHINO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123597,30,BJD70_gp30,SEA_PANCHINO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123598,31,BJD70_gp31,SEA_PANCHINO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1821537,29123599,32,BJD70_gp32,SEA_PANCHINO_32,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
1821537,29123600,33,BJD70_gp33,SEA_PANCHINO_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
1821537,29123601,34,BJD70_gp34,SEA_PANCHINO_34,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
1821537,29123602,35,BJD70_gp35,SEA_PANCHINO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123603,36,BJD70_gp36,SEA_PANCHINO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123604,37,BJD70_gp37,SEA_PANCHINO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123605,38,BJD70_gp38,SEA_PANCHINO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123606,39,BJD70_gp39,SEA_PANCHINO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123607,40,BJD70_gp40,SEA_PANCHINO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123608,41,BJD70_gp41,SEA_PANCHINO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123609,42,BJD70_gp42,SEA_PANCHINO_42,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
1821537,29123610,43,BJD70_gp43,SEA_PANCHINO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123611,44,BJD70_gp44,SEA_PANCHINO_44,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1821537,29123612,45,BJD70_gp45,SEA_PANCHINO_45,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
1821537,29123613,46,BJD70_gp46,SEA_PANCHINO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123614,47,BJD70_gp47,SEA_PANCHINO_47,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200927,-
1821537,29123615,48,BJD70_gp48,SEA_PANCHINO_48,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200927,-
1821537,29123616,49,BJD70_gp49,SEA_PANCHINO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123617,50,BJD70_gp50,SEA_PANCHINO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123618,51,BJD70_gp51,SEA_PANCHINO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123619,52,BJD70_gp52,SEA_PANCHINO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123620,53,BJD70_gp53,SEA_PANCHINO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123621,54,BJD70_gp54,SEA_PANCHINO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123622,55,BJD70_gp55,SEA_PANCHINO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123623,56,BJD70_gp56,SEA_PANCHINO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123624,57,BJD70_gp57,SEA_PANCHINO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123625,58,BJD70_gp58,SEA_PANCHINO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123626,59,BJD70_gp59,SEA_PANCHINO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123627,60,BJD70_gp60,SEA_PANCHINO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123628,61,BJD70_gp61,SEA_PANCHINO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123629,62,BJD70_gp62,SEA_PANCHINO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123630,63,BJD70_gp63,SEA_PANCHINO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123631,64,BJD70_gp64,SEA_PANCHINO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123632,65,BJD70_gp65,SEA_PANCHINO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29123633,66,BJD70_gp66,SEA_PANCHINO_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821537,29123634,1,BJD70_gp01,SEA_PANCHINO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821537,29140824,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Panchino).,other,-,-,-,-,20200513,-
