#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419762,55016094,HOV62_gp001,HOV62_gp001,MAR004NP2_00001,-,1,-,putative ssDNA-binding transcriptional regulator,protein-coding,-,-,-,putative ssDNA-binding transcriptional regulator,20210320,-
2419762,55016105,HOV62_gp012,HOV62_gp012,MAR004NP2_00012,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016106,HOV62_gp013,HOV62_gp013,MAR004NP2_00013,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016107,HOV62_gp014,HOV62_gp014,MAR004NP2_00014,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016108,HOV62_gp015,HOV62_gp015,MAR004NP2_00015,-,1,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20210403,-
2419762,55016109,g090,HOV62_gp016,MAR004NP2_00016,-,1,-,"phosphate starvation-inducible protein PhoH,predicted ATPase",protein-coding,-,-,-,"phosphate starvation-inducible protein PhoH,predicted ATPase",20210313,-
2419762,55016110,nrdA,HOV62_gp018,MAR004NP2_00018,-,1,-,"putative aerobic ribonucleoside diphosphate reductase, large subunit",protein-coding,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, large subunit",20210403,-
2419762,55016111,HOV62_gp020,HOV62_gp020,MAR004NP2_00020,-,1,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20201221,-
2419762,55016112,thy,HOV62_gp021,MAR004NP2_00021,-,1,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210403,-
2419762,55016113,HOV62_gp023,HOV62_gp023,MAR004NP2_00023,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016114,HOV62_gp024,HOV62_gp024,MAR004NP2_00024,-,1,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20201221,-
2419762,55016115,HOV62_gp025,HOV62_gp025,MAR004NP2_00025,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016116,HOV62_gp026,HOV62_gp026,MAR004NP2_00026,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016117,HOV62_gp027,HOV62_gp027,MAR004NP2_00027,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016118,HOV62_gp028,HOV62_gp028,MAR004NP2_00028,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016119,HOV62_gp029,HOV62_gp029,MAR004NP2_00029,-,1,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20201221,-
2419762,55016120,HOV62_gp030,HOV62_gp030,MAR004NP2_00030,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016121,g074,HOV62_gp031,MAR004NP2_00031,-,1,-,Phage tail fiber protein,protein-coding,-,-,-,Phage tail fiber protein,20201221,-
2419762,55016122,HOV62_gp033,HOV62_gp033,MAR004NP2_00033,-,1,-,spore cortex-lytic enzyme precursor,protein-coding,-,-,-,spore cortex-lytic enzyme precursor,20210313,-
2419762,55016123,HOV62_gp034,HOV62_gp034,MAR004NP2_00034,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016124,HOV62_gp035,HOV62_gp035,MAR004NP2_00035,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419762,55016125,HOV62_gt001,HOV62_gt001,MAR004NP2_00036,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016126,HOV62_gp156,HOV62_gp156,MAR004NP2_00037,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419762,55016127,HOV62_gp155,HOV62_gp155,MAR004NP2_00038,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016128,HOV62_gt002,HOV62_gt002,MAR004NP2_00039,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016129,HOV62_gp154,HOV62_gp154,MAR004NP2_00040,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016130,HOV62_gt003,HOV62_gt003,MAR004NP2_00041,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016131,HOV62_gp153,HOV62_gp153,MAR004NP2_00042,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016132,HOV62_gp152,HOV62_gp152,MAR004NP2_00043,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016133,HOV62_gp151,HOV62_gp151,MAR004NP2_00044,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016134,HOV62_gt004,HOV62_gt004,MAR004NP2_00045,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016135,HOV62_gt005,HOV62_gt005,MAR004NP2_00046,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016136,HOV62_gt006,HOV62_gt006,MAR004NP2_00047,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016137,HOV62_gp150,HOV62_gp150,MAR004NP2_00048,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016138,HOV62_gp149,HOV62_gp149,MAR004NP2_00049,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016139,HOV62_gt007,HOV62_gt007,MAR004NP2_00050,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016140,HOV62_gp148,HOV62_gp148,MAR004NP2_00051,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016141,HOV62_gp147,HOV62_gp147,MAR004NP2_00052,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016142,HOV62_gt008,HOV62_gt008,MAR004NP2_00053,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016143,HOV62_gp146,HOV62_gp146,MAR004NP2_00054,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016144,HOV62_gt009,HOV62_gt009,MAR004NP2_00055,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016145,HOV62_gp145,HOV62_gp145,MAR004NP2_00056,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016146,HOV62_gp144,HOV62_gp144,MAR004NP2_00057,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016147,HOV62_gt010,HOV62_gt010,MAR004NP2_00058,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016148,HOV62_gt011,HOV62_gt011,MAR004NP2_00059,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016149,HOV62_gp143,HOV62_gp143,MAR004NP2_00060,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016150,HOV62_gt012,HOV62_gt012,MAR004NP2_00061,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016151,HOV62_gt013,HOV62_gt013,MAR004NP2_00062,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016152,HOV62_gt014,HOV62_gt014,MAR004NP2_00063,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016153,HOV62_gp142,HOV62_gp142,MAR004NP2_00064,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016154,HOV62_gt015,HOV62_gt015,MAR004NP2_00065,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016155,HOV62_gp141,HOV62_gp141,MAR004NP2_00066,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016156,HOV62_gt016,HOV62_gt016,MAR004NP2_00067,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016157,HOV62_gt017,HOV62_gt017,MAR004NP2_00068,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016158,HOV62_gt018,HOV62_gt018,MAR004NP2_00069,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016159,HOV62_gp140,HOV62_gp140,MAR004NP2_00070,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016160,HOV62_gp139,HOV62_gp139,MAR004NP2_00071,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016161,HOV62_gt019,HOV62_gt019,MAR004NP2_00072,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016162,HOV62_gp138,HOV62_gp138,MAR004NP2_00073,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016163,HOV62_gt020,HOV62_gt020,MAR004NP2_00074,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016164,HOV62_gt021,HOV62_gt021,MAR004NP2_00075,-,1,-,tRNA,tRNA,-,-,-,-,20201221,-
2419762,55016165,HOV62_gp137,HOV62_gp137,MAR004NP2_00076,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016166,HOV62_gp136,HOV62_gp136,MAR004NP2_00077,-,1,-,putative acetyltransferase-related protein,protein-coding,-,-,-,putative acetyltransferase-related protein,20210403,-
2419762,55016167,HOV62_gp135,HOV62_gp135,MAR004NP2_00078,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016168,HOV62_gp134,HOV62_gp134,MAR004NP2_00079,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016169,HOV62_gp133,HOV62_gp133,MAR004NP2_00080,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016170,HOV62_gp132,HOV62_gp132,MAR004NP2_00081,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016171,HOV62_gp131,HOV62_gp131,MAR004NP2_00082,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016172,HOV62_gp130,HOV62_gp130,MAR004NP2_00083,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016173,HOV62_gp129,HOV62_gp129,MAR004NP2_00084,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016174,HOV62_gp128,HOV62_gp128,MAR004NP2_00085,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016175,HOV62_gp127,HOV62_gp127,MAR004NP2_00086,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016176,HOV62_gp126,HOV62_gp126,MAR004NP2_00087,-,1,-,H-N-H-endonuclease F-TflVI,protein-coding,-,-,-,H-N-H-endonuclease F-TflVI,20210129,-
2419762,55016177,HOV62_gp125,HOV62_gp125,MAR004NP2_00088,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016178,HOV62_gp124,HOV62_gp124,MAR004NP2_00089,-,1,-,deoxynucleoside-5'-monophosphate kinase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphate kinase,20210129,-
2419762,55016179,HOV62_gp123,HOV62_gp123,MAR004NP2_00090,-,1,-,putative ATP-dependent Clp protease,protein-coding,-,-,-,putative ATP-dependent Clp protease,20210403,-
2419762,55016180,HOV62_gp122,HOV62_gp122,MAR004NP2_00091,-,1,-,putative holin,protein-coding,-,-,-,putative holin,20210403,-
2419762,55016181,lys,HOV62_gp121,MAR004NP2_00092,-,1,-,lysozyme,protein-coding,-,-,-,lysozyme,20210212,-
2419762,55016182,HOV62_gp119,HOV62_gp119,MAR004NP2_00094,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016183,HOV62_gp118,HOV62_gp118,MAR004NP2_00095,-,1,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20210123,-
2419762,55016184,HOV62_gp117,HOV62_gp117,MAR004NP2_00096,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016185,HOV62_gp116,HOV62_gp116,MAR004NP2_00097,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016186,HOV62_gp115,HOV62_gp115,MAR004NP2_00098,-,1,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210403,-
2419762,55016187,HOV62_gp114,HOV62_gp114,MAR004NP2_00099,-,1,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210403,-
2419762,55016188,HOV62_gp113,HOV62_gp113,MAR004NP2_00100,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016189,HOV62_gp112,HOV62_gp112,MAR004NP2_00101,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016190,HOV62_gp111,HOV62_gp111,MAR004NP2_00102,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016191,HOV62_gp110,HOV62_gp110,MAR004NP2_00103,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016192,HOV62_gp109,HOV62_gp109,MAR004NP2_00104,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016193,HOV62_gp108,HOV62_gp108,MAR004NP2_00105,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016194,HOV62_gp107,HOV62_gp107,MAR004NP2_00106,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016195,HOV62_gp106,HOV62_gp106,MAR004NP2_00107,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016196,HOV62_gp105,HOV62_gp105,MAR004NP2_00108,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016197,HOV62_gp104,HOV62_gp104,MAR004NP2_00109,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016198,HOV62_gp103,HOV62_gp103,MAR004NP2_00110,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016199,HOV62_gp102,HOV62_gp102,MAR004NP2_00111,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016200,HOV62_gp101,HOV62_gp101,MAR004NP2_00112,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016201,HOV62_gp100,HOV62_gp100,MAR004NP2_00113,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016202,HOV62_gp099,HOV62_gp099,MAR004NP2_00114,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016203,HOV62_gp098,HOV62_gp098,MAR004NP2_00115,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016204,HOV62_gp097,HOV62_gp097,MAR004NP2_00116,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016205,HOV62_gp096,HOV62_gp096,MAR004NP2_00117,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016206,HOV62_gp095,HOV62_gp095,MAR004NP2_00118,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016207,HOV62_gp094,HOV62_gp094,MAR004NP2_00119,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016208,HOV62_gp093,HOV62_gp093,MAR004NP2_00120,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016209,HOV62_gp092,HOV62_gp092,MAR004NP2_00121,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016210,HOV62_gp091,HOV62_gp091,MAR004NP2_00122,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016211,HOV62_gp090,HOV62_gp090,MAR004NP2_00123,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016212,HOV62_gp089,HOV62_gp089,MAR004NP2_00124,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016213,HOV62_gp088,HOV62_gp088,MAR004NP2_00125,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016214,HOV62_gp087,HOV62_gp087,MAR004NP2_00126,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016215,HOV62_gp086,HOV62_gp086,MAR004NP2_00127,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016216,HOV62_gp085,HOV62_gp085,MAR004NP2_00128,-,1,-,DNA binding protein A2,protein-coding,-,-,-,DNA binding protein A2,20201221,-
2419762,55016217,HOV62_gp084,HOV62_gp084,MAR004NP2_00129,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016218,HOV62_gp083,HOV62_gp083,MAR004NP2_00130,-,1,-,DNA transfer protein A1,protein-coding,-,-,-,DNA transfer protein A1,20201221,-
2419762,55016219,HOV62_gp082,HOV62_gp082,MAR004NP2_00131,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016220,HOV62_gp081,HOV62_gp081,MAR004NP2_00132,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016221,HOV62_gp080,HOV62_gp080,MAR004NP2_00133,-,1,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20201221,-
2419762,55016222,HOV62_gp079,HOV62_gp079,MAR004NP2_00134,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016223,HOV62_gp078,HOV62_gp078,MAR004NP2_00135,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016224,HOV62_gp077,HOV62_gp077,MAR004NP2_00136,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016225,HOV62_gp076,HOV62_gp076,MAR004NP2_00137,-,1,-,receptor-blocking protein,protein-coding,-,-,-,receptor-blocking protein,20210403,-
2419762,55016226,orf158,HOV62_gp075,MAR004NP2_00138,-,1,-,receptor-binding tail protein,protein-coding,-,-,-,receptor-binding tail protein,20201221,-
2419762,55016227,HOV62_gp073,HOV62_gp073,MAR004NP2_00140,-,1,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20201221,-
2419762,55016228,HOV62_gp072,HOV62_gp072,MAR004NP2_00141,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016229,HOV62_gp071,HOV62_gp071,MAR004NP2_00142,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419762,55016230,HOV62_gp070,HOV62_gp070,MAR004NP2_00143,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016231,g141,HOV62_gp069,MAR004NP2_00144,-,1,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419762,55016232,HOV62_gp067,HOV62_gp067,MAR004NP2_00146,-,1,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201221,-
2419762,55016233,HOV62_gp066,HOV62_gp066,MAR004NP2_00147,-,1,-,major head protein precursor,protein-coding,-,-,-,major head protein precursor,20210403,-
2419762,55016234,HOV62_gp065,HOV62_gp065,MAR004NP2_00148,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016235,HOV62_gp064,HOV62_gp064,MAR004NP2_00149,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016236,HOV62_gp063,HOV62_gp063,MAR004NP2_00150,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016237,HOV62_gp062,HOV62_gp062,MAR004NP2_00151,-,1,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2419762,55016238,HOV62_gp061,HOV62_gp061,MAR004NP2_00152,-,1,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419762,55016239,HOV62_gp060,HOV62_gp060,MAR004NP2_00153,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016240,HOV62_gp059,HOV62_gp059,MAR004NP2_00154,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016241,HOV62_gp058,HOV62_gp058,MAR004NP2_00155,-,1,-,pore-forming tail tip protein,protein-coding,-,-,-,pore-forming tail tip protein,20210403,-
2419762,55016242,HOV62_gp057,HOV62_gp057,MAR004NP2_00156,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016243,HOV62_gp056,HOV62_gp056,MAR004NP2_00157,-,1,-,tail protein Pb3,protein-coding,-,-,-,tail protein Pb3,20210403,-
2419762,55016244,HOV62_gp055,HOV62_gp055,MAR004NP2_00158,-,1,-,tail protein Pb4,protein-coding,-,-,-,tail protein Pb4,20201221,-
2419762,55016245,orf138,HOV62_gp054,MAR004NP2_00159,-,1,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201221,-
2419762,55016246,HOV62_gp052,HOV62_gp052,MAR004NP2_00161,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016247,orf135,HOV62_gp051,MAR004NP2_00162,-,1,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2419762,55016248,HOV62_gp049,HOV62_gp049,MAR004NP2_00164,-,1,-,flap endonuclease,protein-coding,-,-,-,flap endonuclease,20201221,-
2419762,55016249,HOV62_gp048,HOV62_gp048,MAR004NP2_00165,-,1,-,endonuclease D14,protein-coding,-,-,-,endonuclease D14,20201221,-
2419762,55016250,HOV62_gp047,HOV62_gp047,MAR004NP2_00166,-,1,-,putative exonuclease subunit 2,protein-coding,-,-,-,putative exonuclease subunit 2,20210403,-
2419762,55016251,HOV62_gp046,HOV62_gp046,MAR004NP2_00167,-,1,-,putative recombination endonuclease subunit D12,protein-coding,-,-,-,putative recombination endonuclease subunit D12,20210403,-
2419762,55016252,HOV62_gp045,HOV62_gp045,MAR004NP2_00168,-,1,-,Escherichia virus T5 protein D11,protein-coding,-,-,-,Escherichia virus T5 protein D11,20201221,-
2419762,55016253,HOV62_gp044,HOV62_gp044,MAR004NP2_00169,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016254,HOV62_gp043,HOV62_gp043,MAR004NP2_00170,-,1,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210123,-
2419762,55016255,HOV62_gp042,HOV62_gp042,MAR004NP2_00171,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016256,HOV62_gp041,HOV62_gp041,MAR004NP2_00172,-,1,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2419762,55016257,HOV62_gp040,HOV62_gp040,MAR004NP2_00173,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016258,HOV62_gp039,HOV62_gp039,MAR004NP2_00174,-,1,-,putative DNA replication primase,protein-coding,-,-,-,putative DNA replication primase,20210123,-
2419762,55016259,HOV62_gp038,HOV62_gp038,MAR004NP2_00175,-,1,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20210320,-
2419762,55016260,HOV62_gp037,HOV62_gp037,MAR004NP2_00176,-,1,-,DNA-binding protein D5,protein-coding,-,-,-,DNA-binding protein D5,20210327,-
2419762,55016261,HOV62_gp036,HOV62_gp036,MAR004NP2_00177,-,1,-,NAD-dependent DNA ligase subunit B,protein-coding,-,-,-,NAD-dependent DNA ligase subunit B,20210403,-
2419762,55016262,HOV62_gp032,HOV62_gp032,MAR004NP2_00032,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016263,HOV62_gp017,HOV62_gp017,MAR004NP2_00017,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016264,HOV62_gp068,HOV62_gp068,MAR004NP2_00145,-,1,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210403,-
2419762,55016265,HOV62_gp120,HOV62_gp120,MAR004NP2_00093,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419762,55016266,HOV62_gp019,HOV62_gp019,MAR004NP2_00019,-,1,-,"putative aerobic ribonucleoside diphosphate reductase, small subunit",protein-coding,-,-,-,"putative aerobic ribonucleoside diphosphate reductase, small subunit",20210123,-
2419762,55016267,HOV62_gp050,HOV62_gp050,MAR004NP2_00163,-,1,-,putative deoxyUTP pyrophosphatase,protein-coding,-,-,-,putative deoxyUTP pyrophosphatase,20210403,-
