#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499025,55009963,2,HOU97_gp02,SEA_KENNA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2499025,55009985,24,HOU97_gp24,SEA_KENNA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009986,25,HOU97_gp25,SEA_KENNA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009987,26,HOU97_gp26,SEA_KENNA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009988,27,HOU97_gp27,SEA_KENNA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
2499025,55009989,28,HOU97_gp28,SEA_KENNA_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2499025,55009990,29,HOU97_gp29,SEA_KENNA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009991,30,HOU97_gp30,SEA_KENNA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009992,31,HOU97_gp31,SEA_KENNA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009993,32,HOU97_gp32,SEA_KENNA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009994,33,HOU97_gp33,SEA_KENNA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009995,34,HOU97_gp34,SEA_KENNA_34,-,-,-,lipase,protein-coding,-,-,-,lipase,20210403,-
2499025,55009996,35,HOU97_gp35,SEA_KENNA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009997,36,HOU97_gp36,SEA_KENNA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009998,37,HOU97_gp37,SEA_KENNA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55009999,38,HOU97_gp38,SEA_KENNA_38,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210403,-
2499025,55010000,39,HOU97_gp39,SEA_KENNA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010001,40,HOU97_gp40,SEA_KENNA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010002,41,HOU97_gp41,SEA_KENNA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010003,42,HOU97_gp42,SEA_KENNA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010004,43,HOU97_gp43,SEA_KENNA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010005,44,HOU97_gp44,SEA_KENNA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010006,45,HOU97_gp45,SEA_KENNA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010007,46,HOU97_gp46,SEA_KENNA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010008,47,HOU97_gp47,SEA_KENNA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499025,55010009,48,HOU97_gp48,SEA_KENNA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010010,49,HOU97_gp49,SEA_KENNA_49,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2499025,55010011,50,HOU97_gp50,SEA_KENNA_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2499025,55010012,51,HOU97_gp51,SEA_KENNA_51,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210212,-
2499025,55010013,52,HOU97_gp52,SEA_KENNA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010014,53,HOU97_gp53,SEA_KENNA_53,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
2499025,55010015,55,HOU97_gp55,SEA_KENNA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010016,56,HOU97_gp56,SEA_KENNA_56,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2499025,55010017,57,HOU97_gp57,SEA_KENNA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010018,58,HOU97_gp58,SEA_KENNA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010019,59,HOU97_gp59,SEA_KENNA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010020,60,HOU97_gp60,SEA_KENNA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010021,61,HOU97_gp61,SEA_KENNA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010022,62,HOU97_gp62,SEA_KENNA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010023,63,HOU97_gp63,SEA_KENNA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010024,64,HOU97_gp64,SEA_KENNA_64,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210212,-
2499025,55010025,65,HOU97_gp65,SEA_KENNA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010026,66,HOU97_gp66,SEA_KENNA_66,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210212,-
2499025,55010027,67,HOU97_gp67,SEA_KENNA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010028,68,HOU97_gp68,SEA_KENNA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010029,69,HOU97_gp69,SEA_KENNA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499025,55010030,70,HOU97_gp70,SEA_KENNA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499025,55010031,71,HOU97_gp71,SEA_KENNA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010032,72,HOU97_gp72,SEA_KENNA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010033,73,HOU97_gp73,SEA_KENNA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010034,74,HOU97_gp74,SEA_KENNA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010035,75,HOU97_gp75,SEA_KENNA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010036,76,HOU97_gp76,SEA_KENNA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010037,77,HOU97_gp77,SEA_KENNA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010038,78,HOU97_gp78,SEA_KENNA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010039,79,HOU97_gp79,SEA_KENNA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2499025,55010040,80,HOU97_gp80,SEA_KENNA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010041,81,HOU97_gp81,SEA_KENNA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010042,82,HOU97_gp82,SEA_KENNA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010043,83,HOU97_gp83,SEA_KENNA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010044,84,HOU97_gp84,SEA_KENNA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010045,85,HOU97_gp85,SEA_KENNA_85,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2499025,55010046,86,HOU97_gp86,SEA_KENNA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010047,87,HOU97_gp87,SEA_KENNA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010048,88,HOU97_gp88,SEA_KENNA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010049,89,HOU97_gp89,SEA_KENNA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010050,90,HOU97_gp90,SEA_KENNA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010051,91,HOU97_gp91,SEA_KENNA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010052,92,HOU97_gp92,SEA_KENNA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010053,93,HOU97_gp93,SEA_KENNA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010054,94,HOU97_gp94,SEA_KENNA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010055,95,HOU97_gp95,SEA_KENNA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010056,96,HOU97_gp96,SEA_KENNA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010057,97,HOU97_gp97,SEA_KENNA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010058,98,HOU97_gp98,SEA_KENNA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010059,54,HOU97_gp54,SEA_KENNA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499025,55010060,1,HOU97_gp01,SEA_KENNA_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2499025,55154292,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
