#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1042122,14008260,F390_gp02,F390_gp02,phi13O_gp2,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
1042122,14008273,F390_gp15,F390_gp15,phi13O_gp15,-,-,-,lysophospholipase L1-related esterase,protein-coding,-,-,-,lysophospholipase L1-related esterase,20201220,-
1042122,14008274,F390_gp16,F390_gp16,phi13O_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008275,F390_gp17,F390_gp17,phi13O_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008276,F390_gp18,F390_gp18,phi13O_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008277,F390_gp19,F390_gp19,phi13O_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008278,F390_gp20,F390_gp20,phi13O_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008279,F390_gp21,F390_gp21,phi13O_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008280,F390_gp22,F390_gp22,phi13O_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008281,F390_gp23,F390_gp23,phi13O_gp23,-,-,-,phage-related minor tail protein,protein-coding,-,-,-,phage-related minor tail protein,20201220,-
1042122,14008282,F390_gp24,F390_gp24,phi13O_gp24,-,-,-,phage-related minor tail protein,protein-coding,-,-,-,phage-related minor tail protein,20201220,-
1042122,14008283,F390_gp25,F390_gp25,phi13O_gp25,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20201220,-
1042122,14008284,F390_gp26,F390_gp26,phi13O_gp26,-,-,-,putative phage tail component,protein-coding,-,-,-,putative phage tail component,20201220,-
1042122,14008285,F390_gp27,F390_gp27,phi13O_gp27,-,-,-,predicted hydrolase,protein-coding,-,-,-,predicted hydrolase,20201220,-
1042122,14008286,F390_gp28,F390_gp28,phi13O_gp28,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201220,-
1042122,14008287,F390_gp29,F390_gp29,phi13O_gp29,-,-,-,small integral membrane protein,protein-coding,-,-,-,small integral membrane protein,20201220,-
1042122,14008288,F390_gp30,F390_gp30,phi13O_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008289,F390_gp31,F390_gp31,phi13O_gp31,-,-,-,phage anti-repressor protein,protein-coding,-,-,-,phage anti-repressor protein,20201220,-
1042122,14008290,F390_gp32,F390_gp32,phi13O_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008291,F390_gp33,F390_gp33,phi13O_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008292,F390_gp34,F390_gp34,phi13O_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008293,F390_gp35,F390_gp35,phi13O_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008294,F390_gp36,F390_gp36,phi13O_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008295,F390_gp37,F390_gp37,phi13O_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008296,F390_gp38,F390_gp38,phi13O_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008297,F390_gp39,F390_gp39,phi13O_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008298,F390_gp40,F390_gp40,phi13O_gp40,-,-,-,uncharacterized phage-encoded protein,protein-coding,-,-,-,uncharacterized phage-encoded protein,20201220,-
1042122,14008299,F390_gp41,F390_gp41,phi13O_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008300,F390_gp42,F390_gp42,phi13O_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008301,F390_gp43,F390_gp43,phi13O_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008302,F390_gp44,F390_gp44,phi13O_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008303,F390_gp45,F390_gp45,phi13O_gp45,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20201220,-
1042122,14008304,F390_gp46,F390_gp46,phi13O_gp46,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20201220,-
1042122,14008305,F390_gp47,F390_gp47,phi13O_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008306,F390_gp48,F390_gp48,phi13O_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008307,F390_gp49,F390_gp49,phi13O_gp49,-,-,-,predicted alternative thymidylate synthase,protein-coding,-,-,-,predicted alternative thymidylate synthase,20201220,-
1042122,14008308,F390_gp50,F390_gp50,phi13O_gp50,-,-,-,single-strand binding protein,protein-coding,-,-,-,single-strand binding protein,20201220,-
1042122,14008309,F390_gp51,F390_gp51,phi13O_gp51,-,-,-,CHC2 zinc finger protein,protein-coding,-,-,-,CHC2 zinc finger protein,20201220,-
1042122,14008310,F390_gp52,F390_gp52,phi13O_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008311,F390_gp53,F390_gp53,phi13O_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008312,F390_gp54,F390_gp54,phi13O_gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008313,F390_gp55,F390_gp55,phi13O_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14008314,F390_gp01,F390_gp01,phi13O_gp1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1042122,14023532,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Clostridium phage phi13O).,other,-,-,-,-,20200513,-
