#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1542477,26640048,psaC,AVU42_gp223,-,-,-,-,photosystem I iron-sulfur subunit VII,protein-coding,-,-,-,photosystem I iron-sulfur subunit VII,20201221,-
1542477,26640138,AVU42_gp082,AVU42_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640139,AVU42_gp083,AVU42_gp083,-,-,-,-,CP12 protein,protein-coding,-,-,-,CP12 protein,20201221,-
1542477,26640140,AVU42_gp084,AVU42_gp084,-,-,-,-,putative baseplate wedge protein,protein-coding,-,-,-,putative baseplate wedge protein,20201221,-
1542477,26640141,AVU42_gp085,AVU42_gp085,-,-,-,-,putative baseplate wedge,protein-coding,-,-,-,putative baseplate wedge,20201221,-
1542477,26640142,AVU42_gp086,AVU42_gp086,-,-,-,-,putative baseplate wedge initiator,protein-coding,-,-,-,putative baseplate wedge initiator,20201221,-
1542477,26640143,AVU42_gp087,AVU42_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640144,AVU42_gp088,AVU42_gp088,-,-,-,-,putative baseplate wedge,protein-coding,-,-,-,putative baseplate wedge,20201221,-
1542477,26640145,AVU42_gp089,AVU42_gp089,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20201221,-
1542477,26640146,AVU42_gp090,AVU42_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640147,AVU42_gp091,AVU42_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640148,AVU42_gp092,AVU42_gp092,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20201221,-
1542477,26640149,AVU42_gp093,AVU42_gp093,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20201221,-
1542477,26640150,AVU42_gp094,AVU42_gp094,-,-,-,-,putative proximal tail sheath stabilization protein,protein-coding,-,-,-,putative proximal tail sheath stabilization protein,20201221,-
1542477,26640151,AVU42_gp095,AVU42_gp095,-,-,-,-,putative terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,putative terminase DNA packaging enzyme small subunit,20201221,-
1542477,26640152,AVU42_gp096,AVU42_gp096,-,-,-,-,putative tail fiber-like protein,protein-coding,-,-,-,putative tail fiber-like protein,20201221,-
1542477,26640153,AVU42_gp097,AVU42_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640154,AVU42_gp098,AVU42_gp098,-,-,-,-,putative terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,putative terminase DNA packaging enzyme large subunit,20201221,-
1542477,26640155,AVU42_gp099,AVU42_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640156,AVU42_gp100,AVU42_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640157,AVU42_gp101,AVU42_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640158,AVU42_gp102,AVU42_gp102,-,-,-,-,putative tail sheath monomer,protein-coding,-,-,-,putative tail sheath monomer,20201221,-
1542477,26640159,AVU42_gp103,AVU42_gp103,-,-,-,-,putative tail tube monomer,protein-coding,-,-,-,putative tail tube monomer,20201221,-
1542477,26640160,AVU42_gp104,AVU42_gp104,-,-,-,-,putative portal vertex protein of head,protein-coding,-,-,-,putative portal vertex protein of head,20201221,-
1542477,26640161,AVU42_gp105,AVU42_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640162,AVU42_gp106,AVU42_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640163,AVU42_gp107,AVU42_gp107,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201221,-
1542477,26640164,AVU42_gp108,AVU42_gp108,-,-,-,-,putative prohead core scaffold protein,protein-coding,-,-,-,putative prohead core scaffold protein,20201221,-
1542477,26640165,AVU42_gp109,AVU42_gp109,-,-,-,-,putative precursor of major head subunit,protein-coding,-,-,-,putative precursor of major head subunit,20201221,-
1542477,26640166,AVU42_gp110,AVU42_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640167,AVU42_gp111,AVU42_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640168,AVU42_gp112,AVU42_gp112,-,-,-,-,putative head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,putative head-proximal tip of tail tube tail completion + sheath stabilizer protein,20201221,-
1542477,26640169,AVU42_gp113,AVU42_gp113,-,-,-,-,putative repair and recombination protein,protein-coding,-,-,-,putative repair and recombination protein,20201221,-
1542477,26640170,AVU42_gp114,AVU42_gp114,-,-,-,-,putative RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,putative RNA-DNA + DNA-DNA helicase,20201221,-
1542477,26640171,AVU42_gp115,AVU42_gp115,-,-,-,-,putative methylamine utilization protein,protein-coding,-,-,-,putative methylamine utilization protein,20201221,-
1542477,26640172,AVU42_gp116,AVU42_gp116,-,-,-,-,putative late sigma factor,protein-coding,-,-,-,putative late sigma factor,20201221,-
1542477,26640173,AVU42_gp117,AVU42_gp117,-,-,-,-,putative recombination endonuclease subunit,protein-coding,-,-,-,putative recombination endonuclease subunit,20201221,-
1542477,26640174,AVU42_gp118,AVU42_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640175,AVU42_gp119,AVU42_gp119,-,-,-,-,putative ecombination endonuclease subunit,protein-coding,-,-,-,putative ecombination endonuclease subunit,20201221,-
1542477,26640176,AVU42_gp120,AVU42_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640177,AVU42_gp121,AVU42_gp121,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20201221,-
1542477,26640178,AVU42_gp122,AVU42_gp122,-,-,-,-,putative phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,putative phosphoribosylaminoimidazole synthetase,20201221,-
1542477,26640179,AVU42_gp123,AVU42_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640180,AVU42_gp124,AVU42_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640181,AVU42_gp125,AVU42_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640182,AVU42_gp126,AVU42_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640183,AVU42_gp127,AVU42_gp127,-,-,-,-,putative cobalt chelatase subunit,protein-coding,-,-,-,putative cobalt chelatase subunit,20201221,-
1542477,26640184,AVU42_gp128,AVU42_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640185,AVU42_gp129,AVU42_gp129,-,-,-,-,putative sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,putative sliding clamp DNA polymerase accessory protein,20201221,-
1542477,26640186,AVU42_gp130,AVU42_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640187,AVU42_gp131,AVU42_gp131,-,-,-,-,putative S-adenosylmethionine decarboxylase,protein-coding,-,-,-,putative S-adenosylmethionine decarboxylase,20201221,-
1542477,26640188,AVU42_gp132,AVU42_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640189,AVU42_gp133,AVU42_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640190,AVU42_gp134,AVU42_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640191,AVU42_gp135,AVU42_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640192,AVU42_gp136,AVU42_gp136,-,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20201221,-
1542477,26640193,AVU42_gp137,AVU42_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640194,AVU42_gp138,AVU42_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640195,AVU42_gp139,AVU42_gp139,-,-,-,-,putative photosystem II protein,protein-coding,-,-,-,putative photosystem II protein,20201221,-
1542477,26640196,AVU42_gp140,AVU42_gp140,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20201221,-
1542477,26640197,AVU42_gp141,AVU42_gp141,-,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20201221,-
1542477,26640198,AVU42_gp142,AVU42_gp142,-,-,-,-,putative translation repressor,protein-coding,-,-,-,putative translation repressor,20201221,-
1542477,26640199,AVU42_gp143,AVU42_gp143,-,-,-,-,putative heat-shock protein,protein-coding,-,-,-,putative heat-shock protein,20201221,-
1542477,26640200,AVU42_gp144,AVU42_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640201,AVU42_gp145,AVU42_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640202,AVU42_gp146,AVU42_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640203,AVU42_gp147,AVU42_gp147,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1542477,26640204,AVU42_gp148,AVU42_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640205,AVU42_gp149,AVU42_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640206,AVU42_gp150,AVU42_gp150,-,-,-,-,putative RecA-like protein,protein-coding,-,-,-,putative RecA-like protein,20201221,-
1542477,26640207,AVU42_gp151,AVU42_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640208,AVU42_gp152,AVU42_gp152,-,-,-,-,putative DNA primase-helicase,protein-coding,-,-,-,putative DNA primase-helicase,20201221,-
1542477,26640209,AVU42_gp153,AVU42_gp153,-,-,-,-,"putative fructose-1,6-bisphosphate aldolase",protein-coding,-,-,-,"putative fructose-1,6-bisphosphate aldolase",20201221,-
1542477,26640210,AVU42_gp154,AVU42_gp154,-,-,-,-,putative pyrophosphatase,protein-coding,-,-,-,putative pyrophosphatase,20201221,-
1542477,26640211,AVU42_gp155,AVU42_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640212,AVU42_gp156,AVU42_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640213,AVU42_gp157,AVU42_gp157,-,-,-,-,putative DNA modification methylase,protein-coding,-,-,-,putative DNA modification methylase,20201221,-
1542477,26640214,AVU42_gp158,AVU42_gp158,-,-,-,-,putative cytitidyltransferase,protein-coding,-,-,-,putative cytitidyltransferase,20201221,-
1542477,26640215,AVU42_gp159,AVU42_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640216,AVU42_gp160,AVU42_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640217,AVU42_gp161,AVU42_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640218,AVU42_gp162,AVU42_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640219,AVU42_gp163,AVU42_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640220,AVU42_gp164,AVU42_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640221,AVU42_gp165,AVU42_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640222,AVU42_gp166,AVU42_gp166,-,-,-,-,putative DNA primase subunit,protein-coding,-,-,-,putative DNA primase subunit,20201221,-
1542477,26640223,AVU42_gp167,AVU42_gp167,-,-,-,-,putative ribonucleotide reductase A subunit,protein-coding,-,-,-,putative ribonucleotide reductase A subunit,20201221,-
1542477,26640224,AVU42_gp168,AVU42_gp168,-,-,-,-,putative ribonucleotide reductase B subunit,protein-coding,-,-,-,putative ribonucleotide reductase B subunit,20201221,-
1542477,26640225,AVU42_gp169,AVU42_gp169,-,-,-,-,putative NADH dehydrogenase subunit P,protein-coding,-,-,-,putative NADH dehydrogenase subunit P,20201221,-
1542477,26640226,AVU42_gp170,AVU42_gp170,-,-,-,-,putative NAD synthetase,protein-coding,-,-,-,putative NAD synthetase,20201221,-
1542477,26640227,AVU42_gp171,AVU42_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640228,AVU42_gp172,AVU42_gp172,-,-,-,-,putative transaldolase,protein-coding,-,-,-,putative transaldolase,20201221,-
1542477,26640229,AVU42_gp173,AVU42_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640230,AVU42_gp174,AVU42_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640231,AVU42_gp175,AVU42_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640232,AVU42_gp176,AVU42_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640233,AVU42_gp177,AVU42_gp177,-,-,-,-,putative NAD-dependent epimerase,protein-coding,-,-,-,putative NAD-dependent epimerase,20201221,-
1542477,26640234,AVU42_gp178,AVU42_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640235,AVU42_gp179,AVU42_gp179,-,-,-,-,putative NAD+ synthetase,protein-coding,-,-,-,putative NAD+ synthetase,20201221,-
1542477,26640236,AVU42_gp180,AVU42_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1542477,26640237,AVU42_gp181,AVU42_gp181,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201221,-
1542477,26640238,AVU42_gp182,AVU42_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
