#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1556289,26629255,2,PBI_CAPTAINTRIPS_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1556289,26629276,23,PBI_CAPTAINTRIPS_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629277,24,PBI_CAPTAINTRIPS_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629278,25,PBI_CAPTAINTRIPS_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629279,26,PBI_CAPTAINTRIPS_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1556289,26629280,27,PBI_CAPTAINTRIPS_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629281,28,PBI_CAPTAINTRIPS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629282,29,PBI_CAPTAINTRIPS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629283,30,PBI_CAPTAINTRIPS_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629284,31,PBI_CAPTAINTRIPS_31,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1556289,26629285,32,PBI_CAPTAINTRIPS_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1556289,26629286,33,PBI_CAPTAINTRIPS_33,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1556289,26629287,34,PBI_CAPTAINTRIPS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629288,35,PBI_CAPTAINTRIPS_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629289,36,PBI_CAPTAINTRIPS_36,-,-,-,-,DnaQ-like nuclease,protein-coding,-,-,-,DnaQ-like nuclease,20210424,-
1556289,26629290,37,PBI_CAPTAINTRIPS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629291,38,PBI_CAPTAINTRIPS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629292,39,PBI_CAPTAINTRIPS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629293,40,PBI_CAPTAINTRIPS_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629294,41,PBI_CAPTAINTRIPS_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1556289,26629295,42,PBI_CAPTAINTRIPS_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629296,43,PBI_CAPTAINTRIPS_43,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1556289,26629297,44,PBI_CAPTAINTRIPS_44,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1556289,26629298,45,PBI_CAPTAINTRIPS_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629299,46,PBI_CAPTAINTRIPS_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629300,47,PBI_CAPTAINTRIPS_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629301,48,PBI_CAPTAINTRIPS_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629302,49,PBI_CAPTAINTRIPS_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629303,50,PBI_CAPTAINTRIPS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629304,51,PBI_CAPTAINTRIPS_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629305,52,PBI_CAPTAINTRIPS_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629306,53,PBI_CAPTAINTRIPS_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1556289,26629307,54,PBI_CAPTAINTRIPS_54,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1556289,26629308,55,PBI_CAPTAINTRIPS_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629309,56,PBI_CAPTAINTRIPS_56,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1556289,26629310,57,PBI_CAPTAINTRIPS_57,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1556289,26629311,58,PBI_CAPTAINTRIPS_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629312,59,PBI_CAPTAINTRIPS_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629313,60,PBI_CAPTAINTRIPS_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629314,61,PBI_CAPTAINTRIPS_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629315,62,PBI_CAPTAINTRIPS_62,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210129,-
1556289,26629316,63,PBI_CAPTAINTRIPS_63,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1556289,26629317,64,PBI_CAPTAINTRIPS_64,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210417,-
1556289,26629318,65,PBI_CAPTAINTRIPS_65,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
1556289,26629319,66,PBI_CAPTAINTRIPS_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629320,67,PBI_CAPTAINTRIPS_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629321,68,PBI_CAPTAINTRIPS_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629322,69,PBI_CAPTAINTRIPS_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629323,70,PBI_CAPTAINTRIPS_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629324,71,PBI_CAPTAINTRIPS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629325,72,PBI_CAPTAINTRIPS_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629326,73,PBI_CAPTAINTRIPS_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629327,74,PBI_CAPTAINTRIPS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629328,75,PBI_CAPTAINTRIPS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629329,76,PBI_CAPTAINTRIPS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629330,77,PBI_CAPTAINTRIPS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629331,78,PBI_CAPTAINTRIPS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629332,79,PBI_CAPTAINTRIPS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629333,80,PBI_CAPTAINTRIPS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629334,81,PBI_CAPTAINTRIPS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629335,82,PBI_CAPTAINTRIPS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629336,83,PBI_CAPTAINTRIPS_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629337,84,PBI_CAPTAINTRIPS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629338,85,PBI_CAPTAINTRIPS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629339,86,PBI_CAPTAINTRIPS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629340,87,PBI_CAPTAINTRIPS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629341,88,PBI_CAPTAINTRIPS_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629342,89,PBI_CAPTAINTRIPS_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629343,90,PBI_CAPTAINTRIPS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629344,91,PBI_CAPTAINTRIPS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629345,92,PBI_CAPTAINTRIPS_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629346,93,PBI_CAPTAINTRIPS_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629347,94,PBI_CAPTAINTRIPS_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629348,95,PBI_CAPTAINTRIPS_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629349,96,PBI_CAPTAINTRIPS_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1556289,26629350,97,PBI_CAPTAINTRIPS_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629351,98,PBI_CAPTAINTRIPS_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629352,99,PBI_CAPTAINTRIPS_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629353,100,PBI_CAPTAINTRIPS_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629354,101,PBI_CAPTAINTRIPS_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629355,102,PBI_CAPTAINTRIPS_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629356,103,PBI_CAPTAINTRIPS_103,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1556289,26629357,104,PBI_CAPTAINTRIPS_104,-,-,-,-,Ser/Thr kinase,protein-coding,-,-,-,Ser/Thr kinase,20210424,-
1556289,26629358,105,PBI_CAPTAINTRIPS_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26629359,106,PBI_CAPTAINTRIPS_106,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1556289,26629360,107,PBI_CAPTAINTRIPS_107,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1556289,26629361,1,PBI_CAPTAINTRIPS_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1556289,26680666,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage CaptainTrips).,other,-,-,-,-,20200513,-
