#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913118,60328185,2,I5H34_gp002,PBI_EMPRESS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
1913118,60328200,18,I5H34_gp018,PBI_EMPRESS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913118,60328201,19,I5H34_gp019,PBI_EMPRESS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913118,60328202,20,I5H34_gp020,PBI_EMPRESS_20,-,-,-,D-ala D-ala carboypeptidase,protein-coding,-,-,-,D-ala D-ala carboypeptidase,20210417,-
1913118,60328203,21,I5H34_gp021,PBI_EMPRESS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
1913118,60328204,22,I5H34_gp022,PBI_EMPRESS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328205,23,I5H34_gp023,PBI_EMPRESS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328206,24,I5H34_gp024,PBI_EMPRESS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328207,25,I5H34_gp025,PBI_EMPRESS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328208,26,I5H34_gp026,PBI_EMPRESS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
1913118,60328209,28,I5H34_gp028,PBI_EMPRESS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328210,29,I5H34_gp029,PBI_EMPRESS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328211,30,I5H34_gp030,PBI_EMPRESS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328212,31,I5H34_gp031,PBI_EMPRESS_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210425,-
1913118,60328213,32,I5H34_gp032,PBI_EMPRESS_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1913118,60328214,33,I5H34_gp033,PBI_EMPRESS_33,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1913118,60328215,34,I5H34_gp034,PBI_EMPRESS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1913118,60328216,35,I5H34_gp035,PBI_EMPRESS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328217,36,I5H34_gp036,PBI_EMPRESS_36,-,-,-,DNA Q-like exonuclease,protein-coding,-,-,-,DNA Q-like exonuclease,20210129,-
1913118,60328218,37,I5H34_gp037,PBI_EMPRESS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328219,38,I5H34_gp038,PBI_EMPRESS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328220,39,I5H34_gp039,PBI_EMPRESS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328221,40,I5H34_gp040,PBI_EMPRESS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328222,41,I5H34_gp041,PBI_EMPRESS_41,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210123,-
1913118,60328223,42,I5H34_gp042,PBI_EMPRESS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328224,44,I5H34_gp044,PBI_EMPRESS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328225,45,I5H34_gp045,PBI_EMPRESS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328226,47,I5H34_gp047,PBI_EMPRESS_47,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210417,-
1913118,60328227,48,I5H34_gp048,PBI_EMPRESS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328228,49,I5H34_gp049,PBI_EMPRESS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1913118,60328229,50,I5H34_gp050,PBI_EMPRESS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1913118,60328230,51,I5H34_gp051,PBI_EMPRESS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328231,52,I5H34_gp052,PBI_EMPRESS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328232,53,I5H34_gp053,PBI_EMPRESS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328233,54,I5H34_gp054,PBI_EMPRESS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1913118,60328234,55,I5H34_gp055,PBI_EMPRESS_55,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1913118,60328235,56,I5H34_gp056,PBI_EMPRESS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
1913118,60328236,57,I5H34_gp057,PBI_EMPRESS_57,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210403,-
1913118,60328237,58,I5H34_gp058,PBI_EMPRESS_58,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210212,-
1913118,60328238,59,I5H34_gp059,PBI_EMPRESS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328239,60,I5H34_gp060,PBI_EMPRESS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328240,61,I5H34_gp061,PBI_EMPRESS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328241,62,I5H34_gp062,PBI_EMPRESS_62,-,-,-,RecA,protein-coding,-,-,-,RecA,20210212,-
1913118,60328242,63,I5H34_gp063,PBI_EMPRESS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328243,64,I5H34_gp064,PBI_EMPRESS_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1913118,60328244,66,I5H34_gp066,PBI_EMPRESS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328245,67,I5H34_gp067,PBI_EMPRESS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1913118,60328246,68,I5H34_gp068,PBI_EMPRESS_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
1913118,60328247,69,I5H34_gp069,PBI_EMPRESS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328248,70,I5H34_gp070,PBI_EMPRESS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328249,71,I5H34_gp071,PBI_EMPRESS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328250,72,I5H34_gp072,PBI_EMPRESS_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
1913118,60328251,73,I5H34_gp073,PBI_EMPRESS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328252,74,I5H34_gp074,PBI_EMPRESS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328253,75,I5H34_gp075,PBI_EMPRESS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328254,76,I5H34_gp076,PBI_EMPRESS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328255,77,I5H34_gp077,PBI_EMPRESS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328256,79,I5H34_gp079,PBI_EMPRESS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328257,80,I5H34_gp080,PBI_EMPRESS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328258,81,I5H34_gp081,PBI_EMPRESS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328259,82,I5H34_gp082,PBI_EMPRESS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328260,83,I5H34_gp083,PBI_EMPRESS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328261,84,I5H34_gp084,PBI_EMPRESS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328262,85,I5H34_gp085,PBI_EMPRESS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328263,86,I5H34_gp086,PBI_EMPRESS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328264,87,I5H34_gp087,PBI_EMPRESS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328265,88,I5H34_gp088,PBI_EMPRESS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328266,89,I5H34_gp089,PBI_EMPRESS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328267,90,I5H34_gp090,PBI_EMPRESS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328268,92,I5H34_gp092,PBI_EMPRESS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328269,93,I5H34_gp093,PBI_EMPRESS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328270,94,I5H34_gp094,PBI_EMPRESS_94,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20210327,-
1913118,60328271,95,I5H34_gp095,PBI_EMPRESS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328272,96,I5H34_gp096,PBI_EMPRESS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328273,97,I5H34_gp097,PBI_EMPRESS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328274,98,I5H34_gp098,PBI_EMPRESS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328275,99,I5H34_gp099,PBI_EMPRESS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328276,100,I5H34_gp100,PBI_EMPRESS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328277,101,I5H34_gp101,PBI_EMPRESS_101,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210417,-
1913118,60328278,102,I5H34_gp102,PBI_EMPRESS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328279,103,I5H34_gp103,PBI_EMPRESS_103,-,-,-,hypothetitcal protein,protein-coding,-,-,-,hypothetitcal protein,20201129,-
1913118,60328280,104,I5H34_gp104,PBI_EMPRESS_104,-,-,-,N-acetylglucosaminyl transferace,protein-coding,-,-,-,N-acetylglucosaminyl transferace,20210327,-
1913118,60328281,27,I5H34_gp027,PBI_EMPRESS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328282,78,I5H34_gp078,PBI_EMPRESS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328283,65,I5H34_gp065,PBI_EMPRESS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328284,46,I5H34_gp046,PBI_EMPRESS_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
1913118,60328285,43,I5H34_gp043,PBI_EMPRESS_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1913118,60328286,91,I5H34_gp091,PBI_EMPRESS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913118,60328287,14,I5H34_gp014,PBI_EMPRESS_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1913118,60328288,1,I5H34_gp001,PBI_EMPRESS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1913118,60338577,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Empress).,other,-,-,-,-,20201130,-
