#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2029064,65072581,KMD34_gp02,KMD34_gp02,-,-,-,-,NA+/K+ ATPase,protein-coding,-,-,-,NA+/K+ ATPase,20210607,-
2029064,65072631,mtp,KMD34_gp47,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210612,-
2029064,65072632,KMD34_gp49,KMD34_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072633,KMD34_gp50,KMD34_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072634,KMD34_gp51,KMD34_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072635,tmp,KMD34_gp52,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
2029064,65072636,KMD34_gp54,KMD34_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072637,KMD34_gp55,KMD34_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072638,KMD34_gp56,KMD34_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072639,KMD34_gp57,KMD34_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072640,KMD34_gp58,KMD34_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2029064,65072641,KMD34_gp59,KMD34_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072642,KMD34_gp60,KMD34_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2029064,65072643,hol,KMD34_gp61,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2029064,65072644,lukS-PV,KMD34_gp64,-,-,-,-,Panton-Valentine leukocidin chain S precursor,protein-coding,-,-,-,Panton-Valentine leukocidin chain S precursor,20210609,-
2029064,65072645,int,KMD34_gp01,-,-,-,-,integrase of tyrosine recombinase family,protein-coding,-,-,-,integrase of tyrosine recombinase family,20210607,-
2029064,65242638,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
