#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099635,62362239,2,JMN78_gp02,SEA_MPLANT7149_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2099635,62362266,30,JMN78_gp30,SEA_MPLANT7149_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099635,62362267,31,JMN78_gp31,SEA_MPLANT7149_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099635,62362268,32,JMN78_gp32,SEA_MPLANT7149_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362269,33,JMN78_gp33,SEA_MPLANT7149_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362270,34,JMN78_gp34,SEA_MPLANT7149_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362271,35,JMN78_gp35,SEA_MPLANT7149_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362272,36,JMN78_gp36,SEA_MPLANT7149_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362273,37,JMN78_gp37,SEA_MPLANT7149_37,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2099635,62362274,38,JMN78_gp38,SEA_MPLANT7149_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362275,39,JMN78_gp39,SEA_MPLANT7149_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362276,40,JMN78_gp40,SEA_MPLANT7149_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362277,41,JMN78_gp41,SEA_MPLANT7149_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362278,42,JMN78_gp42,SEA_MPLANT7149_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362279,43,JMN78_gp43,SEA_MPLANT7149_43,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2099635,62362280,44,JMN78_gp44,SEA_MPLANT7149_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362281,45,JMN78_gp45,SEA_MPLANT7149_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362282,46,JMN78_gp46,SEA_MPLANT7149_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362283,47,JMN78_gp47,SEA_MPLANT7149_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099635,62362284,48,JMN78_gp48,SEA_MPLANT7149_48,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210123,-
2099635,62362285,49,JMN78_gp49,SEA_MPLANT7149_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362286,50,JMN78_gp50,SEA_MPLANT7149_50,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2099635,62362287,51,JMN78_gp51,SEA_MPLANT7149_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362288,52,JMN78_gp52,SEA_MPLANT7149_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362289,53,JMN78_gp53,SEA_MPLANT7149_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2099635,62362290,54,JMN78_gp54,SEA_MPLANT7149_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
2099635,62362291,56,JMN78_gp56,SEA_MPLANT7149_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362292,57,JMN78_gp57,SEA_MPLANT7149_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099635,62362293,58,JMN78_gp58,SEA_MPLANT7149_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362294,60,JMN78_gp60,SEA_MPLANT7149_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362295,61,JMN78_gp61,SEA_MPLANT7149_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362296,62,JMN78_gp62,SEA_MPLANT7149_62,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210417,-
2099635,62362297,63,JMN78_gp63,SEA_MPLANT7149_63,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
2099635,62362298,64,JMN78_gp64,SEA_MPLANT7149_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362299,65,JMN78_gp65,SEA_MPLANT7149_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362300,66,JMN78_gp66,SEA_MPLANT7149_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362301,67,JMN78_gp67,SEA_MPLANT7149_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362302,68,JMN78_gp68,SEA_MPLANT7149_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2099635,62362303,69,JMN78_gp69,SEA_MPLANT7149_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2099635,62362304,70,JMN78_gp70,SEA_MPLANT7149_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362305,71,JMN78_gp71,SEA_MPLANT7149_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362306,72,JMN78_gp72,SEA_MPLANT7149_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362307,73,JMN78_gp73,SEA_MPLANT7149_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099635,62362308,74,JMN78_gp74,SEA_MPLANT7149_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362309,75,JMN78_gp75,SEA_MPLANT7149_75,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2099635,62362310,76,JMN78_gp76,SEA_MPLANT7149_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362311,77,JMN78_gp77,SEA_MPLANT7149_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362312,78,JMN78_gp78,SEA_MPLANT7149_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362313,79,JMN78_gp79,SEA_MPLANT7149_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362314,80,JMN78_gp80,SEA_MPLANT7149_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362315,81,JMN78_gp81,SEA_MPLANT7149_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362316,82,JMN78_gp82,SEA_MPLANT7149_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362317,83,JMN78_gp83,SEA_MPLANT7149_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362318,84,JMN78_gp84,SEA_MPLANT7149_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362319,85,JMN78_gp85,SEA_MPLANT7149_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362320,86,JMN78_gp86,SEA_MPLANT7149_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362321,87,JMN78_gp87,SEA_MPLANT7149_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099635,62362322,88,JMN78_gp88,SEA_MPLANT7149_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362323,89,JMN78_gp89,SEA_MPLANT7149_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362324,90,JMN78_gp90,SEA_MPLANT7149_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099635,62362325,91,JMN78_gp91,SEA_MPLANT7149_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362326,92,JMN78_gp92,SEA_MPLANT7149_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362327,23,JMN78_gp23,SEA_MPLANT7149_23,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210417,-
2099635,62362328,55,JMN78_gp55,SEA_MPLANT7149_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62362329,59,JMN78_gp59,SEA_MPLANT7149_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2099635,62362330,1,JMN78_gp01,SEA_MPLANT7149_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099635,62368973,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
