#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
229533,3293533,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gibberella zeae PH-1).,other,-,-,-,-,20210522,-
229533,23547582,FGSG_00067,FGSG_00067,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547583,FGSG_00068,FGSG_00068,-,-,1,-,alpha-galactosidase C precursor,protein-coding,-,-,-,-,20160813,-
229533,23547584,FGSG_00069,FGSG_00069,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547585,FGSG_00070,FGSG_00070,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547586,FGSG_00071,FGSG_00071,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547587,FGSG_00072,FGSG_00072,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547588,FGSG_00073,FGSG_00073,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547589,FGSG_00074,FGSG_00074,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547590,FGSG_00075,FGSG_00075,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547591,FGSG_00076,FGSG_00076,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547592,FGSG_00077,FGSG_00077,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547593,FGSG_00078,FGSG_00078,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547594,FGSG_00079,FGSG_00079,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547595,FGSG_00080,FGSG_00080,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547596,FGSG_00081,FGSG_00081,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547597,FGSG_00082,FGSG_00082,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547598,FGSG_00083,FGSG_00083,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547599,FGSG_00084,FGSG_00084,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547600,FGSG_00085,FGSG_00085,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547601,FGSG_00087,FGSG_00087,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547602,FGSG_00089,FGSG_00089,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547603,FGSG_00090,FGSG_00090,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547604,FGSG_00091,FGSG_00091,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547605,FGSG_00092,FGSG_00092,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547606,FGSG_00093,FGSG_00093,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547607,FGSG_00094,FGSG_00094,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547608,FGSG_00095,FGSG_00095,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547609,FGSG_00096,FGSG_00096,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547610,FGSG_00097,FGSG_00097,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547611,FGSG_00099,FGSG_00099,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547612,FGSG_00100,FGSG_00100,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547613,FGSG_00101,FGSG_00101,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547614,FGSG_00102,FGSG_00102,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547615,FGSG_00103,FGSG_00103,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547616,FGSG_00104,FGSG_00104,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547617,FGSG_00105,FGSG_00105,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547618,FGSG_00107,FGSG_00107,-,-,1,-,quinate permease,protein-coding,-,-,-,-,20210212,-
229533,23547619,FGSG_00108,FGSG_00108,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547620,FGSG_00109,FGSG_00109,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547621,FGSG_00110,FGSG_00110,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547622,FGSG_00111,FGSG_00111,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547623,FGSG_00112,FGSG_00112,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547624,FGSG_00114,FGSG_00114,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547625,FGSG_00115,FGSG_00115,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150226,-
229533,23547626,FGSG_00116,FGSG_00116,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547627,FGSG_00117,FGSG_00117,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547628,FGSG_00118,FGSG_00118,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547629,FGSG_00119,FGSG_00119,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160325,-
229533,23547630,FGSG_00120,FGSG_00120,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547631,FGSG_00121,FGSG_00121,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150227,-
229533,23547632,FGSG_00122,FGSG_00122,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547633,FGSG_00123,FGSG_00123,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547634,FGSG_00124,FGSG_00124,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547635,FGSG_00125,FGSG_00125,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547636,FGSG_00126,FGSG_00126,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547637,FGSG_00127,FGSG_00127,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150702,-
229533,23547638,FGSG_00128,FGSG_00128,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547639,FGSG_00129,FGSG_00129,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547640,FGSG_00130,FGSG_00130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547641,FGSG_00131,FGSG_00131,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547642,FGSG_00132,FGSG_00132,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547643,FGSG_00134,FGSG_00134,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547644,FGSG_00135,FGSG_00135,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547645,FGSG_00136,FGSG_00136,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547646,FGSG_00137,FGSG_00137,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160325,-
229533,23547647,FGSG_00138,FGSG_00138,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547648,FGSG_00139,FGSG_00139,-,-,1,-,aldehyde dehydrogenase,protein-coding,-,-,-,-,20160813,-
229533,23547649,FGSG_00140,FGSG_00140,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547650,FGSG_00141,FGSG_00141,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547651,FGSG_00142,FGSG_00142,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547652,FGSG_00143,FGSG_00143,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547653,FGSG_00144,FGSG_00144,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547654,FGSG_00145,FGSG_00145,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547655,FGSG_00147,FGSG_00147,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547656,FGSG_00148,FGSG_00148,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547657,FGSG_00150,FGSG_00150,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20170930,-
229533,23547658,FGSG_00151,FGSG_00151,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547659,FGSG_00152,FGSG_00152,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547660,FGSG_00153,FGSG_00153,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150226,-
229533,23547661,FGSG_00154,FGSG_00154,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547662,FGSG_00156,FGSG_00156,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547663,FGSG_00157,FGSG_00157,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547664,FGSG_00158,FGSG_00158,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547665,FGSG_00160,FGSG_00160,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547666,FGSG_00161,FGSG_00161,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547667,FGSG_00162,FGSG_00162,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547668,FGSG_00163,FGSG_00163,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547669,FGSG_00164,FGSG_00164,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160325,-
229533,23547670,FGSG_00165,FGSG_00165,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210320,-
229533,23547671,FGSG_00166,FGSG_00166,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547672,FGSG_00168,FGSG_00168,-,-,1,-,40S ribosomal protein MRP2,protein-coding,-,-,-,-,20210212,-
229533,23547673,FGSG_00169,FGSG_00169,-,-,1,-,pre-mRNA splicing factor CWC25,protein-coding,-,-,-,-,20170210,-
229533,23547674,FGSG_00170,FGSG_00170,-,-,1,-,Rho3 protein,protein-coding,-,-,-,-,20210320,-
229533,23547675,FGSG_00171,FGSG_00171,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547676,FGSG_00172,FGSG_00172,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20170930,-
229533,23547677,FGSG_00173,FGSG_00173,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547678,FGSG_00174,FGSG_00174,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547679,FGSG_00175,FGSG_00175,-,-,1,-,2-methylcitrate synthase,protein-coding,-,-,-,-,20210320,-
229533,23547680,FGSG_00176,FGSG_00176,-,-,1,-,isocitrate lyase,protein-coding,-,-,-,-,20210212,-
229533,23547681,FGSG_00177,FGSG_00177,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547682,FGSG_00179,FGSG_00179,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547683,FGSG_00180,FGSG_00180,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547684,FGSG_00181,FGSG_00181,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547685,FGSG_00182,FGSG_00182,-,-,1,-,COP9 signalosome complex subunit 2,protein-coding,-,-,-,-,20170930,-
229533,23547686,FGSG_00183,FGSG_00183,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547687,FGSG_00184,FGSG_00184,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547688,FGSG_00185,FGSG_00185,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547689,FGSG_00186,FGSG_00186,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547690,FGSG_00188,FGSG_00188,-,-,1,-,pre-mRNA-splicing factor isy-1,protein-coding,-,-,-,-,20210212,-
229533,23547691,FGSG_00189,FGSG_00189,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547692,FGSG_00190,FGSG_00190,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160325,-
229533,23547693,FGSG_00192,FGSG_00192,-,-,1,-,cerevisin precursor,protein-coding,-,-,-,-,20210212,-
229533,23547694,FGSG_00193,FGSG_00193,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547695,FGSG_00194,FGSG_00194,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547696,FGSG_00195,FGSG_00195,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
229533,23547697,FGSG_00196,FGSG_00196,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547698,FGSG_00197,FGSG_00197,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547699,FGSG_00198,FGSG_00198,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547700,FGSG_00199,FGSG_00199,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547701,FGSG_00200,FGSG_00200,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20170930,-
229533,23547702,FGSG_00201,FGSG_00201,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547703,FGSG_00203,FGSG_00203,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547704,FGSG_00205,FGSG_00205,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547705,FGSG_00206,FGSG_00206,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547706,FGSG_00207,FGSG_00207,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547707,FGSG_00208,FGSG_00208,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547708,FGSG_00209,FGSG_00209,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547709,FGSG_00210,FGSG_00210,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547710,FGSG_00211,FGSG_00211,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547711,FGSG_00212,FGSG_00212,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150227,-
229533,23547712,FGSG_00213,FGSG_00213,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547713,FGSG_00214,FGSG_00214,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547714,FGSG_00215,FGSG_00215,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150227,-
229533,23547715,FGSG_00216,FGSG_00216,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210320,-
229533,23547716,FGSG_00217,FGSG_00217,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547717,FGSG_00218,FGSG_00218,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547718,FGSG_00219,FGSG_00219,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547719,FGSG_00220,FGSG_00220,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547720,FGSG_00221,FGSG_00221,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547721,FGSG_00222,FGSG_00222,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150926,-
229533,23547722,FGSG_00224,FGSG_00224,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547723,FGSG_00225,FGSG_00225,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547724,FGSG_00226,FGSG_00226,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210212,-
229533,23547725,FGSG_00227,FGSG_00227,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547726,FGSG_00229,FGSG_00229,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547727,FGSG_00230,FGSG_00230,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547728,FGSG_00231,FGSG_00231,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20170930,-
229533,23547729,FGSG_00232,FGSG_00232,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547730,FGSG_00233,FGSG_00233,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547731,FGSG_00234,FGSG_00234,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150718,-
229533,23547732,FGSG_00235,FGSG_00235,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547733,FGSG_00236,FGSG_00236,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547734,FGSG_00237,FGSG_00237,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160813,-
229533,23547735,FGSG_00239,FGSG_00239,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547736,FGSG_00240,FGSG_00240,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547737,FGSG_00242,FGSG_00242,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547738,FGSG_00243,FGSG_00243,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547739,FGSG_00245,FGSG_00245,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547740,FGSG_00246,FGSG_00246,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547741,FGSG_00247,FGSG_00247,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547742,FGSG_00248,FGSG_00248,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20160910,-
229533,23547743,FGSG_00249,FGSG_00249,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20210320,-
229533,23547744,FGSG_00251,FGSG_00251,-,-,1,-,galactose oxidase precursor,protein-coding,-,-,-,-,20160910,-
229533,23547745,FGSG_00252,FGSG_00252,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547746,FGSG_00253,FGSG_00253,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547747,FGSG_00254,FGSG_00254,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547748,FGSG_00255,FGSG_00255,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
229533,23547749,FGSG_00256,FGSG_00256,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150223,-
229533,23547750,FGSG_00257,FGSG_00257,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20170930,-
229533,23547751,FGSG_00258,FGSG_00258,-,-,1,-,hypothetical protein,protein-coding,-,-,-,-,20150715,-
