#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283250,62359446,3,JMN46_gp03,SEA_ARLO_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2283250,62359490,48,JMN46_gp48,SEA_ARLO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359491,49,JMN46_gp49,SEA_ARLO_49,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210123,-
2283250,62359492,50,JMN46_gp50,SEA_ARLO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359493,51,JMN46_gp51,SEA_ARLO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359494,52,JMN46_gp52,SEA_ARLO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359495,53,JMN46_gp53,SEA_ARLO_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2283250,62359496,54,JMN46_gp54,SEA_ARLO_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2283250,62359497,56,JMN46_gp56,SEA_ARLO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283250,62359498,57,JMN46_gp57,SEA_ARLO_57,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2283250,62359499,58,JMN46_gp58,SEA_ARLO_58,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2283250,62359500,59,JMN46_gp59,SEA_ARLO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283250,62359501,60,JMN46_gp60,SEA_ARLO_60,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210417,-
2283250,62359502,61,JMN46_gp61,SEA_ARLO_61,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210212,-
2283250,62359503,62,JMN46_gp62,SEA_ARLO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359504,63,JMN46_gp63,SEA_ARLO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359505,64,JMN46_gp64,SEA_ARLO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359506,65,JMN46_gp65,SEA_ARLO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359507,66,JMN46_gp66,SEA_ARLO_66,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210406,-
2283250,62359508,67,JMN46_gp67,SEA_ARLO_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2283250,62359509,68,JMN46_gp68,SEA_ARLO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359510,69,JMN46_gp69,SEA_ARLO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359511,70,JMN46_gp70,SEA_ARLO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359512,71,JMN46_gp71,SEA_ARLO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359513,72,JMN46_gp72,SEA_ARLO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359514,73,JMN46_gp73,SEA_ARLO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283250,62359515,74,JMN46_gp74,SEA_ARLO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359516,75,JMN46_gp75,SEA_ARLO_75,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2283250,62359517,76,JMN46_gp76,SEA_ARLO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359518,77,JMN46_gp77,SEA_ARLO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359519,78,JMN46_gp78,SEA_ARLO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359520,79,JMN46_gp79,SEA_ARLO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359521,81,JMN46_gp81,SEA_ARLO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359522,82,JMN46_gp82,SEA_ARLO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359523,83,JMN46_gp83,SEA_ARLO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359524,84,JMN46_gp84,SEA_ARLO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359525,85,JMN46_gp85,SEA_ARLO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359526,86,JMN46_gp86,SEA_ARLO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359527,88,JMN46_gp88,SEA_ARLO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359528,89,JMN46_gp89,SEA_ARLO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359529,90,JMN46_gp90,SEA_ARLO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359530,91,JMN46_gp91,SEA_ARLO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359531,92,JMN46_gp92,SEA_ARLO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359532,93,JMN46_gp93,SEA_ARLO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359533,94,JMN46_gp94,SEA_ARLO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359534,95,JMN46_gp95,SEA_ARLO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359535,96,JMN46_gp96,SEA_ARLO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283250,62359536,55,JMN46_gp55,SEA_ARLO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359537,2,JMN46_gp02,SEA_ARLO_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2283250,62359538,41,JMN46_gp41,SEA_ARLO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359539,80,JMN46_gp80,SEA_ARLO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359540,87,JMN46_gp87,SEA_ARLO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62359541,1,JMN46_gp01,SEA_ARLO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283250,62368995,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
