#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163598,55608162,2,HWB60_gp002,SEA_TCHEN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2163598,55608183,23,HWB60_gp023,SEA_TCHEN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608184,24,HWB60_gp024,SEA_TCHEN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608185,25,HWB60_gp025,SEA_TCHEN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608186,26,HWB60_gp026,SEA_TCHEN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608187,27,HWB60_gp027,SEA_TCHEN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608188,28,HWB60_gp028,SEA_TCHEN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608189,29,HWB60_gp029,SEA_TCHEN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608190,30,HWB60_gp030,SEA_TCHEN_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2163598,55608191,31,HWB60_gp031,SEA_TCHEN_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2163598,55608192,32,HWB60_gp032,SEA_TCHEN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608193,33,HWB60_gp033,SEA_TCHEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608194,34,HWB60_gp034,SEA_TCHEN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608195,35,HWB60_gp035,SEA_TCHEN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608196,36,HWB60_gp036,SEA_TCHEN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608197,37,HWB60_gp037,SEA_TCHEN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608198,39,HWB60_gp039,SEA_TCHEN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608199,40,HWB60_gp040,SEA_TCHEN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608200,41,HWB60_gp041,SEA_TCHEN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608201,42,HWB60_gp042,SEA_TCHEN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608202,43,HWB60_gp043,SEA_TCHEN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608203,44,HWB60_gp044,SEA_TCHEN_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2163598,55608204,45,HWB60_gp045,SEA_TCHEN_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200620,-
2163598,55608205,46,HWB60_gp046,SEA_TCHEN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608206,47,HWB60_gp047,SEA_TCHEN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608207,48,HWB60_gp048,SEA_TCHEN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608208,49,HWB60_gp049,SEA_TCHEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608209,51,HWB60_gp051,SEA_TCHEN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608210,52,HWB60_gp052,SEA_TCHEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608211,53,HWB60_gp053,SEA_TCHEN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608212,54,HWB60_gp054,SEA_TCHEN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608213,55,HWB60_gp055,SEA_TCHEN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608214,56,HWB60_gp056,SEA_TCHEN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608215,57,HWB60_gp057,SEA_TCHEN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608216,58,HWB60_gp058,SEA_TCHEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2163598,55608217,59,HWB60_gp059,SEA_TCHEN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608218,60,HWB60_gp060,SEA_TCHEN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608219,61,HWB60_gp061,SEA_TCHEN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608220,62,HWB60_gp062,SEA_TCHEN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608221,64,HWB60_gp064,SEA_TCHEN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608222,65,HWB60_gp065,SEA_TCHEN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608223,66,HWB60_gp066,SEA_TCHEN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608224,67,HWB60_gp067,SEA_TCHEN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608225,69,HWB60_gp069,SEA_TCHEN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608226,71,HWB60_gp071,SEA_TCHEN_71,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2163598,55608227,72,HWB60_gp072,SEA_TCHEN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608228,73,HWB60_gp073,SEA_TCHEN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608229,74,HWB60_gp074,SEA_TCHEN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608230,75,HWB60_gp075,SEA_TCHEN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608231,76,HWB60_gp076,SEA_TCHEN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608232,77,HWB60_gp077,SEA_TCHEN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608233,79,HWB60_gp079,SEA_TCHEN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608234,80,HWB60_gp080,SEA_TCHEN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608235,81,HWB60_gp081,SEA_TCHEN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608236,82,HWB60_gp082,SEA_TCHEN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608237,83,HWB60_gp083,SEA_TCHEN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608238,84,HWB60_gp084,SEA_TCHEN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608239,85,HWB60_gp085,SEA_TCHEN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608240,86,HWB60_gp086,SEA_TCHEN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608241,87,HWB60_gp087,SEA_TCHEN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608242,88,HWB60_gp088,SEA_TCHEN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608243,90,HWB60_gp090,SEA_TCHEN_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608244,91,HWB60_gp091,SEA_TCHEN_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608245,92,HWB60_gp092,SEA_TCHEN_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608246,93,HWB60_gp093,SEA_TCHEN_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608247,94,HWB60_gp094,SEA_TCHEN_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608248,95,HWB60_gp095,SEA_TCHEN_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608249,96,HWB60_gp096,SEA_TCHEN_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608250,97,HWB60_gp097,SEA_TCHEN_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608251,98,HWB60_gp098,SEA_TCHEN_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2163598,55608252,99,HWB60_gp099,SEA_TCHEN_99,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2163598,55608253,100,HWB60_gp100,SEA_TCHEN_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163598,55608254,101,HWB60_gp101,SEA_TCHEN_101,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163598,55608255,38,HWB60_gp038,SEA_TCHEN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608256,50,HWB60_gp050,SEA_TCHEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608257,63,HWB60_gp063,SEA_TCHEN_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200620,-
2163598,55608258,68,HWB60_gp068,SEA_TCHEN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608259,70,HWB60_gp070,SEA_TCHEN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608260,78,HWB60_gp078,SEA_TCHEN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608261,89,HWB60_gp089,SEA_TCHEN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55608262,1,HWB60_gp001,SEA_TCHEN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163598,55635784,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
