#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059882,64471057,KGG77_gp02,KGG77_gp02,SEA_OMAR_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2059882,64471109,KGG77_gp30,KGG77_gp30,SEA_OMAR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471110,KGG77_gp29,KGG77_gp29,SEA_OMAR_55,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2059882,64471111,KGG77_gp28,KGG77_gp28,SEA_OMAR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471112,KGG77_gp27,KGG77_gp27,SEA_OMAR_57,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2059882,64471113,KGG77_gp26,KGG77_gp26,SEA_OMAR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471114,KGG77_gp25,KGG77_gp25,SEA_OMAR_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471115,KGG77_gp24,KGG77_gp24,SEA_OMAR_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471116,KGG77_gp23,KGG77_gp23,SEA_OMAR_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471117,KGG77_gp22,KGG77_gp22,SEA_OMAR_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471118,KGG77_gp21,KGG77_gp21,SEA_OMAR_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471119,KGG77_gp20,KGG77_gp20,SEA_OMAR_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471120,KGG77_gp19,KGG77_gp19,SEA_OMAR_65,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2059882,64471121,KGG77_gp18,KGG77_gp18,SEA_OMAR_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471122,KGG77_gp17,KGG77_gp17,SEA_OMAR_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471123,KGG77_gp16,KGG77_gp16,SEA_OMAR_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471124,KGG77_gp15,KGG77_gp15,SEA_OMAR_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471125,KGG77_gp14,KGG77_gp14,SEA_OMAR_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471126,KGG77_gp13,KGG77_gp13,SEA_OMAR_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471127,KGG77_gp12,KGG77_gp12,SEA_OMAR_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471128,KGG77_gp11,KGG77_gp11,SEA_OMAR_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471129,KGG77_gp10,KGG77_gp10,SEA_OMAR_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471130,KGG77_gp09,KGG77_gp09,SEA_OMAR_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471131,KGG77_gp08,KGG77_gp08,SEA_OMAR_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471132,KGG77_gp07,KGG77_gp07,SEA_OMAR_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471133,KGG77_gp06,KGG77_gp06,SEA_OMAR_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471134,KGG77_gp05,KGG77_gp05,SEA_OMAR_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471135,KGG77_gp04,KGG77_gp04,SEA_OMAR_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471136,KGG77_gp03,KGG77_gp03,SEA_OMAR_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64471137,KGG77_gp01,KGG77_gp01,SEA_OMAR_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2059882,64792214,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
