#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599882,63209672,2,J4T98_gp002,PBI_TOURACH_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2599882,63209728,59,J4T98_gp059,PBI_TOURACH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209729,60,J4T98_gp060,PBI_TOURACH_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209730,61,J4T98_gp061,PBI_TOURACH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209731,62,J4T98_gp062,PBI_TOURACH_62,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210322,-
2599882,63209732,63,J4T98_gp063,PBI_TOURACH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209733,64,J4T98_gp064,PBI_TOURACH_64,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210322,-
2599882,63209734,65,J4T98_gp065,PBI_TOURACH_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209735,66,J4T98_gp066,PBI_TOURACH_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2599882,63209736,67,J4T98_gp067,PBI_TOURACH_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209737,68,J4T98_gp068,PBI_TOURACH_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209738,69,J4T98_gp069,PBI_TOURACH_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209739,70,J4T98_gp070,PBI_TOURACH_70,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210322,-
2599882,63209740,71,J4T98_gp071,PBI_TOURACH_71,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2599882,63209741,72,J4T98_gp072,PBI_TOURACH_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209742,73,J4T98_gp073,PBI_TOURACH_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209743,74,J4T98_gp074,PBI_TOURACH_74,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210322,-
2599882,63209744,75,J4T98_gp075,PBI_TOURACH_75,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210322,-
2599882,63209745,76,J4T98_gp076,PBI_TOURACH_76,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210322,-
2599882,63209746,77,J4T98_gp077,PBI_TOURACH_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209747,78,J4T98_gp078,PBI_TOURACH_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209748,79,J4T98_gp079,PBI_TOURACH_79,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210322,-
2599882,63209749,80,J4T98_gp080,PBI_TOURACH_80,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2599882,63209750,81,J4T98_gp081,PBI_TOURACH_81,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2599882,63209751,82,J4T98_gp082,PBI_TOURACH_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209752,83,J4T98_gp083,PBI_TOURACH_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209753,84,J4T98_gp084,PBI_TOURACH_84,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210322,-
2599882,63209754,85,J4T98_gp085,PBI_TOURACH_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209755,86,J4T98_gp086,PBI_TOURACH_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209756,87,J4T98_gp087,PBI_TOURACH_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209757,89,J4T98_gp089,PBI_TOURACH_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209758,91,J4T98_gp091,PBI_TOURACH_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209759,92,J4T98_gp092,PBI_TOURACH_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209760,93,J4T98_gp093,PBI_TOURACH_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209761,94,J4T98_gp094,PBI_TOURACH_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209762,95,J4T98_gp095,PBI_TOURACH_95,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2599882,63209763,96,J4T98_gp096,PBI_TOURACH_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209764,97,J4T98_gp097,PBI_TOURACH_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209765,98,J4T98_gp098,PBI_TOURACH_98,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210322,-
2599882,63209766,99,J4T98_gp099,PBI_TOURACH_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209767,101,J4T98_gp101,PBI_TOURACH_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209768,102,J4T98_gp102,PBI_TOURACH_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2599882,63209769,103,J4T98_gp103,PBI_TOURACH_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209770,104,J4T98_gp104,PBI_TOURACH_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209771,105,J4T98_gp105,PBI_TOURACH_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209772,106,J4T98_gp106,PBI_TOURACH_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209773,107,J4T98_gt001,PBI_TOURACH_107,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209774,108,J4T98_gp132,PBI_TOURACH_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209775,109,J4T98_gt002,PBI_TOURACH_109,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209776,110,J4T98_gt003,PBI_TOURACH_110,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209777,111,J4T98_gp131,PBI_TOURACH_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209778,112,J4T98_gt004,PBI_TOURACH_112,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209779,113,J4T98_gt005,PBI_TOURACH_113,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209780,114,J4T98_gt006,PBI_TOURACH_114,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209781,115,J4T98_gt007,PBI_TOURACH_115,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209782,116,J4T98_gt008,PBI_TOURACH_116,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209783,117,J4T98_gp130,PBI_TOURACH_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209784,118,J4T98_gp129,PBI_TOURACH_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209785,119,J4T98_gt009,PBI_TOURACH_119,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209786,120,J4T98_gp128,PBI_TOURACH_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209787,121,J4T98_gp127,PBI_TOURACH_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209788,122,J4T98_gp126,PBI_TOURACH_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209789,123,J4T98_gt010,PBI_TOURACH_123,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209790,124,J4T98_gp125,PBI_TOURACH_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209791,125,J4T98_gt011,PBI_TOURACH_125,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2599882,63209792,126,J4T98_gp124,PBI_TOURACH_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209793,1,J4T98_gp001,PBI_TOURACH_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209794,127,J4T98_gp123,PBI_TOURACH_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209795,129,J4T98_gp121,PBI_TOURACH_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209796,130,J4T98_gp120,PBI_TOURACH_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209797,131,J4T98_gp119,PBI_TOURACH_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209798,132,J4T98_gp118,PBI_TOURACH_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209799,133,J4T98_gp117,PBI_TOURACH_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209800,134,J4T98_gp116,PBI_TOURACH_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209801,136,J4T98_gp114,PBI_TOURACH_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209802,137,J4T98_gp113,PBI_TOURACH_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209803,138,J4T98_gp112,PBI_TOURACH_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209804,139,J4T98_gp111,PBI_TOURACH_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209805,140,J4T98_gp110,PBI_TOURACH_140,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210322,-
2599882,63209806,141,J4T98_gp109,PBI_TOURACH_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209807,142,J4T98_gp108,PBI_TOURACH_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209808,143,J4T98_gp107,PBI_TOURACH_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209809,26,J4T98_gp026,PBI_TOURACH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209810,88,J4T98_gp088,PBI_TOURACH_88,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210322,-
2599882,63209811,90,J4T98_gp090,PBI_TOURACH_90,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20210322,-
2599882,63209812,100,J4T98_gp100,PBI_TOURACH_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209813,128,J4T98_gp122,PBI_TOURACH_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63209814,135,J4T98_gp115,PBI_TOURACH_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2599882,63346706,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210324,-
