#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419970,55006849,2,HOU52_gp02,PBI_YANG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419970,55006887,42,HOU52_gp42,PBI_YANG_42,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2419970,55006888,43,HOU52_gp43,PBI_YANG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006889,44,HOU52_gp44,PBI_YANG_44,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210403,-
2419970,55006890,45,HOU52_gp45,PBI_YANG_45,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2419970,55006891,46,HOU52_gp46,PBI_YANG_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419970,55006892,47,HOU52_gp47,PBI_YANG_47,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2419970,55006893,48,HOU52_gp48,PBI_YANG_48,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210403,-
2419970,55006894,49,HOU52_gp49,PBI_YANG_49,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2419970,55006895,50,HOU52_gp50,PBI_YANG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006896,51,HOU52_gp51,PBI_YANG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006897,52,HOU52_gp52,PBI_YANG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006898,53,HOU52_gp53,PBI_YANG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006899,54,HOU52_gp54,PBI_YANG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006900,55,HOU52_gp55,PBI_YANG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006901,56,HOU52_gp56,PBI_YANG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006902,57,HOU52_gp57,PBI_YANG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006903,58,HOU52_gp58,PBI_YANG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006904,59,HOU52_gp59,PBI_YANG_59,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2419970,55006905,60,HOU52_gp60,PBI_YANG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006906,61,HOU52_gp61,PBI_YANG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006907,62,HOU52_gp62,PBI_YANG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419970,55006908,63,HOU52_gp63,PBI_YANG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006909,64,HOU52_gp64,PBI_YANG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006910,65,HOU52_gp65,PBI_YANG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006911,66,HOU52_gp66,PBI_YANG_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2419970,55006912,67,HOU52_gp67,PBI_YANG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419970,55006913,68,HOU52_gp68,PBI_YANG_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2419970,55006914,14,HOU52_gp15,PBI_YANG_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419970,55006915,38,HOU52_gp38,PBI_YANG_38,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2419970,55006916,1,HOU52_gp01,PBI_YANG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2419970,55154228,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
