#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2508071,55613977,HWC07_gp002,HWC07_gp002,LIET2_gp002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2508071,55614039,HWC07_gp064,HWC07_gp064,LIET2_gp064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614040,HWC07_gp065,HWC07_gp065,LIET2_gp065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614041,HWC07_gp066,HWC07_gp066,LIET2_gp066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614042,HWC07_gp067,HWC07_gp067,LIET2_gp067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614043,HWC07_gp068,HWC07_gp068,LIET2_gp068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614044,HWC07_gp069,HWC07_gp069,LIET2_gp069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614045,HWC07_gp070,HWC07_gp070,LIET2_gp070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614046,HWC07_gp071,HWC07_gp071,LIET2_gp071,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20200620,-
2508071,55614047,HWC07_gp072,HWC07_gp072,LIET2_gp072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614048,HWC07_gp073,HWC07_gp073,LIET2_gp073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614049,HWC07_gp074,HWC07_gp074,LIET2_gp074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614050,HWC07_gp075,HWC07_gp075,LIET2_gp075,-,-,-,tellurite resistance protein,protein-coding,-,-,-,tellurite resistance protein,20210425,-
2508071,55614051,HWC07_gp076,HWC07_gp076,LIET2_gp076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614052,HWC07_gp077,HWC07_gp077,LIET2_gp077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614053,HWC07_gp078,HWC07_gp078,LIET2_gp078,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20210424,-
2508071,55614054,HWC07_gp079,HWC07_gp079,LIET2_gp079,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200620,-
2508071,55614055,HWC07_gp080,HWC07_gp080,LIET2_gp080,-,-,-,putative head-completion protein,protein-coding,-,-,-,putative head-completion protein,20200620,-
2508071,55614056,HWC07_gp081,HWC07_gp081,LIET2_gp081,-,-,-,putative tail completion protein,protein-coding,-,-,-,putative tail completion protein,20200620,-
2508071,55614057,HWC07_gp082,HWC07_gp082,LIET2_gp082,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
2508071,55614058,HWC07_gp083,HWC07_gp083,LIET2_gp083,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20200620,-
2508071,55614059,HWC07_gp084,HWC07_gp084,LIET2_gp084,-,-,-,structural protein containing EPS-depolymerase domain,protein-coding,-,-,-,structural protein containing EPS-depolymerase domain,20200620,-
2508071,55614060,HWC07_gp085,HWC07_gp085,LIET2_gp085,-,-,-,structural protein containing YjdB domain,protein-coding,-,-,-,structural protein containing YjdB domain,20210425,-
2508071,55614061,HWC07_gp086,HWC07_gp086,LIET2_gp086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614062,HWC07_gp087,HWC07_gp087,LIET2_gp087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614063,HWC07_gp088,HWC07_gp088,LIET2_gp088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614064,HWC07_gp089,HWC07_gp089,LIET2_gp089,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2508071,55614065,HWC07_gp090,HWC07_gp090,LIET2_gp090,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2508071,55614066,HWC07_gp091,HWC07_gp091,LIET2_gp091,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2508071,55614067,HWC07_gp092,HWC07_gp092,LIET2_gp092,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200620,-
2508071,55614068,HWC07_gp093,HWC07_gp093,LIET2_gp093,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210424,-
2508071,55614069,HWC07_gp094,HWC07_gp094,LIET2_gp094,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200620,-
2508071,55614070,HWC07_gp095,HWC07_gp095,LIET2_gp095,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20210424,-
2508071,55614071,HWC07_gp096,HWC07_gp096,LIET2_gp096,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2508071,55614072,HWC07_gp097,HWC07_gp097,LIET2_gp097,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200620,-
2508071,55614073,HWC07_gp098,HWC07_gp098,LIET2_gp098,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200620,-
2508071,55614074,HWC07_gp099,HWC07_gp099,LIET2_gp099,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210424,-
2508071,55614075,HWC07_gp100,HWC07_gp100,LIET2_gp100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614076,HWC07_gp101,HWC07_gp101,LIET2_gp101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614077,HWC07_gp102,HWC07_gp102,LIET2_gp102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614078,HWC07_gp103,HWC07_gp103,LIET2_gp103,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200620,-
2508071,55614079,HWC07_gp104,HWC07_gp104,LIET2_gp104,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20210425,-
2508071,55614080,HWC07_gp105,HWC07_gp105,LIET2_gp105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614081,HWC07_gp106,HWC07_gp106,LIET2_gp106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614082,HWC07_gp107,HWC07_gp107,LIET2_gp107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614083,HWC07_gp108,HWC07_gp108,LIET2_gp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614084,HWC07_gp109,HWC07_gp109,LIET2_gp109,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200620,-
2508071,55614085,HWC07_gp110,HWC07_gp110,LIET2_gp110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614086,HWC07_gp111,HWC07_gp111,LIET2_gp111,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20210424,-
2508071,55614087,HWC07_gp112,HWC07_gp112,LIET2_gp112,-,-,-,putative VRR-DNA nuclease,protein-coding,-,-,-,putative VRR-DNA nuclease,20200620,-
2508071,55614088,HWC07_gp113,HWC07_gp113,LIET2_gp113,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210424,-
2508071,55614089,HWC07_gp114,HWC07_gp114,LIET2_gp114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614090,HWC07_gp115,HWC07_gp115,LIET2_gp115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614091,HWC07_gp116,HWC07_gp116,LIET2_gp116,-,-,-,RecA-like NTPase,protein-coding,-,-,-,RecA-like NTPase,20210424,-
2508071,55614092,HWC07_gp117,HWC07_gp117,LIET2_gp117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614093,HWC07_gp118,HWC07_gp118,LIET2_gp118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614094,HWC07_gp119,HWC07_gp119,LIET2_gp119,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210424,-
2508071,55614095,HWC07_gp120,HWC07_gp120,LIET2_gp120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614096,HWC07_gp121,HWC07_gp121,LIET2_gp121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614097,HWC07_gp122,HWC07_gp122,LIET2_gp122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614098,HWC07_gp123,HWC07_gp123,LIET2_gp123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614099,HWC07_gp124,HWC07_gp124,LIET2_gp124,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2508071,55614100,HWC07_gp125,HWC07_gp125,LIET2_gp125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614101,HWC07_gp126,HWC07_gp126,LIET2_gp126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614102,HWC07_gp127,HWC07_gp127,LIET2_gp127,-,-,-,adhesin,protein-coding,-,-,-,adhesin,20210424,-
2508071,55614103,HWC07_gp128,HWC07_gp128,LIET2_gp128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614104,HWC07_gp129,HWC07_gp129,LIET2_gp129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614105,HWC07_gp130,HWC07_gp130,LIET2_gp130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614106,HWC07_gp131,HWC07_gp131,LIET2_gp131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55614107,HWC07_gp001,HWC07_gp001,LIET2_gp001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508071,55635898,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
