#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
889338,11257983,1,PVP-SE1_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20201220,-
889338,11258037,57,PVP-SE1_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258038,58,PVP-SE1_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258039,59,PVP-SE1_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258040,60,PVP-SE1_gp059,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
889338,11258041,61,PVP-SE1_gp060,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
889338,11258042,62,PVP-SE1_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258043,63,PVP-SE1_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258044,64,PVP-SE1_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258045,65,PVP-SE1_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258046,66,PVP-SE1_gp065,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258047,67,PVP-SE1_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258048,68,PVP-SE1_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258049,69,PVP-SE1_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258050,70,PVP-SE1_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258051,71,PVP-SE1_gp070,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20210417,-
889338,11258052,72,PVP-SE1_gp071,-,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20201220,-
889338,11258053,73,PVP-SE1_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258054,74,PVP-SE1_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258055,75,PVP-SE1_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258056,76,PVP-SE1_gp075,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
889338,11258057,77,PVP-SE1_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258058,78,PVP-SE1_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258059,79,PVP-SE1_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258060,80,PVP-SE1_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258061,81,PVP-SE1_gp080,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258062,82,PVP-SE1_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258063,83,PVP-SE1_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258064,84,PVP-SE1_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258065,85,PVP-SE1_gp084,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258066,86,PVP-SE1_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258067,87,PVP-SE1_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258068,88,PVP-SE1_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258069,89,PVP-SE1_gp088,-,-,-,-,putative major outer membrane lipoprotein,protein-coding,-,-,-,putative major outer membrane lipoprotein,20210417,-
889338,11258070,90,PVP-SE1_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258071,91,PVP-SE1_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258072,92,PVP-SE1_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258073,93,PVP-SE1_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258074,94,PVP-SE1_gp093,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
889338,11258075,95,PVP-SE1_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258076,96,PVP-SE1_gp095,-,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20201220,-
889338,11258077,97,PVP-SE1_gp096,-,-,-,-,phosphoribosylpyrophosphate synthetase,protein-coding,-,-,-,phosphoribosylpyrophosphate synthetase,20201220,-
889338,11258078,98,PVP-SE1_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258079,99,PVP-SE1_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258080,100,PVP-SE1_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258081,101,PVP-SE1_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258082,102,PVP-SE1_gp101,-,-,-,-,transposase-like protein,protein-coding,-,-,-,transposase-like protein,20201220,-
889338,11258083,103,PVP-SE1_gp102,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20201220,-
889338,11258084,104,PVP-SE1_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258085,105,PVP-SE1_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258086,106,PVP-SE1_gp105,-,-,-,-,RNA ligase 1 and tail attachment protein,protein-coding,-,-,-,RNA ligase 1 and tail attachment protein,20201220,-
889338,11258087,107,PVP-SE1_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258088,108,PVP-SE1_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258089,109,PVP-SE1_gp108,-,-,-,-,Sir2-like protein,protein-coding,-,-,-,Sir2-like protein,20201220,-
889338,11258090,110,PVP-SE1_gp109,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201220,-
889338,11258091,111,PVP-SE1_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258092,112,PVP-SE1_gp111,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258093,113,PVP-SE1_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258094,114,PVP-SE1_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258095,115,PVP-SE1_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258096,116,PVP-SE1_gp115,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258097,117,PVP-SE1_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258098,118,PVP-SE1_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258099,119,PVP-SE1_gp118,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258100,120,PVP-SE1_gp119,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258101,121,PVP-SE1_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258102,122,PVP-SE1_gp121,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
889338,11258103,123,PVP-SE1_gp122,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
889338,11258104,124,PVP-SE1_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258105,125,PVP-SE1_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258106,126,PVP-SE1_gp125,-,-,-,-,EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease,20201220,-
889338,11258107,127,PVP-SE1_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258108,128,PVP-SE1_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258109,129,PVP-SE1_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258110,130,PVP-SE1_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258111,131,PVP-SE1_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258112,132,PVP-SE1_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258113,133,PVP-SE1_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258114,134,PVP-SE1_gp133,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
889338,11258115,135,PVP-SE1_gp134,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
889338,11258116,136,PVP-SE1_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258117,137,PVP-SE1_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258118,138,PVP-SE1_gp137,-,-,-,-,ribonucleoside triphosphate reductase alpha chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha chain,20201220,-
889338,11258119,139,PVP-SE1_gp138,-,-,-,-,ribonucleoside diphosphate reductase beta chain,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta chain,20201220,-
889338,11258120,140,PVP-SE1_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258121,141,PVP-SE1_gp140,-,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20210417,-
889338,11258122,142,PVP-SE1_gp141,-,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20201220,-
889338,11258123,143,PVP-SE1_gp142,-,-,-,-,"anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"anaerobic NTP reductase, small subunit",20201220,-
889338,11258124,144,PVP-SE1_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258125,145,PVP-SE1_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258126,146,PVP-SE1_gp145,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
889338,11258127,146A,PVP-SE1_gp146,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
889338,11258128,147,PVP-SE1_gp147,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210417,-
889338,11258129,148,PVP-SE1_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258130,149,PVP-SE1_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258131,150,PVP-SE1_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258132,151,PVP-SE1_gp151,-,-,-,-,ClpP ATP-dependent protease subunit,protein-coding,-,-,-,ClpP ATP-dependent protease subunit,20201220,-
889338,11258133,152,PVP-SE1_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258134,153,PVP-SE1_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258135,154,PVP-SE1_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258136,155,PVP-SE1_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258137,156,PVP-SE1_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258138,157,PVP-SE1_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258139,158,PVP-SE1_gp158,-,-,-,-,putative Trna.2 protein,protein-coding,-,-,-,putative Trna.2 protein,20201220,-
889338,11258140,159,PVP-SE1_gp159,-,-,-,-,tRNA nucleotidyl transferase,protein-coding,-,-,-,tRNA nucleotidyl transferase,20201220,-
889338,11258141,160,PVP-SE1_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258142,161,PVP-SE1_gp161,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258143,162,PVP-SE1_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258144,163,PVP-SE1_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258145,164,PVP-SE1_gp164,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258146,165,PVP-SE1_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258147,166,PVP-SE1_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258148,167,PVP-SE1_gp167,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258149,168,PVP-SE1_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258150,169,PVP-SE1_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258151,170,PVP-SE1_gp170,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258152,171,PVP-SE1_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258153,172,PVP-SE1_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258154,173,PVP-SE1_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258155,174,PVP-SE1_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258156,175,PVP-SE1_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258157,176,PVP-SE1_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258158,177,PVP-SE1_gp177,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258159,178,PVP-SE1_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258160,179,PVP-SE1_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258161,180,PVP-SE1_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258162,181,PVP-SE1_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258163,182,PVP-SE1_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258164,183,PVP-SE1_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258165,184,PVP-SE1_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258166,185,PVP-SE1_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258167,186,PVP-SE1_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258168,187,PVP-SE1_gp187,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258169,188,PVP-SE1_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258170,189,PVP-SE1_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258171,190,PVP-SE1_gp190,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258172,191,PVP-SE1_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258173,192,PVP-SE1_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258174,193,PVP-SE1_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258175,194,PVP-SE1_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258176,195,PVP-SE1_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258177,196,PVP-SE1_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258178,197,PVP-SE1_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258179,198,PVP-SE1_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258180,199,PVP-SE1_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258181,200,PVP-SE1_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258182,201,PVP-SE1_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258183,202,PVP-SE1_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258184,203,PVP-SE1_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258185,204,PVP-SE1_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258186,205,PVP-SE1_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258187,206,PVP-SE1_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258188,207,PVP-SE1_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258189,208,PVP-SE1_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889338,11258190,209,PVP-SE1_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
889338,11258191,210,PVP-SE1_gp210,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201220,-
889338,11258192,211,PVP-SE1_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
