#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762401,65128124,2,KNV22_gp02,SEA_LOVE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2762401,65128182,60,KNV22_gp60,SEA_LOVE_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762401,65128183,61,KNV22_gp61,SEA_LOVE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128184,62,KNV22_gp62,SEA_LOVE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128185,63,KNV22_gp63,SEA_LOVE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2762401,65128186,64,KNV22_gp64,SEA_LOVE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128187,65,KNV22_gp65,SEA_LOVE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128188,66,KNV22_gp66,SEA_LOVE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128189,67,KNV22_gp67,SEA_LOVE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128190,68,KNV22_gp68,SEA_LOVE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128191,69,KNV22_gp69,SEA_LOVE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128192,70,KNV22_gp70,SEA_LOVE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128193,71,KNV22_gp71,SEA_LOVE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128194,72,KNV22_gp72,SEA_LOVE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128195,73,KNV22_gp73,SEA_LOVE_73,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2762401,65128196,74,KNV22_gp74,SEA_LOVE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128197,75,KNV22_gp75,SEA_LOVE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128198,76,KNV22_gp76,SEA_LOVE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128199,77,KNV22_gp77,SEA_LOVE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128200,78,KNV22_gp78,SEA_LOVE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128201,79,KNV22_gp79,SEA_LOVE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128202,80,KNV22_gp80,SEA_LOVE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128203,81,KNV22_gp81,SEA_LOVE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128204,82,KNV22_gp82,SEA_LOVE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128205,83,KNV22_gp83,SEA_LOVE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128206,84,KNV22_gp84,SEA_LOVE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128207,85,KNV22_gp85,SEA_LOVE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128208,86,KNV22_gp86,SEA_LOVE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128209,87,KNV22_gp87,SEA_LOVE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128210,88,KNV22_gp88,SEA_LOVE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128211,89,KNV22_gp89,SEA_LOVE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762401,65128212,90,KNV22_gp90,SEA_LOVE_90,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762401,65128213,91,KNV22_gp91,SEA_LOVE_91,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2762401,65128214,1,KNV22_gp01,SEA_LOVE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2762401,65243497,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
