#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1536598,23679763,PBI_BUZZLYSEYEAR_2,PBI_BUZZLYSEYEAR_2,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1536598,23679783,PBI_BUZZLYSEYEAR_22,PBI_BUZZLYSEYEAR_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1536598,23679784,PBI_BUZZLYSEYEAR_23,PBI_BUZZLYSEYEAR_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679785,PBI_BUZZLYSEYEAR_24,PBI_BUZZLYSEYEAR_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679786,PBI_BUZZLYSEYEAR_25,PBI_BUZZLYSEYEAR_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679787,PBI_BUZZLYSEYEAR_26,PBI_BUZZLYSEYEAR_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679788,PBI_BUZZLYSEYEAR_27,PBI_BUZZLYSEYEAR_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679789,PBI_BUZZLYSEYEAR_28,PBI_BUZZLYSEYEAR_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679790,PBI_BUZZLYSEYEAR_29,PBI_BUZZLYSEYEAR_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679791,PBI_BUZZLYSEYEAR_30,PBI_BUZZLYSEYEAR_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679792,PBI_BUZZLYSEYEAR_31,PBI_BUZZLYSEYEAR_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679793,PBI_BUZZLYSEYEAR_32,PBI_BUZZLYSEYEAR_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679794,PBI_BUZZLYSEYEAR_33,PBI_BUZZLYSEYEAR_33,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1536598,23679795,PBI_BUZZLYSEYEAR_34,PBI_BUZZLYSEYEAR_34,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1536598,23679796,PBI_BUZZLYSEYEAR_35,PBI_BUZZLYSEYEAR_35,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
1536598,23679797,PBI_BUZZLYSEYEAR_36,PBI_BUZZLYSEYEAR_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679798,PBI_BUZZLYSEYEAR_37,PBI_BUZZLYSEYEAR_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679799,PBI_BUZZLYSEYEAR_38,PBI_BUZZLYSEYEAR_38,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210327,-
1536598,23679800,PBI_BUZZLYSEYEAR_39,PBI_BUZZLYSEYEAR_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679801,PBI_BUZZLYSEYEAR_40,PBI_BUZZLYSEYEAR_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679802,PBI_BUZZLYSEYEAR_41,PBI_BUZZLYSEYEAR_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679803,PBI_BUZZLYSEYEAR_42,PBI_BUZZLYSEYEAR_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679804,PBI_BUZZLYSEYEAR_43,PBI_BUZZLYSEYEAR_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679805,PBI_BUZZLYSEYEAR_44,PBI_BUZZLYSEYEAR_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679806,PBI_BUZZLYSEYEAR_45,PBI_BUZZLYSEYEAR_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679807,PBI_BUZZLYSEYEAR_46,PBI_BUZZLYSEYEAR_46,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210406,-
1536598,23679808,PBI_BUZZLYSEYEAR_47,PBI_BUZZLYSEYEAR_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679809,PBI_BUZZLYSEYEAR_48,PBI_BUZZLYSEYEAR_48,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1536598,23679810,PBI_BUZZLYSEYEAR_49,PBI_BUZZLYSEYEAR_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679811,PBI_BUZZLYSEYEAR_50,PBI_BUZZLYSEYEAR_50,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1536598,23679812,PBI_BUZZLYSEYEAR_51,PBI_BUZZLYSEYEAR_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679813,PBI_BUZZLYSEYEAR_52,PBI_BUZZLYSEYEAR_52,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
1536598,23679814,PBI_BUZZLYSEYEAR_53,PBI_BUZZLYSEYEAR_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679815,PBI_BUZZLYSEYEAR_54,PBI_BUZZLYSEYEAR_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679816,PBI_BUZZLYSEYEAR_55,PBI_BUZZLYSEYEAR_55,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210212,-
1536598,23679817,PBI_BUZZLYSEYEAR_56,PBI_BUZZLYSEYEAR_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679818,PBI_BUZZLYSEYEAR_57,PBI_BUZZLYSEYEAR_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679819,PBI_BUZZLYSEYEAR_58,PBI_BUZZLYSEYEAR_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679820,PBI_BUZZLYSEYEAR_59,PBI_BUZZLYSEYEAR_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679821,PBI_BUZZLYSEYEAR_60,PBI_BUZZLYSEYEAR_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679822,PBI_BUZZLYSEYEAR_61,PBI_BUZZLYSEYEAR_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679823,PBI_BUZZLYSEYEAR_62,PBI_BUZZLYSEYEAR_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1536598,23679824,PBI_BUZZLYSEYEAR_63,PBI_BUZZLYSEYEAR_63,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210313,-
1536598,23679825,PBI_BUZZLYSEYEAR_64,PBI_BUZZLYSEYEAR_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679826,PBI_BUZZLYSEYEAR_65,PBI_BUZZLYSEYEAR_65,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1536598,23679827,PBI_BUZZLYSEYEAR_66,PBI_BUZZLYSEYEAR_66,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1536598,23679828,PBI_BUZZLYSEYEAR_67,PBI_BUZZLYSEYEAR_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679829,PBI_BUZZLYSEYEAR_68,PBI_BUZZLYSEYEAR_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679830,PBI_BUZZLYSEYEAR_69,PBI_BUZZLYSEYEAR_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679831,PBI_BUZZLYSEYEAR_70,PBI_BUZZLYSEYEAR_70,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
1536598,23679832,PBI_BUZZLYSEYEAR_71,PBI_BUZZLYSEYEAR_71,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1536598,23679833,PBI_BUZZLYSEYEAR_72,PBI_BUZZLYSEYEAR_72,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1536598,23679834,PBI_BUZZLYSEYEAR_73,PBI_BUZZLYSEYEAR_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679835,PBI_BUZZLYSEYEAR_74,PBI_BUZZLYSEYEAR_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1536598,23679836,PBI_BUZZLYSEYEAR_75,PBI_BUZZLYSEYEAR_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679837,PBI_BUZZLYSEYEAR_76,PBI_BUZZLYSEYEAR_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679838,PBI_BUZZLYSEYEAR_77,PBI_BUZZLYSEYEAR_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679839,PBI_BUZZLYSEYEAR_78,PBI_BUZZLYSEYEAR_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679840,PBI_BUZZLYSEYEAR_79,PBI_BUZZLYSEYEAR_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679841,PBI_BUZZLYSEYEAR_80,PBI_BUZZLYSEYEAR_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679842,PBI_BUZZLYSEYEAR_81,PBI_BUZZLYSEYEAR_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679843,PBI_BUZZLYSEYEAR_82,PBI_BUZZLYSEYEAR_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679844,PBI_BUZZLYSEYEAR_83,PBI_BUZZLYSEYEAR_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679845,PBI_BUZZLYSEYEAR_84,PBI_BUZZLYSEYEAR_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679846,PBI_BUZZLYSEYEAR_85,PBI_BUZZLYSEYEAR_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679847,PBI_BUZZLYSEYEAR_86,PBI_BUZZLYSEYEAR_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679848,PBI_BUZZLYSEYEAR_87,PBI_BUZZLYSEYEAR_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679849,PBI_BUZZLYSEYEAR_88,PBI_BUZZLYSEYEAR_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679850,PBI_BUZZLYSEYEAR_89,PBI_BUZZLYSEYEAR_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679851,PBI_BUZZLYSEYEAR_90,PBI_BUZZLYSEYEAR_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679852,PBI_BUZZLYSEYEAR_91,PBI_BUZZLYSEYEAR_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679853,PBI_BUZZLYSEYEAR_92,PBI_BUZZLYSEYEAR_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679854,PBI_BUZZLYSEYEAR_93,PBI_BUZZLYSEYEAR_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679855,PBI_BUZZLYSEYEAR_94,PBI_BUZZLYSEYEAR_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679856,PBI_BUZZLYSEYEAR_95,PBI_BUZZLYSEYEAR_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679857,PBI_BUZZLYSEYEAR_96,PBI_BUZZLYSEYEAR_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679858,PBI_BUZZLYSEYEAR_97,PBI_BUZZLYSEYEAR_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679859,PBI_BUZZLYSEYEAR_98,PBI_BUZZLYSEYEAR_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679860,PBI_BUZZLYSEYEAR_99,PBI_BUZZLYSEYEAR_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679861,PBI_BUZZLYSEYEAR_100,PBI_BUZZLYSEYEAR_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679862,PBI_BUZZLYSEYEAR_101,PBI_BUZZLYSEYEAR_101,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210129,-
1536598,23679863,PBI_BUZZLYSEYEAR_102,PBI_BUZZLYSEYEAR_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679864,PBI_BUZZLYSEYEAR_103,PBI_BUZZLYSEYEAR_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679865,PBI_BUZZLYSEYEAR_104,PBI_BUZZLYSEYEAR_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679866,PBI_BUZZLYSEYEAR_105,PBI_BUZZLYSEYEAR_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679867,PBI_BUZZLYSEYEAR_106,PBI_BUZZLYSEYEAR_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679868,PBI_BUZZLYSEYEAR_107,PBI_BUZZLYSEYEAR_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679869,PBI_BUZZLYSEYEAR_108,PBI_BUZZLYSEYEAR_108,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1536598,23679870,PBI_BUZZLYSEYEAR_109,PBI_BUZZLYSEYEAR_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1536598,23679871,PBI_BUZZLYSEYEAR_110,PBI_BUZZLYSEYEAR_110,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1536598,23679872,PBI_BUZZLYSEYEAR_1,PBI_BUZZLYSEYEAR_1,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1536598,23711125,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage BuzzLyseyear).,other,-,-,-,-,20200513,-
