#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079275,54988216,HOS73_gp02,HOS73_gp02,CrRp3_cds2,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210403,-
2079275,54988231,HOS73_gp17,HOS73_gp17,CrRp3_cds17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988232,HOS73_gp18,HOS73_gp18,CrRp3_cds18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988233,HOS73_gp19,HOS73_gp19,CrRp3_cds19,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210403,-
2079275,54988234,HOS73_gp20,HOS73_gp20,CrRp3_cds20,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2079275,54988235,HOS73_gp21,HOS73_gp21,CrRp3_cds21,-,-,-,holin,protein-coding,-,-,-,holin,20210403,-
2079275,54988236,HOS73_gp22,HOS73_gp22,CrRp3_cds22,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210403,-
2079275,54988237,HOS73_gp23,HOS73_gp23,CrRp3_cds23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988238,HOS73_gp24,HOS73_gp24,CrRp3_cds24,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210403,-
2079275,54988239,HOS73_gp25,HOS73_gp25,CrRp3_cds25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988240,HOS73_gp26,HOS73_gp26,CrRp3_cds26,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
2079275,54988241,HOS73_gp27,HOS73_gp27,CrRp3_cds27,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210403,-
2079275,54988242,HOS73_gp28,HOS73_gp28,CrRp3_cds28,-,-,-,capsid and scaffold,protein-coding,-,-,-,capsid and scaffold,20210403,-
2079275,54988243,HOS73_gp29,HOS73_gp29,CrRp3_cds29,-,-,-,capsid and scaffold,protein-coding,-,-,-,capsid and scaffold,20201221,-
2079275,54988244,HOS73_gp30,HOS73_gp30,CrRp3_cds30,-,-,-,collar,protein-coding,-,-,-,collar,20210403,-
2079275,54988245,HOS73_gp31,HOS73_gp31,CrRp3_cds31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988246,HOS73_gp32,HOS73_gp32,CrRp3_cds32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988247,HOS73_gp33,HOS73_gp33,CrRp3_cds33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988248,HOS73_gp34,HOS73_gp34,CrRp3_cds34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988249,HOS73_gp35,HOS73_gp35,CrRp3_cds35,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
2079275,54988250,HOS73_gp36,HOS73_gp36,CrRp3_cds36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988251,HOS73_gp37,HOS73_gp37,CrRp3_cds37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,54988252,HOS73_gp38,HOS73_gp38,CrRp3_cds38,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210403,-
2079275,54988253,HOS73_gp39,HOS73_gp39,CrRp3_cds39,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2079275,54988254,HOS73_gp40,HOS73_gp40,CrRp3_cds40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988255,HOS73_gp41,HOS73_gp41,CrRp3_cds41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988256,HOS73_gp42,HOS73_gp42,CrRp3_cds42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988257,HOS73_gp43,HOS73_gp43,CrRp3_cds43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988258,HOS73_gp44,HOS73_gp44,CrRp3_cds44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988259,HOS73_gp45,HOS73_gp45,CrRp3_cds45,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2079275,54988260,HOS73_gp46,HOS73_gp46,CrRp3_cds46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988261,HOS73_gp47,HOS73_gp47,CrRp3_cds47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988262,HOS73_gp48,HOS73_gp48,CrRp3_cds48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988263,HOS73_gp49,HOS73_gp49,CrRp3_cds49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988264,HOS73_gp50,HOS73_gp50,CrRp3_cds50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079275,54988265,HOS73_gp51,HOS73_gp51,CrRp3_cds51,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2079275,54988266,HOS73_gp52,HOS73_gp52,CrRp3_cds52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2079275,54988267,HOS73_gp53,HOS73_gp53,CrRp3_cds53,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210403,-
2079275,54988268,HOS73_gp01,HOS73_gp01,CrRp3_cds1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079275,55153811,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
