#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9924604,L26,MIMI_gp0029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924605,L27,MIMI_gp0030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924606,L28,MIMI_gp0031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924607,R29,MIMI_gp0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924608,L30,MIMI_gp0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924609,L31,MIMI_gp0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924610,L32,MIMI_gp0035,-,-,-,-,putative Kila-N domain-containing protein,protein-coding,-,-,-,putative Kila-N domain-containing protein,20201220,-
212035,9924611,L33,MIMI_gp0036,-,-,-,-,putative Kila-N domain-containing protein,protein-coding,-,-,-,putative Kila-N domain-containing protein,20201220,-
212035,9924612,L33b,MIMI_gp0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924613,L33c,MIMI_gp0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924614,R34,MIMI_gp0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924615,L34b,MIMI_gp0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924616,L35,MIMI_gp0041,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924617,L36,MIMI_gp0042,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924618,L37,MIMI_gp0043,-,-,-,-,putative Kila-N domain-containing protein,protein-coding,-,-,-,putative Kila-N domain-containing protein,20201220,-
212035,9924619,L37b,MIMI_gp0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924620,L38,MIMI_gp0045,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924621,L38b,MIMI_gp0046,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924622,L39,MIMI_gp0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924623,R40,MIMI_gp0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924624,L40b,MIMI_gp0049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924625,L40c,MIMI_gp0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924626,L41,MIMI_gp0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924627,L42,MIMI_gp0052,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924628,L42b,MIMI_gp0053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924629,L43,MIMI_gp0054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924630,R44,MIMI_gp0055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924631,L45,MIMI_gp0056,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924632,tRNA-Leu-1,MIMI_gt0001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
212035,9924633,L46,MIMI_gp0057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924634,R47,MIMI_gp0058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924635,L47b,MIMI_gp0059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924636,L48,MIMI_gp0060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924637,L49,MIMI_gp0061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924638,R50,MIMI_gp0062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924639,L51,MIMI_gp0063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924640,L52,MIMI_gp0064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924641,L53,MIMI_gp0065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924642,L54,MIMI_gp0066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924643,L55,MIMI_gp0067,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924644,L56,MIMI_gp0068,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924645,L57,MIMI_gp0069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924646,R58,MIMI_gp0070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924647,L59,MIMI_gp0071,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924648,L60,MIMI_gp0072,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20201220,-
212035,9924649,R60b,MIMI_gs0010,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924650,R61,MIMI_gp0073,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9924651,R61b,MIMI_gp0074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924652,R61c,MIMI_gp0075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924653,L61d,MIMI_gp0076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924654,L62,MIMI_gp0077,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924655,L63,MIMI_gp0078,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924656,L64,MIMI_gp0079,-,-,-,-,putative lipoxygenase,protein-coding,-,-,-,putative lipoxygenase,20201220,-
212035,9924657,L65,MIMI_gp0080,-,-,-,-,uncharacterized virion-associated membrane protein,protein-coding,-,-,-,uncharacterized virion-associated membrane protein,20201220,-
212035,9924658,L66,MIMI_gp0081,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924659,L66b,MIMI_gp0082,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924660,L67,MIMI_gp0083,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924661,L67b,MIMI_gs0011,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924662,L68,MIMI_gp0084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924663,R69,MIMI_gp0085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924664,L71,MIMI_gp0086,-,-,-,-,collagen-like protein 1,protein-coding,-,-,-,collagen-like protein 1,20201220,-
212035,9924665,R71b,MIMI_gs0012,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924666,L72,MIMI_gp0087,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924667,R73,MIMI_gp0088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924668,L74,MIMI_gp0089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924669,R74b,MIMI_gp0090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924670,L75,MIMI_gp0091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924671,L76,MIMI_gp0092,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924672,L77,MIMI_gp0093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924673,L77b,MIMI_gp0094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924674,L78,MIMI_gp0095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924675,L78b,MIMI_gp0096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924676,L79,MIMI_gp0097,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20201220,-
212035,9924677,R80,MIMI_gp0098,-,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20201220,-
212035,9924678,L81,MIMI_gs0013,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924679,L82,MIMI_gp0099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924680,R83,MIMI_gp0100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924681,L83b,MIMI_gp0101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924682,L84,MIMI_gp0102,-,-,-,-,uncharacterized WD repeat-containing protein,protein-coding,-,-,-,uncharacterized WD repeat-containing protein,20201220,-
212035,9924683,L85,MIMI_gp0103,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924684,L86,MIMI_gp0104,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924685,L87,MIMI_gp0105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924686,L88,MIMI_gp0106,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924687,L88b,MIMI_gs0014,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924688,L89,MIMI_gp0107,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924689,L91/L90,MIMI_gp0108,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924690,L93/L92,MIMI_gp0109,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924691,L94,MIMI_gp0110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924692,L95,MIMI_gs0015,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9924693,R96,MIMI_gp0111,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924694,R97,MIMI_gp0112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924695,L98,MIMI_gp0113,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924696,L98b,MIMI_gp0114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924697,L99,MIMI_gp0115,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924698,L100,MIMI_gp0116,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924699,L101,MIMI_gp0117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924700,L102,MIMI_gp0118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924701,L103,MIMI_gp0119,-,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20201220,-
212035,9924702,R104,MIMI_gp0120,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20201220,-
212035,9924703,L105,MIMI_gp0121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924704,R106,MIMI_gp0122,-,-,-,-,putative phosphohydrolase,protein-coding,-,-,-,putative phosphohydrolase,20201220,-
212035,9924705,L107,MIMI_gp0123,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9924706,L108,MIMI_gp0124,-,-,-,-,putative proliferating cell nuclear antigen,protein-coding,-,-,-,putative proliferating cell nuclear antigen,20201220,-
212035,9924707,L109,MIMI_gp0125,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924708,L110,MIMI_gp0126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924709,L111,MIMI_gp0127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924710,L112,MIMI_gp0128,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924711,L113,MIMI_gp0129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924712,L114,MIMI_gp0130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924713,L114b,MIMI_gp0131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924714,L115,MIMI_gp0132,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
212035,9924715,L116,MIMI_gp0133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924716,L117,MIMI_gp0134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924717,R118,MIMI_gp0135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924718,R119,MIMI_gp0136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924719,L120,MIMI_gp0137,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924720,L121,MIMI_gp0138,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924721,L122,MIMI_gp0139,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924722,L123,MIMI_gp0140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924723,L124,MIMI_gp0141,-,-,-,-,tyrosyl-tRNA synthetase,protein-coding,-,-,-,tyrosyl-tRNA synthetase,20201220,-
212035,9924724,R125,MIMI_gp0142,-,-,-,-,uncharacterized Bro-N domain-containing protein,protein-coding,-,-,-,uncharacterized Bro-N domain-containing protein,20201220,-
212035,9924725,L126,MIMI_gp0143,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9924726,L127,MIMI_gp0144,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9924727,L128,MIMI_gp0145,-,-,-,-,putative GMC-type oxidoreductase,protein-coding,-,-,-,putative GMC-type oxidoreductase,20201220,-
212035,9924728,L128b,MIMI_gp0146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924729,R129,MIMI_gp0147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924730,R130,MIMI_gp0148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924731,R131,MIMI_gp0149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924732,R132,MIMI_gp0150,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20201220,-
212035,9924733,R133,MIMI_gp0151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924734,L134,MIMI_gp0152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924735,R135,MIMI_gp0153,-,-,-,-,putative GMC-type oxidoreductase,protein-coding,-,-,-,putative GMC-type oxidoreductase,20201220,-
212035,9924736,L136,MIMI_gp0154,-,-,-,-,putative pyridoxal phosphate-dependent transferase,protein-coding,-,-,-,putative pyridoxal phosphate-dependent transferase,20201220,-
212035,9924737,L137,MIMI_gp0155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924738,L138,MIMI_gp0156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924739,L140,MIMI_gp0157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924740,R139,MIMI_gp0158,-,-,-,-,uncharacterized glycosyltransferase,protein-coding,-,-,-,uncharacterized glycosyltransferase,20201220,-
212035,9924741,R141,MIMI_gp0159,-,-,-,-,"putative dTDP-D-glucose 4,6-dehydratase",protein-coding,-,-,-,"putative dTDP-D-glucose 4,6-dehydratase",20201220,-
212035,9924742,L142,MIMI_gp0160,-,-,-,-,putative WbbJ Acetyltransferase,protein-coding,-,-,-,putative WbbJ Acetyltransferase,20201220,-
212035,9924743,L143,MIMI_gp0161,-,-,-,-,putative exoV-like protein,protein-coding,-,-,-,putative exoV-like protein,20201220,-
212035,9924744,L144,MIMI_gp0162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924745,L145,MIMI_gp0163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924746,L146,MIMI_gp0164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924747,L147,MIMI_gp0165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924748,L148,MIMI_gp0166,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9924749,L149,MIMI_gp0167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924750,R150,MIMI_gp0168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924751,R151,MIMI_gp0169,-,-,-,-,uncharacterized acetyltransferase,protein-coding,-,-,-,uncharacterized acetyltransferase,20201220,-
212035,9924752,L152,MIMI_gp0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924753,L153,MIMI_gp0171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924754,R154,MIMI_gp0172,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20201220,-
212035,9924755,R155,MIMI_gp0173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924756,R156,MIMI_gp0174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924757,L157,MIMI_gp0175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924758,R158,MIMI_gp0176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924759,R159,MIMI_gp0177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924760,R160,MIMI_gp0178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924761,R161,MIMI_gp0179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924762,L162,MIMI_gp0180,-,-,-,-,putative FNIP repeat-containing protein,protein-coding,-,-,-,putative FNIP repeat-containing protein,20201220,-
212035,9924763,L163,MIMI_gp0181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924764,L164,MIMI_gp0182,-,-,-,-,cysteinyl-tRNA synthetase,protein-coding,-,-,-,cysteinyl-tRNA synthetase,20201220,-
212035,9924765,L165,MIMI_gp0183,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9924766,L166,MIMI_gp0184,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9924767,L167,MIMI_gp0185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924768,L168,MIMI_gp0186,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9924769,L169,MIMI_gp0187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924770,L170,MIMI_gp0188,-,-,-,-,putative FNIP repeat-containing protein,protein-coding,-,-,-,putative FNIP repeat-containing protein,20201220,-
212035,9924771,L171,MIMI_gp0189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924772,L172,MIMI_gp0190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9924773,L173,MIMI_gp0191,-,-,-,-,putative VV A18-like helicase,protein-coding,-,-,-,putative VV A18-like helicase,20201220,-
