#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296658,40082380,FDI01_gp002,FDI01_gp002,JIMMER2_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296658,40082427,FDI01_gp049,FDI01_gp049,JIMMER2_49,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20200629,-
1296658,40082428,FDI01_gp050,FDI01_gp050,JIMMER2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082429,FDI01_gp051,FDI01_gp051,JIMMER2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082430,FDI01_gp052,FDI01_gp052,JIMMER2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082431,FDI01_gp053,FDI01_gp053,JIMMER2_53,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296658,40082432,FDI01_gp054,FDI01_gp054,JIMMER2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082433,FDI01_gp055,FDI01_gp055,JIMMER2_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082434,FDI01_gp056,FDI01_gp056,JIMMER2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082435,FDI01_gp057,FDI01_gp057,JIMMER2_57,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296658,40082436,FDI01_gp058,FDI01_gp058,JIMMER2_58,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296658,40082437,FDI01_gp059,FDI01_gp059,JIMMER2_59,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1296658,40082438,FDI01_gp060,FDI01_gp060,JIMMER2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082439,FDI01_gp061,FDI01_gp061,JIMMER2_61,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296658,40082440,FDI01_gp062,FDI01_gp062,JIMMER2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082441,FDI01_gp063,FDI01_gp063,JIMMER2_63,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20201221,-
1296658,40082442,FDI01_gp064,FDI01_gp064,JIMMER2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082443,FDI01_gp065,FDI01_gp065,JIMMER2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082444,FDI01_gp066,FDI01_gp066,JIMMER2_66,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20200629,-
1296658,40082445,FDI01_gp067,FDI01_gp067,JIMMER2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082446,FDI01_gp068,FDI01_gp068,JIMMER2_68,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1296658,40082447,FDI01_gp069,FDI01_gp069,JIMMER2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082448,FDI01_gp070,FDI01_gp070,JIMMER2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082449,FDI01_gp071,FDI01_gp071,JIMMER2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082450,FDI01_gp072,FDI01_gp072,JIMMER2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082451,FDI01_gp073,FDI01_gp073,JIMMER2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082452,FDI01_gp074,FDI01_gp074,JIMMER2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082453,FDI01_gp075,FDI01_gp075,JIMMER2_75,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1296658,40082454,FDI01_gp076,FDI01_gp076,JIMMER2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082455,FDI01_gp077,FDI01_gp077,JIMMER2_77,-,-,-,putative prophage replication protein O,protein-coding,-,-,-,putative prophage replication protein O,20200629,-
1296658,40082456,FDI01_gp078,FDI01_gp078,JIMMER2_78,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
1296658,40082457,FDI01_gp079,FDI01_gp079,JIMMER2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082458,FDI01_gp080,FDI01_gp080,JIMMER2_80,-,-,-,anti-repressor,protein-coding,-,-,-,anti-repressor,20200629,-
1296658,40082459,FDI01_gp081,FDI01_gp081,JIMMER2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082460,FDI01_gp082,FDI01_gp082,JIMMER2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082461,FDI01_gp083,FDI01_gp083,JIMMER2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082462,FDI01_gp084,FDI01_gp084,JIMMER2_84,-,-,-,recombination protein U,protein-coding,-,-,-,recombination protein U,20200629,-
1296658,40082463,FDI01_gp085,FDI01_gp085,JIMMER2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082464,FDI01_gp086,FDI01_gp086,JIMMER2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082465,FDI01_gp087,FDI01_gp087,JIMMER2_87,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1296658,40082466,FDI01_gp088,FDI01_gp088,JIMMER2_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082467,FDI01_gp089,FDI01_gp089,JIMMER2_89,-,-,-,site-specific DNA methylase,protein-coding,-,-,-,site-specific DNA methylase,20200629,-
1296658,40082468,FDI01_gp090,FDI01_gp090,JIMMER2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082469,FDI01_gp091,FDI01_gp091,JIMMER2_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082470,FDI01_gp092,FDI01_gp092,JIMMER2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082471,FDI01_gp093,FDI01_gp093,JIMMER2_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082472,FDI01_gp094,FDI01_gp094,JIMMER2_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082473,FDI01_gp095,FDI01_gp095,JIMMER2_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082474,FDI01_gp096,FDI01_gp096,JIMMER2_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082475,FDI01_gp097,FDI01_gp097,JIMMER2_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082476,FDI01_gp098,FDI01_gp098,JIMMER2_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082477,FDI01_gp099,FDI01_gp099,JIMMER2_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082478,FDI01_gp100,FDI01_gp100,JIMMER2_100,-,-,-,RNA polymerase sigma 24,protein-coding,-,-,-,RNA polymerase sigma 24,20200629,-
1296658,40082479,FDI01_gp101,FDI01_gp101,JIMMER2_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082480,FDI01_gp102,FDI01_gp102,JIMMER2_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082481,FDI01_gp103,FDI01_gp103,JIMMER2_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296658,40082482,FDI01_gp001,FDI01_gp001,JIMMER2_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1296658,40120148,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Paenibacillus phage Jimmer2).,other,-,-,-,-,20200513,-
