#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
294382,3197261,BCBBV1cgp40,BCBBV1cgp40,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
294382,3197306,BCBBV1cgp16,BCBBV1cgp16,-,-,-,-,DEAD box family helicase,protein-coding,-,-,-,DEAD box family helicase,20201220,-
294382,3197307,BCBBV1cgp17,BCBBV1cgp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197308,BCBBV1cgp18,BCBBV1cgp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197309,BCBBV1cgp25,BCBBV1cgp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197310,BCBBV1cgp26,BCBBV1cgp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197311,BCBBV1cgp32,BCBBV1cgp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197312,BCBBV1cgp31,BCBBV1cgp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197313,BCBBV1cgp34,BCBBV1cgp34,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
294382,3197314,BCBBV1cgp36,BCBBV1cgp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197315,BCBBV1cgp43,BCBBV1cgp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197316,BCBBV1cgp54,BCBBV1cgp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197317,BCBBV1cgp55,BCBBV1cgp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197318,BCBBV1cgp56,BCBBV1cgp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
294382,3197319,BCBBV1cgp57,BCBBV1cgp57,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
294382,3293741,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus clarkii bacteriophage BCJA1c).,other,-,-,-,-,20200513,-
