#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419614,64765545,3,KHO65_gp002,SEA_SAUCE_3,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210508,-
2419614,64765561,20,KHO65_gp019,SEA_SAUCE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765562,21,KHO65_gp020,SEA_SAUCE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765563,22,KHO65_gp021,SEA_SAUCE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765564,23,KHO65_gp022,SEA_SAUCE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765565,24,KHO65_gp023,SEA_SAUCE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765566,25,KHO65_gp024,SEA_SAUCE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765567,27,KHO65_gp026,SEA_SAUCE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765568,28,KHO65_gp027,SEA_SAUCE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765569,29,KHO65_gp028,SEA_SAUCE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765570,30,KHO65_gp029,SEA_SAUCE_30,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210508,-
2419614,64765571,31,KHO65_gp030,SEA_SAUCE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765572,32,KHO65_gp031,SEA_SAUCE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765573,33,KHO65_gp032,SEA_SAUCE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765574,34,KHO65_gp033,SEA_SAUCE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765575,35,KHO65_gp034,SEA_SAUCE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765576,36,KHO65_gp035,SEA_SAUCE_36,-,-,-,ribbon-helix-helix DNA binding protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding protein,20210515,-
2419614,64765577,37,KHO65_gp036,SEA_SAUCE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765578,39,KHO65_gp038,SEA_SAUCE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765579,40,KHO65_gp039,SEA_SAUCE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765580,41,KHO65_gp040,SEA_SAUCE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765581,42,KHO65_gp041,SEA_SAUCE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765582,43,KHO65_gp042,SEA_SAUCE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765583,44,KHO65_gp043,SEA_SAUCE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765584,45,KHO65_gp044,SEA_SAUCE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765585,46,KHO65_gp045,SEA_SAUCE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765586,47,KHO65_gp046,SEA_SAUCE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765587,48,KHO65_gp047,SEA_SAUCE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765588,49,KHO65_gp048,SEA_SAUCE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765589,50,KHO65_gp049,SEA_SAUCE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765590,51,KHO65_gp050,SEA_SAUCE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765591,52,KHO65_gp051,SEA_SAUCE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765592,53,KHO65_gp052,SEA_SAUCE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765593,54,KHO65_gp053,SEA_SAUCE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765594,55,KHO65_gp054,SEA_SAUCE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765595,56,KHO65_gp055,SEA_SAUCE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765596,57,KHO65_gp056,SEA_SAUCE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765597,58,KHO65_gp057,SEA_SAUCE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765598,59,KHO65_gp058,SEA_SAUCE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765599,60,KHO65_gp059,SEA_SAUCE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765600,61,KHO65_gp060,SEA_SAUCE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765601,62,KHO65_gp061,SEA_SAUCE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765602,63,KHO65_gp062,SEA_SAUCE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765603,64,KHO65_gp063,SEA_SAUCE_64,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210522,-
2419614,64765604,65,KHO65_gp064,SEA_SAUCE_65,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210508,-
2419614,64765605,66,KHO65_gp065,SEA_SAUCE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765606,67,KHO65_gp066,SEA_SAUCE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765607,69,KHO65_gp068,SEA_SAUCE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765608,70,KHO65_gp069,SEA_SAUCE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765609,72,KHO65_gp071,SEA_SAUCE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765610,73,KHO65_gp072,SEA_SAUCE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765611,74,KHO65_gp073,SEA_SAUCE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765612,75,KHO65_gp074,SEA_SAUCE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765613,77,KHO65_gp076,SEA_SAUCE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765614,78,KHO65_gp077,SEA_SAUCE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765615,79,KHO65_gp078,SEA_SAUCE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765616,80,KHO65_gp079,SEA_SAUCE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765617,81,KHO65_gp080,SEA_SAUCE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765618,82,KHO65_gp081,SEA_SAUCE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765619,83,KHO65_gp082,SEA_SAUCE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765620,84,KHO65_gt001,SEA_SAUCE_84,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765621,86,KHO65_gt003,SEA_SAUCE_86,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765622,87,KHO65_gt004,SEA_SAUCE_87,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765623,88,KHO65_gp230,SEA_SAUCE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765624,89,KHO65_gp229,SEA_SAUCE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765625,90,KHO65_gp228,SEA_SAUCE_90,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210508,-
2419614,64765626,91,KHO65_gp227,SEA_SAUCE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765627,92,KHO65_gp226,SEA_SAUCE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765628,93,KHO65_gp225,SEA_SAUCE_93,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210515,-
2419614,64765629,94,KHO65_gp224,SEA_SAUCE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765630,95,KHO65_gp223,SEA_SAUCE_95,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210508,-
2419614,64765631,96,KHO65_gp222,SEA_SAUCE_96,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210508,-
2419614,64765632,97,KHO65_gp221,SEA_SAUCE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765633,98,KHO65_gp220,SEA_SAUCE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765634,99,KHO65_gp219,SEA_SAUCE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765635,100,KHO65_gp218,SEA_SAUCE_100,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210508,-
2419614,64765636,101,KHO65_gp217,SEA_SAUCE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765637,102,KHO65_gp216,SEA_SAUCE_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765638,103,KHO65_gp215,SEA_SAUCE_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765639,104,KHO65_gp214,SEA_SAUCE_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2419614,64765640,105,KHO65_gp213,SEA_SAUCE_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765641,106,KHO65_gp212,SEA_SAUCE_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765642,107,KHO65_gp211,SEA_SAUCE_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765643,108,KHO65_gp210,SEA_SAUCE_108,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210605,-
2419614,64765644,109,KHO65_gp209,SEA_SAUCE_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765645,110,KHO65_gp208,SEA_SAUCE_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765646,111,KHO65_gp207,SEA_SAUCE_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765647,113,KHO65_gp205,SEA_SAUCE_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765648,114,KHO65_gp204,SEA_SAUCE_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765649,115,KHO65_gp203,SEA_SAUCE_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765650,116,KHO65_gp202,SEA_SAUCE_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765651,117,KHO65_gp201,SEA_SAUCE_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765652,118,KHO65_gp200,SEA_SAUCE_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765653,119,KHO65_gp199,SEA_SAUCE_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765654,120,KHO65_gp198,SEA_SAUCE_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765655,121,KHO65_gp197,SEA_SAUCE_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419614,64765656,122,KHO65_gp196,SEA_SAUCE_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765657,123,KHO65_gp195,SEA_SAUCE_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765658,124,KHO65_gp194,SEA_SAUCE_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765659,125,KHO65_gp193,SEA_SAUCE_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765660,126,KHO65_gp192,SEA_SAUCE_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765661,127,KHO65_gp191,SEA_SAUCE_127,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210508,-
2419614,64765662,128,KHO65_gp190,SEA_SAUCE_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765663,129,KHO65_gp189,SEA_SAUCE_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765664,131,KHO65_gp187,SEA_SAUCE_131,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210508,-
2419614,64765665,132,KHO65_gp186,SEA_SAUCE_132,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210508,-
2419614,64765666,130,KHO65_gp188,SEA_SAUCE_130,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210508,-
2419614,64765667,133,KHO65_gp185,SEA_SAUCE_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765668,134,KHO65_gp184,SEA_SAUCE_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765669,135,KHO65_gp183,SEA_SAUCE_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765670,136,KHO65_gp182,SEA_SAUCE_136,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2419614,64765671,137,KHO65_gp181,SEA_SAUCE_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765672,138,KHO65_gp180,SEA_SAUCE_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765673,139,KHO65_gp179,SEA_SAUCE_139,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210508,-
2419614,64765674,140,KHO65_gp178,SEA_SAUCE_140,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210508,-
2419614,64765675,141,KHO65_gp177,SEA_SAUCE_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765676,142,KHO65_gp176,SEA_SAUCE_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765677,143,KHO65_gp175,SEA_SAUCE_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765678,144,KHO65_gp174,SEA_SAUCE_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765679,145,KHO65_gp173,SEA_SAUCE_145,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210508,-
2419614,64765680,146,KHO65_gp172,SEA_SAUCE_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765681,147,KHO65_gp171,SEA_SAUCE_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765682,148,KHO65_gp170,SEA_SAUCE_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765683,149,KHO65_gp169,SEA_SAUCE_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765684,150,KHO65_gp168,SEA_SAUCE_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765685,151,KHO65_gp167,SEA_SAUCE_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765686,152,KHO65_gp166,SEA_SAUCE_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765687,153,KHO65_gt005,SEA_SAUCE_153,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765688,154,KHO65_gt006,SEA_SAUCE_154,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765689,156,KHO65_gp164,SEA_SAUCE_156,-,-,-,peptidyl tRNA hydrolase,protein-coding,-,-,-,peptidyl tRNA hydrolase,20210605,-
2419614,64765690,157,KHO65_gt007,SEA_SAUCE_157,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765691,158,KHO65_gt008,SEA_SAUCE_158,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765692,159,KHO65_gt009,SEA_SAUCE_159,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765693,160,KHO65_gt010,SEA_SAUCE_160,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765694,161,KHO65_gt011,SEA_SAUCE_161,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765695,162,KHO65_gt012,SEA_SAUCE_162,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765696,163,KHO65_gt013,SEA_SAUCE_163,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765697,164,KHO65_gt014,SEA_SAUCE_164,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765698,165,KHO65_gt015,SEA_SAUCE_165,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765699,166,KHO65_gt016,SEA_SAUCE_166,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765700,167,KHO65_gt017,SEA_SAUCE_167,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765701,168,KHO65_gt018,SEA_SAUCE_168,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765702,169,KHO65_gt019,SEA_SAUCE_169,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765703,171,KHO65_gp163,SEA_SAUCE_171,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210508,-
2419614,64765704,172,KHO65_gp162,SEA_SAUCE_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765705,173,KHO65_gt021,SEA_SAUCE_173,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765706,174,KHO65_gt022,SEA_SAUCE_174,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765707,175,KHO65_gt023,SEA_SAUCE_175,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765708,176,KHO65_gt024,SEA_SAUCE_176,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765709,178,KHO65_gt026,SEA_SAUCE_178,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765710,179,KHO65_gt027,SEA_SAUCE_179,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765711,180,KHO65_gs001,SEA_SAUCE_180,-,-,-,miscRNA,miscRNA,-,-,-,-,20210508,-
2419614,64765712,181,KHO65_gt028,SEA_SAUCE_181,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765713,182,KHO65_gt029,SEA_SAUCE_182,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2419614,64765714,183,KHO65_gp161,SEA_SAUCE_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765715,184,KHO65_gp160,SEA_SAUCE_184,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210605,-
2419614,64765716,185,KHO65_gp159,SEA_SAUCE_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765717,186,KHO65_gp158,SEA_SAUCE_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765718,187,KHO65_gp157,SEA_SAUCE_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765719,188,KHO65_gp156,SEA_SAUCE_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765720,189,KHO65_gp155,SEA_SAUCE_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765721,190,KHO65_gp154,SEA_SAUCE_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765722,191,KHO65_gp153,SEA_SAUCE_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765723,192,KHO65_gp152,SEA_SAUCE_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765724,193,KHO65_gp151,SEA_SAUCE_193,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210522,-
2419614,64765725,194,KHO65_gp150,SEA_SAUCE_194,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20210522,-
2419614,64765726,195,KHO65_gp149,SEA_SAUCE_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765727,196,KHO65_gp148,SEA_SAUCE_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765728,197,KHO65_gp147,SEA_SAUCE_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765729,198,KHO65_gp146,SEA_SAUCE_198,-,-,-,DnaC-like helicase loader,protein-coding,-,-,-,DnaC-like helicase loader,20210515,-
2419614,64765730,199,KHO65_gp145,SEA_SAUCE_199,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210522,-
2419614,64765731,200,KHO65_gp144,SEA_SAUCE_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765732,201,KHO65_gp143,SEA_SAUCE_201,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
2419614,64765733,202,KHO65_gp142,SEA_SAUCE_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765734,203,KHO65_gp141,SEA_SAUCE_203,-,-,-,DnaJ-like chaperonin,protein-coding,-,-,-,DnaJ-like chaperonin,20210522,-
2419614,64765735,204,KHO65_gp140,SEA_SAUCE_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2419614,64765736,205,KHO65_gp139,SEA_SAUCE_205,-,-,-,DnaE-like DNA polymerase III,protein-coding,-,-,-,DnaE-like DNA polymerase III,20210508,-
2419614,64765737,206,KHO65_gp138,SEA_SAUCE_206,-,-,-,RF-1 peptide chain release factor,protein-coding,-,-,-,RF-1 peptide chain release factor,20210515,-
2419614,64765738,207,KHO65_gp137,SEA_SAUCE_207,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210515,-
