#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656540,63026940,2,J1771_gp02,SEA_MELBINS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2656540,63027000,62,J1771_gp62,SEA_MELBINS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027001,63,J1771_gp63,SEA_MELBINS_63,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2656540,63027002,64,J1771_gp64,SEA_MELBINS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027003,65,J1771_gp65,SEA_MELBINS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027004,66,J1771_gp66,SEA_MELBINS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027005,67,J1771_gp67,SEA_MELBINS_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2656540,63027006,68,J1771_gp68,SEA_MELBINS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027007,69,J1771_gp69,SEA_MELBINS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027008,70,J1771_gp70,SEA_MELBINS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027009,71,J1771_gp71,SEA_MELBINS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027010,72,J1771_gp72,SEA_MELBINS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027011,73,J1771_gp73,SEA_MELBINS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027012,74,J1771_gp74,SEA_MELBINS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027013,75,J1771_gp75,SEA_MELBINS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027014,76,J1771_gp76,SEA_MELBINS_76,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210309,-
2656540,63027015,77,J1771_gp77,SEA_MELBINS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027016,78,J1771_gp78,SEA_MELBINS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027017,79,J1771_gp79,SEA_MELBINS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027018,80,J1771_gp80,SEA_MELBINS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027019,81,J1771_gp81,SEA_MELBINS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027020,82,J1771_gp82,SEA_MELBINS_82,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210309,-
2656540,63027021,83,J1771_gp83,SEA_MELBINS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027022,84,J1771_gp84,SEA_MELBINS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027023,85,J1771_gp85,SEA_MELBINS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027024,86,J1771_gp86,SEA_MELBINS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027025,87,J1771_gp87,SEA_MELBINS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027026,88,J1771_gp88,SEA_MELBINS_88,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2656540,63027027,89,J1771_gp89,SEA_MELBINS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2656540,63027028,1,J1771_gp01,SEA_MELBINS_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2656540,63139681,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
