#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
379347,28340559,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Ruegeria mobilis; Ruegeria pelagia.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20181107,-
379347,39472432,PEPIB2_RS21250,PEPIB2_RS21250,PEPIB1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472436,PEPIB2_RS21285,PEPIB2_RS21285,PEPIB1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472445,PEPIB2_RS21270,PEPIB2_RS21270,PEPIB1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472450,PEPIB2_RS21160,PEPIB2_RS21160,PEPIB1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472451,PEPIB2_RS21265,PEPIB2_RS21265,PEPIB1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472472,PEPIB2_RS21185,PEPIB2_RS21185,PEPIB1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472482,PEPIB2_RS21380,PEPIB2_RS21380,PEPIB1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472484,PEPIB2_RS21440,PEPIB2_RS21440,PEPIB1_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472488,PEPIB2_RS21255,PEPIB2_RS21255,PEPIB1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472493,PEPIB2_RS21585,PEPIB2_RS21585,PEPIB2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472500,PEPIB2_RS21560,PEPIB2_RS21560,PEPIB2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472505,PEPIB2_RS21555,PEPIB2_RS21555,PEPIB2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
379347,39472511,PEPIB2_RS22490,PEPIB2_RS22490,PEPIB2_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472522,PEPIB2_RS21625,PEPIB2_RS21625,PEPIB2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
379347,39472528,PEPIB2_RS21590,PEPIB2_RS21590,PEPIB2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
