#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499909,65117899,KNU29_gp002,KNU29_gp002,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2499909,65117945,KNU29_gp048,KNU29_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117946,KNU29_gp049,KNU29_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117947,KNU29_gp050,KNU29_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117948,KNU29_gp051,KNU29_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117949,KNU29_gp052,KNU29_gp052,-,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20210607,-
2499909,65117950,KNU29_gp053,KNU29_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117951,KNU29_gp054,KNU29_gp054,-,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210607,-
2499909,65117952,KNU29_gp055,KNU29_gp055,-,-,-,-,IpII internal head protein,protein-coding,-,-,-,IpII internal head protein,20210607,-
2499909,65117953,KNU29_gp056,KNU29_gp056,-,-,-,-,IpIII internal head protein,protein-coding,-,-,-,IpIII internal head protein,20210607,-
2499909,65117954,KNU29_gp057,KNU29_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117955,KNU29_gp058,KNU29_gp058,-,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210607,-
2499909,65117956,KNU29_gp059,KNU29_gp059,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2499909,65117957,KNU29_gp060,KNU29_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117958,KNU29_gp061,KNU29_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117959,KNU29_gp062,KNU29_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117960,KNU29_gp063,KNU29_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117961,KNU29_gp064,KNU29_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117962,KNU29_gp065,KNU29_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117963,KNU29_gp066,KNU29_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117964,KNU29_gp067,KNU29_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117965,KNU29_gp068,KNU29_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117966,KNU29_gp069,KNU29_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117967,KNU29_gp070,KNU29_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117968,KNU29_gp071,KNU29_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117969,KNU29_gp072,KNU29_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117970,KNU29_gp073,KNU29_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117971,KNU29_gp074,KNU29_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117972,KNU29_gp075,KNU29_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117973,KNU29_gp076,KNU29_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117974,KNU29_gp077,KNU29_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117975,KNU29_gp078,KNU29_gp078,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2499909,65117976,KNU29_gp079,KNU29_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117977,KNU29_gp080,KNU29_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117978,KNU29_gp081,KNU29_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117979,KNU29_gp082,KNU29_gp082,-,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20210607,-
2499909,65117980,KNU29_gp083,KNU29_gp083,-,-,-,-,putative internal head protein,protein-coding,-,-,-,putative internal head protein,20210607,-
2499909,65117981,KNU29_gp084,KNU29_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117982,KNU29_gp085,KNU29_gp085,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210607,-
2499909,65117983,KNU29_gp086,KNU29_gp086,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210607,-
2499909,65117984,KNU29_gp087,KNU29_gp087,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2499909,65117985,KNU29_gp088,KNU29_gp088,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2499909,65117986,KNU29_gp089,KNU29_gp089,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2499909,65117987,KNU29_gp090,KNU29_gp090,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2499909,65117988,KNU29_gp091,KNU29_gp091,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2499909,65117989,KNU29_gp092,KNU29_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65117990,KNU29_gp093,KNU29_gp093,-,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20210607,-
2499909,65117991,KNU29_gp094,KNU29_gp094,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2499909,65117992,KNU29_gp095,KNU29_gp095,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2499909,65117993,KNU29_gp096,KNU29_gp096,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2499909,65117994,KNU29_gp097,KNU29_gp097,-,-,-,-,baseplate tail fiber connector,protein-coding,-,-,-,baseplate tail fiber connector,20210607,-
2499909,65117995,KNU29_gp098,KNU29_gp098,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2499909,65117996,KNU29_gp099,KNU29_gp099,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2499909,65117997,KNU29_gp100,KNU29_gp100,-,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2499909,65117998,KNU29_gp101,KNU29_gp101,-,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2499909,65117999,KNU29_gp102,KNU29_gp102,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2499909,65118000,KNU29_gp103,KNU29_gp103,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2499909,65118001,KNU29_gp104,KNU29_gp104,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2499909,65118002,KNU29_gp105,KNU29_gp105,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210607,-
2499909,65118003,KNU29_gp106,KNU29_gp106,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210607,-
2499909,65118004,KNU29_gp107,KNU29_gp107,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2499909,65118005,KNU29_gp108,KNU29_gp108,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2499909,65118006,KNU29_gp109,KNU29_gp109,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210607,-
2499909,65118007,KNU29_gp110,KNU29_gp110,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2499909,65118008,KNU29_gp111,KNU29_gp111,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2499909,65118009,KNU29_gp112,KNU29_gp112,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210607,-
2499909,65118010,KNU29_gp113,KNU29_gp113,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2499909,65118011,KNU29_gp114,KNU29_gp114,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
2499909,65118012,KNU29_gp115,KNU29_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118013,KNU29_gp116,KNU29_gp116,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2499909,65118014,KNU29_gp117,KNU29_gp117,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2499909,65118015,KNU29_gp118,KNU29_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118016,KNU29_gp119,KNU29_gp119,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2499909,65118017,KNU29_gp120,KNU29_gp120,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2499909,65118018,KNU29_gp121,KNU29_gp121,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
2499909,65118019,KNU29_gp122,KNU29_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118020,KNU29_gp123,KNU29_gp123,-,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2499909,65118021,KNU29_gp124,KNU29_gp124,-,-,-,-,recombination repair and ssDNA binding protein,protein-coding,-,-,-,recombination repair and ssDNA binding protein,20210607,-
2499909,65118022,KNU29_gp125,KNU29_gp125,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2499909,65118023,KNU29_gp126,KNU29_gp126,-,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20210607,-
2499909,65118024,KNU29_gp127,KNU29_gp127,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2499909,65118025,KNU29_gp128,KNU29_gp128,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2499909,65118026,KNU29_gp129,KNU29_gp129,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2499909,65118027,KNU29_gp130,KNU29_gp130,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20210607,-
2499909,65118028,KNU29_gp131,KNU29_gp131,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2499909,65118029,KNU29_gp132,KNU29_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118030,KNU29_gp133,KNU29_gp133,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2499909,65118031,KNU29_gp134,KNU29_gp134,-,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210607,-
2499909,65118032,KNU29_gp135,KNU29_gp135,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2499909,65118033,KNU29_gp136,KNU29_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118034,KNU29_gp137,KNU29_gp137,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2499909,65118035,KNU29_gp138,KNU29_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118036,KNU29_gp139,KNU29_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118037,KNU29_gp140,KNU29_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118038,KNU29_gp141,KNU29_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118039,KNU29_gp142,KNU29_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118040,KNU29_gp143,KNU29_gp143,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2499909,65118041,KNU29_gp144,KNU29_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118042,KNU29_gp145,KNU29_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118043,KNU29_gp146,KNU29_gp146,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210609,-
2499909,65118044,KNU29_gp147,KNU29_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118045,KNU29_gp148,KNU29_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118046,KNU29_gp149,KNU29_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118047,KNU29_gp150,KNU29_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118048,KNU29_gp151,KNU29_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118049,KNU29_gp152,KNU29_gp152,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210607,-
2499909,65118050,KNU29_gp153,KNU29_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118051,KNU29_gp154,KNU29_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118052,KNU29_gp155,KNU29_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118053,KNU29_gp156,KNU29_gp156,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2499909,65118054,KNU29_gp157,KNU29_gp157,-,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2499909,65118055,KNU29_gp158,KNU29_gp158,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2499909,65118056,KNU29_gp159,KNU29_gp159,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210607,-
2499909,65118057,KNU29_gp160,KNU29_gp160,-,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210607,-
2499909,65118058,KNU29_gp161,KNU29_gp161,-,-,-,-,dTMP thymidylate synthase,protein-coding,-,-,-,dTMP thymidylate synthase,20210607,-
2499909,65118059,KNU29_gp162,KNU29_gp162,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2499909,65118060,KNU29_gp163,KNU29_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118061,KNU29_gp164,KNU29_gp164,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210607,-
2499909,65118062,KNU29_gp165,KNU29_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118063,KNU29_gp166,KNU29_gp166,-,-,-,-,helicase loading protein,protein-coding,-,-,-,helicase loading protein,20210607,-
2499909,65118064,KNU29_gp167,KNU29_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118065,KNU29_gp168,KNU29_gp168,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2499909,65118066,KNU29_gp169,KNU29_gp169,-,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20210607,-
2499909,65118067,KNU29_gp170,KNU29_gp170,-,-,-,-,rnh protein,protein-coding,-,-,-,rnh protein,20210607,-
2499909,65118068,KNU29_gp171,KNU29_gp171,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2499909,65118069,KNU29_gp172,KNU29_gp172,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210607,-
2499909,65118070,KNU29_gp173,KNU29_gp173,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20210607,-
2499909,65118071,KNU29_gp174,KNU29_gp174,-,-,-,-,long tail fiber protein,protein-coding,-,-,-,long tail fiber protein,20210607,-
2499909,65118072,KNU29_gp175,KNU29_gp175,-,-,-,-,long tail fiber adhesin,protein-coding,-,-,-,long tail fiber adhesin,20210607,-
2499909,65118073,KNU29_gp176,KNU29_gp176,-,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210607,-
2499909,65118074,KNU29_gp177,KNU29_gp177,-,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210609,-
2499909,65118075,KNU29_gp178,KNU29_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118076,KNU29_gp179,KNU29_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118077,KNU29_gp180,KNU29_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118078,KNU29_gp181,KNU29_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118079,KNU29_gp182,KNU29_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2499909,65118080,KNU29_gp183,KNU29_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118081,KNU29_gp184,KNU29_gp184,-,-,-,-,topoisomerase II medium subunit,protein-coding,-,-,-,topoisomerase II medium subunit,20210607,-
2499909,65118082,KNU29_gp185,KNU29_gp185,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2499909,65118083,KNU29_gp186,KNU29_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118084,KNU29_gp187,KNU29_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118085,KNU29_gp188,KNU29_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118086,KNU29_gp189,KNU29_gp189,-,-,-,-,DenB,protein-coding,-,-,-,DenB,20210607,-
2499909,65118087,KNU29_gp190,KNU29_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2499909,65118088,KNU29_gp191,KNU29_gp191,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20210607,-
2499909,65118089,KNU29_gp192,KNU29_gp192,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2499909,65118090,KNU29_gp193,KNU29_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
