#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1970794,60330186,I5H53_gp002,I5H53_gp002,SEA_KINGSLEY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
1970794,60330199,I5H53_gp014,I5H53_gp014,SEA_KINGSLEY_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
1970794,60330200,I5H53_gp016,I5H53_gp016,SEA_KINGSLEY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1970794,60330201,I5H53_gp017,I5H53_gp017,SEA_KINGSLEY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1970794,60330202,I5H53_gp018,I5H53_gp018,SEA_KINGSLEY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1970794,60330203,I5H53_gp019,I5H53_gp019,SEA_KINGSLEY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1970794,60330204,I5H53_gp020,I5H53_gp020,SEA_KINGSLEY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1970794,60330205,I5H53_gp021,I5H53_gp021,SEA_KINGSLEY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1970794,60330206,I5H53_gp022,I5H53_gp022,SEA_KINGSLEY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330207,I5H53_gp023,I5H53_gp023,SEA_KINGSLEY_23,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
1970794,60330208,I5H53_gp024,I5H53_gp024,SEA_KINGSLEY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330209,I5H53_gp025,I5H53_gp025,SEA_KINGSLEY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330210,I5H53_gp026,I5H53_gp026,SEA_KINGSLEY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330211,I5H53_gp027,I5H53_gp027,SEA_KINGSLEY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330212,I5H53_gp028,I5H53_gp028,SEA_KINGSLEY_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
1970794,60330213,I5H53_gp029,I5H53_gp029,SEA_KINGSLEY_29,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1970794,60330214,I5H53_gp031,I5H53_gp031,SEA_KINGSLEY_31,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
1970794,60330215,I5H53_gp032,I5H53_gp032,SEA_KINGSLEY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1970794,60330216,I5H53_gp033,I5H53_gp033,SEA_KINGSLEY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330217,I5H53_gp034,I5H53_gp034,SEA_KINGSLEY_34,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210515,-
1970794,60330218,I5H53_gp035,I5H53_gp035,SEA_KINGSLEY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330219,I5H53_gp036,I5H53_gp036,SEA_KINGSLEY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330220,I5H53_gp037,I5H53_gp037,SEA_KINGSLEY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330221,I5H53_gp038,I5H53_gp038,SEA_KINGSLEY_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
1970794,60330222,I5H53_gp039,I5H53_gp039,SEA_KINGSLEY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330223,I5H53_gp040,I5H53_gp040,SEA_KINGSLEY_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
1970794,60330224,I5H53_gp041,I5H53_gp041,SEA_KINGSLEY_41,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210529,-
1970794,60330225,I5H53_gp042,I5H53_gp042,SEA_KINGSLEY_42,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210529,-
1970794,60330226,I5H53_gp043,I5H53_gp043,SEA_KINGSLEY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330227,I5H53_gp045,I5H53_gp045,SEA_KINGSLEY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330228,I5H53_gp046,I5H53_gp046,SEA_KINGSLEY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330229,I5H53_gp048,I5H53_gp048,SEA_KINGSLEY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330230,I5H53_gp049,I5H53_gp049,SEA_KINGSLEY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330231,I5H53_gp050,I5H53_gp050,SEA_KINGSLEY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330232,I5H53_gp051,I5H53_gp051,SEA_KINGSLEY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330233,I5H53_gp052,I5H53_gp052,SEA_KINGSLEY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330234,I5H53_gp053,I5H53_gp053,SEA_KINGSLEY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1970794,60330235,I5H53_gp054,I5H53_gp054,SEA_KINGSLEY_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
1970794,60330236,I5H53_gp055,I5H53_gp055,SEA_KINGSLEY_55,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210212,-
1970794,60330237,I5H53_gp056,I5H53_gp056,SEA_KINGSLEY_56,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
1970794,60330238,I5H53_gp057,I5H53_gp057,SEA_KINGSLEY_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
1970794,60330239,I5H53_gp058,I5H53_gp058,SEA_KINGSLEY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330240,I5H53_gp059,I5H53_gp059,SEA_KINGSLEY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330241,I5H53_gp060,I5H53_gp060,SEA_KINGSLEY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330242,I5H53_gp061,I5H53_gp061,SEA_KINGSLEY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330243,I5H53_gp062,I5H53_gp062,SEA_KINGSLEY_62,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210529,-
1970794,60330244,I5H53_gp063,I5H53_gp063,SEA_KINGSLEY_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
1970794,60330245,I5H53_gp064,I5H53_gp064,SEA_KINGSLEY_64,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210529,-
1970794,60330246,I5H53_gp065,I5H53_gp065,SEA_KINGSLEY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330247,I5H53_gp066,I5H53_gp066,SEA_KINGSLEY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330248,I5H53_gp067,I5H53_gp067,SEA_KINGSLEY_67,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
1970794,60330249,I5H53_gp068,I5H53_gp068,SEA_KINGSLEY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330250,I5H53_gp069,I5H53_gp069,SEA_KINGSLEY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330251,I5H53_gp070,I5H53_gp070,SEA_KINGSLEY_70,-,-,-,DNA cytosine methylase,protein-coding,-,-,-,DNA cytosine methylase,20210515,-
1970794,60330252,I5H53_gp071,I5H53_gp071,SEA_KINGSLEY_71,-,-,-,DNA cytosine methylase,protein-coding,-,-,-,DNA cytosine methylase,20201129,-
1970794,60330253,I5H53_gp074,I5H53_gp074,SEA_KINGSLEY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330254,I5H53_gp075,I5H53_gp075,SEA_KINGSLEY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330255,I5H53_gp076,I5H53_gp076,SEA_KINGSLEY_76,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210515,-
1970794,60330256,I5H53_gp078,I5H53_gp078,SEA_KINGSLEY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330257,I5H53_gp079,I5H53_gp079,SEA_KINGSLEY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330258,I5H53_gp080,I5H53_gp080,SEA_KINGSLEY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330259,I5H53_gp082,I5H53_gp082,SEA_KINGSLEY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330260,I5H53_gp083,I5H53_gp083,SEA_KINGSLEY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330261,I5H53_gp084,I5H53_gp084,SEA_KINGSLEY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330262,I5H53_gp085,I5H53_gp085,SEA_KINGSLEY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330263,I5H53_gp086,I5H53_gp086,SEA_KINGSLEY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330264,I5H53_gp087,I5H53_gp087,SEA_KINGSLEY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330265,I5H53_gp088,I5H53_gp088,SEA_KINGSLEY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330266,I5H53_gp089,I5H53_gp089,SEA_KINGSLEY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330267,I5H53_gp090,I5H53_gp090,SEA_KINGSLEY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330268,I5H53_gp091,I5H53_gp091,SEA_KINGSLEY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330269,I5H53_gp092,I5H53_gp092,SEA_KINGSLEY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330270,I5H53_gp093,I5H53_gp093,SEA_KINGSLEY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330271,I5H53_gp094,I5H53_gp094,SEA_KINGSLEY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330272,I5H53_gp095,I5H53_gp095,SEA_KINGSLEY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330273,I5H53_gp096,I5H53_gp096,SEA_KINGSLEY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330274,I5H53_gp098,I5H53_gp098,SEA_KINGSLEY_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330275,I5H53_gp099,I5H53_gp099,SEA_KINGSLEY_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330276,I5H53_gp100,I5H53_gp100,SEA_KINGSLEY_100,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
1970794,60330277,I5H53_gp101,I5H53_gp101,SEA_KINGSLEY_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330278,I5H53_gp102,I5H53_gp102,SEA_KINGSLEY_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330279,I5H53_gp103,I5H53_gp103,SEA_KINGSLEY_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330280,I5H53_gp104,I5H53_gp104,SEA_KINGSLEY_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330281,I5H53_gp105,I5H53_gp105,SEA_KINGSLEY_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330282,I5H53_gp106,I5H53_gp106,SEA_KINGSLEY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330283,I5H53_gp107,I5H53_gp107,SEA_KINGSLEY_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330284,I5H53_gp108,I5H53_gp108,SEA_KINGSLEY_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330285,I5H53_gp109,I5H53_gp109,SEA_KINGSLEY_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330286,I5H53_gp110,I5H53_gp110,SEA_KINGSLEY_110,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
1970794,60330287,I5H53_gp111,I5H53_gp111,SEA_KINGSLEY_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330288,I5H53_gp112,I5H53_gp112,SEA_KINGSLEY_112,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
1970794,60330289,I5H53_gp097,I5H53_gp097,SEA_KINGSLEY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330290,I5H53_gp030,I5H53_gp030,SEA_KINGSLEY_30,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1970794,60330291,I5H53_gp073,I5H53_gp073,SEA_KINGSLEY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330292,I5H53_gp081,I5H53_gp081,SEA_KINGSLEY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330293,I5H53_gp077,I5H53_gp077,SEA_KINGSLEY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330294,I5H53_gp072,I5H53_gp072,SEA_KINGSLEY_72,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
1970794,60330295,I5H53_gp044,I5H53_gp044,SEA_KINGSLEY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1970794,60330296,I5H53_gp047,I5H53_gp047,SEA_KINGSLEY_47,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
1970794,60330297,I5H53_gp001,I5H53_gp001,SEA_KINGSLEY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
1970794,60338587,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Kingsley).,other,-,-,-,-,20201130,-
