#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
638660,28218247,ORF111,SERV_ORF111,-,-,-,-,putative myeloid cell leukemia protein,protein-coding,-,-,-,putative myeloid cell leukemia protein,20201220,-
638660,28218279,ORF79,SERV_ORF79,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20201220,-
638660,28218280,ORF78,SERV_ORF78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218281,ORF77,SERV_ORF77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218282,ORF76,SERV_ORF76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218283,ORF75,SERV_ORF75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218284,ORF74,SERV_ORF74,-,-,-,-,putative capsid maturation protease,protein-coding,-,-,-,putative capsid maturation protease,20201220,-
638660,28218285,ORF73,SERV_ORF73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218286,ORF72,SERV_ORF72,-,-,-,-,putative tyrosine kinase,protein-coding,-,-,-,putative tyrosine kinase,20201220,-
638660,28218287,ORF71,SERV_ORF71,-,-,-,-,putative eIF-2 alpha-like protein,protein-coding,-,-,-,putative eIF-2 alpha-like protein,20201220,-
638660,28218288,ORF70,SERV_ORF70,-,-,-,-,p31K protein,protein-coding,-,-,-,p31K protein,20201220,-
638660,28218289,ORF69,SERV_ORF69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218290,ORF68,SERV_ORF68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218291,ORF67,SERV_ORF67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218292,ORF66,SERV_ORF66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218293,ORF65,SERV_ORF65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218294,ORF64,SERV_ORF64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218295,ORF63,SERV_ORF63,-,-,-,-,putative 3-beta-hydroxy-delta 5-C27 steroid oxidoreductase-like protein,protein-coding,-,-,-,putative 3-beta-hydroxy-delta 5-C27 steroid oxidoreductase-like protein,20201220,-
638660,28218296,ORF62,SERV_ORF62,-,-,-,-,putative myristylated membrane protein,protein-coding,-,-,-,putative myristylated membrane protein,20201220,-
638660,28218297,ORF61,SERV_ORF61,-,-,-,-,putative nuclear calmodulin-binding protein,protein-coding,-,-,-,putative nuclear calmodulin-binding protein,20201220,-
638660,28218298,ORF59,SERV_ORF59,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20201220,-
638660,28218299,ORF60,SERV_ORF60,-,-,-,-,40kDa protein,protein-coding,-,-,-,40kDa protein,20201220,-
638660,28218300,ORF58,SERV_ORF58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218301,ORF57,SERV_ORF57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218302,ORF56,SERV_ORF56,-,-,-,-,putative phosphotransferase,protein-coding,-,-,-,putative phosphotransferase,20201220,-
638660,28218303,ORF55,SERV_ORF55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218304,ORF54,SERV_ORF54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218305,ORF53,SERV_ORF53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218306,ORF52,SERV_ORF52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218307,ORF51,SERV_ORF51,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
638660,28218308,ORF50,SERV_ORF50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218309,ORF49,SERV_ORF49,-,-,-,-,DNA-dependent RNA polymerase II second largest subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase II second largest subunit,20201220,-
638660,28218310,ORF48,SERV_ORF48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218311,ORF47,SERV_ORF47,-,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20201220,-
638660,28218312,ORF46,SERV_ORF46,-,-,-,-,putative caspase recruitment domain protein,protein-coding,-,-,-,putative caspase recruitment domain protein,20201220,-
638660,28218313,ORF45,SERV_ORF45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218314,ORF44,SERV_ORF44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218315,ORF43,SERV_ORF43,-,-,-,-,putative ribonucleotide reductase beta subunit,protein-coding,-,-,-,putative ribonucleotide reductase beta subunit,20201220,-
638660,28218316,ORF42,SERV_ORF42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218317,ORF41,SERV_ORF41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218318,ORF40,SERV_ORF40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218319,ORF39,SERV_ORF39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218320,ORF38,SERV_ORF38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218321,ORF36,SERV_ORF36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218322,ORF37,SERV_ORF37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218323,ORF35,SERV_ORF35,-,-,-,-,putative NTPase helicase-like protein,protein-coding,-,-,-,putative NTPase helicase-like protein,20201220,-
638660,28218324,ORF34,SERV_ORF34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218325,ORF33,SERV_ORF33,-,-,-,-,putative LITAF PIG7 possible membrane associated motif in LPS-induced tumor necrosis factor alpha factor,protein-coding,-,-,-,putative LITAF PIG7 possible membrane associated motif in LPS-induced tumor necrosis factor alpha factor,20201220,-
638660,28218326,ORF32,SERV_ORF32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218327,ORF31,SERV_ORF31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218328,ORF30,SERV_ORF30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218329,ORF29,SERV_ORF29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218330,ORF28,SERV_ORF28,-,-,-,-,putative ATPase-dependent protease,protein-coding,-,-,-,putative ATPase-dependent protease,20201220,-
638660,28218331,ORF27,SERV_ORF27,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20201220,-
638660,28218332,ORF26,SERV_ORF26,-,-,-,-,transcription elongation factor SII,protein-coding,-,-,-,transcription elongation factor SII,20201220,-
638660,28218333,ORF25,SERV_ORF25,-,-,-,-,immediate early protein ICP-18,protein-coding,-,-,-,immediate early protein ICP-18,20201220,-
638660,28218334,ORF24,SERV_ORF24,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
638660,28218335,ORF23,SERV_ORF23,-,-,-,-,cytosine DNA methyltransferase,protein-coding,-,-,-,cytosine DNA methyltransferase,20201220,-
638660,28218336,ORF22,SERV_ORF22,-,-,-,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20201220,-
638660,28218337,ORF21,SERV_ORF21,-,-,-,-,putative deoxynucleoside kinase,protein-coding,-,-,-,putative deoxynucleoside kinase,20201220,-
638660,28218338,ORF20,SERV_ORF20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218339,ORF19,SERV_ORF19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218340,ORF18,SERV_ORF18,-,-,-,-,Ervl Alr family protein,protein-coding,-,-,-,Ervl Alr family protein,20201220,-
638660,28218341,ORF17,SERV_ORF17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218342,ORF16,SERV_ORF16,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
638660,28218343,ORF15,SERV_ORF15,-,-,-,-,immediate early protein ICP-46,protein-coding,-,-,-,immediate early protein ICP-46,20201220,-
638660,28218344,ORF14,SERV_ORF14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218345,ORF13,SERV_ORF13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218346,ORF12,SERV_ORF12,-,-,-,-,putative DNA repair protein RAD2,protein-coding,-,-,-,putative DNA repair protein RAD2,20201220,-
638660,28218347,ORF11,SERV_ORF11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218348,ORF10,SERV_ORF10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218349,ORF9,SERV_ORF9,-,-,-,-,putative NTPase,protein-coding,-,-,-,putative NTPase,20201220,-
638660,28218350,ORF8,SERV_ORF8,-,-,-,-,DNA-dependent RNA polymerase II largest subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase II largest subunit,20201220,-
638660,28218351,ORF7,SERV_ORF7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218352,ORF6,SERV_ORF6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218353,ORF5,SERV_ORF5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218354,ORF4,SERV_ORF4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218355,ORF3,SERV_ORF3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
638660,28218356,ORF2,SERV_ORF2,-,-,-,-,putative myristylated membrane protein,protein-coding,-,-,-,putative myristylated membrane protein,20201220,-
638660,28218357,ORF1,SERV_ORF1,-,-,-,-,putative replicating factor,protein-coding,-,-,-,putative replicating factor,20201220,-
638660,28221528,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
