#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675553,26626973,NHONHO_2,NHONHO_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
1675553,26627022,NHONHO_51,NHONHO_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627023,NHONHO_52,NHONHO_52,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201221,-
1675553,26627024,NHONHO_53,NHONHO_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627025,NHONHO_54,NHONHO_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1675553,26627026,NHONHO_55,NHONHO_55,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1675553,26627027,NHONHO_56,NHONHO_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627028,NHONHO_57,NHONHO_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627029,NHONHO_58,NHONHO_58,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201221,-
1675553,26627030,NHONHO_59,NHONHO_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627031,NHONHO_60,NHONHO_60,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201221,-
1675553,26627032,NHONHO_61,NHONHO_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627033,NHONHO_62,NHONHO_62,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1675553,26627034,NHONHO_63,NHONHO_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627035,NHONHO_64,NHONHO_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627036,NHONHO_65,NHONHO_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627037,NHONHO_66,NHONHO_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627038,NHONHO_67,NHONHO_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627039,NHONHO_68,NHONHO_68,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1675553,26627040,NHONHO_69,NHONHO_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627041,NHONHO_70,NHONHO_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627042,NHONHO_71,NHONHO_71,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1675553,26627043,NHONHO_72,NHONHO_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627044,NHONHO_73,NHONHO_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627045,NHONHO_74,NHONHO_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627046,NHONHO_75,NHONHO_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627047,NHONHO_76,NHONHO_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627048,NHONHO_77,NHONHO_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627049,NHONHO_78,NHONHO_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627050,NHONHO_79,NHONHO_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627051,NHONHO_80,NHONHO_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627052,NHONHO_81,NHONHO_81,-,-,-,-,NifU-like protein,protein-coding,-,-,-,NifU-like protein,20201221,-
1675553,26627053,NHONHO_82,NHONHO_82,-,-,-,-,PAPS reductase domain protein,protein-coding,-,-,-,PAPS reductase domain protein,20201221,-
1675553,26627054,NHONHO_83,NHONHO_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627055,NHONHO_84,NHONHO_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627056,NHONHO_85,NHONHO_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627057,NHONHO_86,NHONHO_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627058,NHONHO_87,NHONHO_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1675553,26627059,NHONHO_88,NHONHO_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26627060,NHONHO_1,NHONHO_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675553,26680881,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Nhonho).,other,-,-,-,-,20200513,-
