#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483668,65116931,2,KNU19_gp02,SEA_FOSTEROUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483668,65116969,40,KNU19_gp40,SEA_FOSTEROUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116970,41,KNU19_gp41,SEA_FOSTEROUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116971,42,KNU19_gp42,SEA_FOSTEROUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116972,43,KNU19_gp43,SEA_FOSTEROUS_43,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483668,65116973,44,KNU19_gp44,SEA_FOSTEROUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116974,45,KNU19_gp45,SEA_FOSTEROUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116975,46,KNU19_gp46,SEA_FOSTEROUS_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483668,65116976,47,KNU19_gp47,SEA_FOSTEROUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116977,48,KNU19_gp48,SEA_FOSTEROUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116978,49,KNU19_gp49,SEA_FOSTEROUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116979,50,KNU19_gp50,SEA_FOSTEROUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116980,51,KNU19_gp51,SEA_FOSTEROUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116981,53,KNU19_gp53,SEA_FOSTEROUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116982,54,KNU19_gp54,SEA_FOSTEROUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116983,55,KNU19_gp55,SEA_FOSTEROUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116984,56,KNU19_gp56,SEA_FOSTEROUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116985,57,KNU19_gp57,SEA_FOSTEROUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116986,58,KNU19_gp58,SEA_FOSTEROUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116987,59,KNU19_gp59,SEA_FOSTEROUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116988,61,KNU19_gp61,SEA_FOSTEROUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116989,62,KNU19_gp62,SEA_FOSTEROUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483668,65116990,63,KNU19_gp63,SEA_FOSTEROUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116991,64,KNU19_gp64,SEA_FOSTEROUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116992,65,KNU19_gp65,SEA_FOSTEROUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116993,66,KNU19_gp66,SEA_FOSTEROUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116994,67,KNU19_gp67,SEA_FOSTEROUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116995,68,KNU19_gp68,SEA_FOSTEROUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116996,69,KNU19_gp69,SEA_FOSTEROUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116997,70,KNU19_gp70,SEA_FOSTEROUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65116998,71,KNU19_gp71,SEA_FOSTEROUS_71,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483668,65116999,72,KNU19_gp72,SEA_FOSTEROUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117000,73,KNU19_gp73,SEA_FOSTEROUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117001,74,KNU19_gp74,SEA_FOSTEROUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117002,75,KNU19_gp75,SEA_FOSTEROUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117003,76,KNU19_gp76,SEA_FOSTEROUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117004,77,KNU19_gp77,SEA_FOSTEROUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117005,78,KNU19_gp78,SEA_FOSTEROUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117006,79,KNU19_gp79,SEA_FOSTEROUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117007,80,KNU19_gp80,SEA_FOSTEROUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117008,81,KNU19_gp81,SEA_FOSTEROUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117009,82,KNU19_gp82,SEA_FOSTEROUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117010,83,KNU19_gp83,SEA_FOSTEROUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117011,84,KNU19_gp84,SEA_FOSTEROUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117012,85,KNU19_gp85,SEA_FOSTEROUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117013,86,KNU19_gp86,SEA_FOSTEROUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117014,87,KNU19_gp87,SEA_FOSTEROUS_87,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483668,65117015,52,KNU19_gp52,SEA_FOSTEROUS_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483668,65117016,60,KNU19_gp60,SEA_FOSTEROUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483668,65117017,1,KNU19_gp01,SEA_FOSTEROUS_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483668,65242952,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
