#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582156,26646839,PHIMMP01_20003,PHIMMP01_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1582156,26646873,PHIMMP01_20037,PHIMMP01_20037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646874,PHIMMP01_20038,PHIMMP01_20038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646875,PHIMMP01_29038,PHIMMP01_29038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646876,PHIMMP01_20040,PHIMMP01_20040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646877,PHIMMP01_20041,PHIMMP01_20041,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582156,26646878,PHIMMP01_20042,PHIMMP01_20042,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582156,26646879,PHIMMP01_20043,PHIMMP01_20043,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210212,-
1582156,26646880,PHIMMP01_20044,PHIMMP01_20044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646881,PHIMMP01_20045,PHIMMP01_20045,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582156,26646882,PHIMMP01_20046,PHIMMP01_20046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646883,PHIMMP01_20047,PHIMMP01_20047,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582156,26646884,PHIMMP01_20048,PHIMMP01_20048,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210529,-
1582156,26646885,yoqD,PHIMMP01_20049,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20210529,-
1582156,26646886,PHIMMP01_20051,PHIMMP01_20051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646887,PHIMMP01_20052,PHIMMP01_20052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646888,PHIMMP01_20053,PHIMMP01_20053,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20210529,-
1582156,26646889,PHIMMP01_20054,PHIMMP01_20054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646890,PHIMMP01_20055,PHIMMP01_20055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646891,PHIMMP01_20056,PHIMMP01_20056,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
1582156,26646892,PHIMMP01_20057,PHIMMP01_20057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1582156,26646893,PHIMMP01_20058,PHIMMP01_20058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646894,PHIMMP01_20059,PHIMMP01_20059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646895,PHIMMP01_20060,PHIMMP01_20060,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210529,-
1582156,26646896,PHIMMP01_20061,PHIMMP01_20061,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210529,-
1582156,26646897,PHIMMP01_20062,PHIMMP01_20062,-,-,-,-,putative DnaD,protein-coding,-,-,-,putative DnaD,20200629,-
1582156,26646898,PHIMMP01_20063,PHIMMP01_20063,-,-,-,-,putative phage resolvase/integrase,protein-coding,-,-,-,putative phage resolvase/integrase,20200629,-
1582156,26646899,PHIMMP01_20064,PHIMMP01_20064,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1582156,26646900,PHIMMP01_20065,PHIMMP01_20065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646901,PHIMMP01_20066,PHIMMP01_20066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646902,PHIMMP01_20067,PHIMMP01_20067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646903,PHIMMP01_20068,PHIMMP01_20068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646904,PHIMMP01_20069,PHIMMP01_20069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646905,PHIMMP01_29069,PHIMMP01_29069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646906,PHIMMP01_20071,PHIMMP01_20071,-,-,-,-,DUF1064 domain-containing protein,protein-coding,-,-,-,DUF1064 domain-containing protein,20201221,-
1582156,26646907,PHIMMP01_20072,PHIMMP01_20072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646908,PHIMMP01_29072,PHIMMP01_29072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646909,PHIMMP01_20074,PHIMMP01_20074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646910,PHIMMP01_20075,PHIMMP01_20075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646911,PHIMMP01_29075,PHIMMP01_29075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646912,PHIMMP01_20077,PHIMMP01_20077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646913,PHIMMP01_20039,PHIMMP01_20039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646914,PHIMMP01_20070,PHIMMP01_20070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646915,PHIMMP01_20073,PHIMMP01_20073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646916,PHIMMP01_20076,PHIMMP01_20076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582156,26646917,PHIMMP01_20050,PHIMMP01_20050,-,-,-,-,ribbon-helix-helix domain-containing protein,protein-coding,-,-,-,ribbon-helix-helix domain-containing protein,20201221,-
1582156,26646918,PHIMMP01_20002,PHIMMP01_20002,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1582156,26646919,yqaS,PHIMMP01_20001,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1582156,26683519,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
