#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027256,55808205,HYP46_gp02,HYP46_gp02,LP9609_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027256,55808243,HYP46_gp40,HYP46_gp40,LP9609_40,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027256,55808244,HYP46_gp41,HYP46_gp41,LP9609_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808245,HYP46_gp42,HYP46_gp42,LP9609_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808246,HYP46_gp43,HYP46_gp43,LP9609_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808247,HYP46_gp44,HYP46_gp44,LP9609_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808248,HYP46_gp45,HYP46_gp45,LP9609_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027256,55808249,HYP46_gp46,HYP46_gp46,LP9609_46,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027256,55808250,HYP46_gp47,HYP46_gp47,LP9609_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808251,HYP46_gp48,HYP46_gp48,LP9609_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808252,HYP46_gp49,HYP46_gp49,LP9609_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808253,HYP46_gp50,HYP46_gp50,LP9609_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027256,55808254,HYP46_gp51,HYP46_gp51,LP9609_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808255,HYP46_gp52,HYP46_gp52,LP9609_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808256,HYP46_gp53,HYP46_gp53,LP9609_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808257,HYP46_gp54,HYP46_gp54,LP9609_54,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027256,55808258,HYP46_gp55,HYP46_gp55,LP9609_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027256,55808259,HYP46_gp01,HYP46_gp01,LP9609_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2027256,55863449,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
