#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588099,64410070,KE336_gp02,KE336_gp02,4D05_002,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210429,-
2588099,64410098,KE336_gp30,KE336_gp30,4D05_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410099,KE336_gp31,KE336_gp31,4D05_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410100,KE336_gp32,KE336_gp32,4D05_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410101,KE336_gp33,KE336_gp33,4D05_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410102,KE336_gp34,KE336_gp34,4D05_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410103,KE336_gp35,KE336_gp35,4D05_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410104,KE336_gp36,KE336_gp36,4D05_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410105,KE336_gp37,KE336_gp37,4D05_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410106,KE336_gp38,KE336_gp38,4D05_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410107,KE336_gp39,KE336_gp39,4D05_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410108,KE336_gp40,KE336_gp40,4D05_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410109,KE336_gp41,KE336_gp41,4D05_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410110,KE336_gp42,KE336_gp42,4D05_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410111,KE336_gp43,KE336_gp43,4D05_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410112,KE336_gp44,KE336_gp44,4D05_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410113,KE336_gp45,KE336_gp45,4D05_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410114,KE336_gp46,KE336_gp46,4D05_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410115,KE336_gp47,KE336_gp47,4D05_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410116,KE336_gp48,KE336_gp48,4D05_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410117,KE336_gp49,KE336_gp49,4D05_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410118,KE336_gp50,KE336_gp50,4D05_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410119,KE336_gp51,KE336_gp51,4D05_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410120,KE336_gp52,KE336_gp52,4D05_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410121,KE336_gp53,KE336_gp53,4D05_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410122,KE336_gp54,KE336_gp54,4D05_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410123,KE336_gp55,KE336_gp55,4D05_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410124,KE336_gp56,KE336_gp56,4D05_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410125,KE336_gp57,KE336_gp57,4D05_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410126,KE336_gp58,KE336_gp58,4D05_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410127,KE336_gp59,KE336_gp59,4D05_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410128,KE336_gp60,KE336_gp60,4D05_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410129,KE336_gp61,KE336_gp61,4D05_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410130,KE336_gp62,KE336_gp62,4D05_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410131,KE336_gp63,KE336_gp63,4D05_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410132,KE336_gp64,KE336_gp64,4D05_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410133,KE336_gp65,KE336_gp65,4D05_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410134,KE336_gp66,KE336_gp66,4D05_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410135,KE336_gp67,KE336_gp67,4D05_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410136,KE336_gp68,KE336_gp68,4D05_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410137,KE336_gp69,KE336_gp69,4D05_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410138,KE336_gp70,KE336_gp70,4D05_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410139,KE336_gp71,KE336_gp71,4D05_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410140,KE336_gp72,KE336_gp72,4D05_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410141,KE336_gp73,KE336_gp73,4D05_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410142,KE336_gp74,KE336_gp74,4D05_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64410143,KE336_gp01,KE336_gp01,4D05_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210429,-
2588099,64470465,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210503,-
