#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1076631,40080684,2,FDH94_gp02,SEA_JEBEKS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1076631,40080707,25,FDH94_gp25,SEA_JEBEKS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080708,26,FDH94_gp26,SEA_JEBEKS_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1076631,40080709,27,FDH94_gp27,SEA_JEBEKS_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1076631,40080710,28,FDH94_gp28,SEA_JEBEKS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1076631,40080711,29,FDH94_gp29,SEA_JEBEKS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080712,30,FDH94_gp30,SEA_JEBEKS_30,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1076631,40080713,32,FDH94_gp31,SEA_JEBEKS_32,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1076631,40080714,33,FDH94_gp32,SEA_JEBEKS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080715,34,FDH94_gp33,SEA_JEBEKS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080716,35,FDH94_gp34,SEA_JEBEKS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080717,36,FDH94_gp35,SEA_JEBEKS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080718,37,FDH94_gp36,SEA_JEBEKS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080719,38,FDH94_gp37,SEA_JEBEKS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080720,39,FDH94_gp38,SEA_JEBEKS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1076631,40080721,40,FDH94_gp39,SEA_JEBEKS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080722,41,FDH94_gp40,SEA_JEBEKS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080723,42,FDH94_gp41,SEA_JEBEKS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080724,43,FDH94_gp42,SEA_JEBEKS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080725,44,FDH94_gp43,SEA_JEBEKS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080726,45,FDH94_gp44,SEA_JEBEKS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080727,46,FDH94_gp45,SEA_JEBEKS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080728,47,FDH94_gp46,SEA_JEBEKS_47,-,-,-,RecE,protein-coding,-,-,-,RecE,20201220,-
1076631,40080729,48,FDH94_gp47,SEA_JEBEKS_48,-,-,-,RecT,protein-coding,-,-,-,RecT,20210424,-
1076631,40080730,49,FDH94_gp48,SEA_JEBEKS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080731,50,FDH94_gp49,SEA_JEBEKS_50,-,-,-,FtsK,protein-coding,-,-,-,FtsK,20201220,-
1076631,40080732,51,FDH94_gp50,SEA_JEBEKS_51,-,-,-,RusA,protein-coding,-,-,-,RusA,20210424,-
1076631,40080733,52,FDH94_gp51,SEA_JEBEKS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080734,53,FDH94_gp52,SEA_JEBEKS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080735,54,FDH94_gp53,SEA_JEBEKS_54,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1076631,40080736,55,FDH94_gp54,SEA_JEBEKS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080737,56,FDH94_gp55,SEA_JEBEKS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080738,57,FDH94_gp56,SEA_JEBEKS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080739,58,FDH94_gp57,SEA_JEBEKS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1076631,40080740,59,FDH94_gp58,SEA_JEBEKS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080741,60,FDH94_gp59,SEA_JEBEKS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080742,61,FDH94_gp60,SEA_JEBEKS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080743,62,FDH94_gp61,SEA_JEBEKS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080744,63,FDH94_gp62,SEA_JEBEKS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080745,64,FDH94_gp63,SEA_JEBEKS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080746,65,FDH94_gp64,SEA_JEBEKS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080747,66,FDH94_gp65,SEA_JEBEKS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080748,67,FDH94_gp66,SEA_JEBEKS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080749,68,FDH94_gp67,SEA_JEBEKS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080750,69,FDH94_gp68,SEA_JEBEKS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080751,70,FDH94_gp69,SEA_JEBEKS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080752,71,FDH94_gp70,SEA_JEBEKS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080753,72,FDH94_gp71,SEA_JEBEKS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1076631,40080754,74,FDH94_gp72,SEA_JEBEKS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080755,75,FDH94_gp73,SEA_JEBEKS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080756,76,FDH94_gp74,SEA_JEBEKS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076631,40080757,77,FDH94_gp75,SEA_JEBEKS_77,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1076631,40080758,1,FDH94_gp01,SEA_JEBEKS_1,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201220,-
1076631,40120089,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
