#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041512,40092227,FDI74_gp02,FDI74_gp02,SEA_LENNON_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2041512,40092257,FDI74_gp32,FDI74_gp32,SEA_LENNON_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092258,FDI74_gp33,FDI74_gp33,SEA_LENNON_33,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
2041512,40092259,FDI74_gp34,FDI74_gp34,SEA_LENNON_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2041512,40092260,FDI74_gp35,FDI74_gp35,SEA_LENNON_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2041512,40092261,FDI74_gp36,FDI74_gp36,SEA_LENNON_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2041512,40092262,FDI74_gp37,FDI74_gp37,SEA_LENNON_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092263,FDI74_gp38,FDI74_gp38,SEA_LENNON_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2041512,40092264,FDI74_gp39,FDI74_gp39,SEA_LENNON_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092265,FDI74_gp40,FDI74_gp40,SEA_LENNON_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092266,FDI74_gp41,FDI74_gp41,SEA_LENNON_41,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2041512,40092267,FDI74_gp42,FDI74_gp42,SEA_LENNON_42,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2041512,40092268,FDI74_gp43,FDI74_gp43,SEA_LENNON_43,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2041512,40092269,FDI74_gp44,FDI74_gp44,SEA_LENNON_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2041512,40092270,FDI74_gp45,FDI74_gp45,SEA_LENNON_45,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
2041512,40092271,FDI74_gp46,FDI74_gp46,SEA_LENNON_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092272,FDI74_gp47,FDI74_gp47,SEA_LENNON_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092273,FDI74_gp48,FDI74_gp48,SEA_LENNON_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2041512,40092274,FDI74_gp49,FDI74_gp49,SEA_LENNON_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092275,FDI74_gp50,FDI74_gp50,SEA_LENNON_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2041512,40092276,FDI74_gp51,FDI74_gp51,SEA_LENNON_51,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
2041512,40092277,FDI74_gp52,FDI74_gp52,SEA_LENNON_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092278,FDI74_gp53,FDI74_gp53,SEA_LENNON_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092279,FDI74_gp54,FDI74_gp54,SEA_LENNON_54,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2041512,40092280,FDI74_gp55,FDI74_gp55,SEA_LENNON_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092281,FDI74_gp56,FDI74_gp56,SEA_LENNON_56,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2041512,40092282,FDI74_gp57,FDI74_gp57,SEA_LENNON_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092283,FDI74_gp58,FDI74_gp58,SEA_LENNON_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092284,FDI74_gp60,FDI74_gp60,SEA_LENNON_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092285,FDI74_gp61,FDI74_gp61,SEA_LENNON_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041512,40092286,FDI74_gp62,FDI74_gp62,SEA_LENNON_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092287,FDI74_gp63,FDI74_gp63,SEA_LENNON_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092288,FDI74_gp64,FDI74_gp64,SEA_LENNON_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092289,FDI74_gp65,FDI74_gp65,SEA_LENNON_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092290,FDI74_gp66,FDI74_gp66,SEA_LENNON_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092291,FDI74_gp67,FDI74_gp67,SEA_LENNON_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092292,FDI74_gp68,FDI74_gp68,SEA_LENNON_68,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2041512,40092293,FDI74_gp69,FDI74_gp69,SEA_LENNON_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092294,FDI74_gp70,FDI74_gp70,SEA_LENNON_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092295,FDI74_gp71,FDI74_gp71,SEA_LENNON_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092296,FDI74_gp72,FDI74_gp72,SEA_LENNON_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092297,FDI74_gp73,FDI74_gp73,SEA_LENNON_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092298,FDI74_gp74,FDI74_gp74,SEA_LENNON_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092299,FDI74_gp75,FDI74_gp75,SEA_LENNON_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092300,FDI74_gp76,FDI74_gp76,SEA_LENNON_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092301,FDI74_gp77,FDI74_gp77,SEA_LENNON_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092302,FDI74_gp78,FDI74_gp78,SEA_LENNON_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092303,FDI74_gp79,FDI74_gp79,SEA_LENNON_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092304,FDI74_gp80,FDI74_gp80,SEA_LENNON_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092305,FDI74_gp81,FDI74_gp81,SEA_LENNON_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092306,FDI74_gp82,FDI74_gp82,SEA_LENNON_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092307,FDI74_gp83,FDI74_gp83,SEA_LENNON_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092308,FDI74_gp84,FDI74_gp84,SEA_LENNON_84,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2041512,40092309,FDI74_gp85,FDI74_gp85,SEA_LENNON_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
2041512,40092310,FDI74_gp59,FDI74_gp59,SEA_LENNON_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40092311,FDI74_gp01,FDI74_gp01,SEA_LENNON_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041512,40120500,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
