#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015815,40086030,2,FDI26_gp02,SEA_BEANS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2015815,40086061,38,FDI26_gp38,SEA_BEANS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086062,39,FDI26_gp39,SEA_BEANS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086063,41,FDI26_gp41,SEA_BEANS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086064,42,FDI26_gp42,SEA_BEANS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086065,43,FDI26_gp43,SEA_BEANS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086066,44,FDI26_gp44,SEA_BEANS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086067,45,FDI26_gp45,SEA_BEANS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086068,46,FDI26_gp46,SEA_BEANS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086069,47,FDI26_gp47,SEA_BEANS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086070,48,FDI26_gp48,SEA_BEANS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086071,49,FDI26_gp49,SEA_BEANS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086072,51,FDI26_gp51,SEA_BEANS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086073,52,FDI26_gp52,SEA_BEANS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086074,53,FDI26_gp53,SEA_BEANS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086075,54,FDI26_gp54,SEA_BEANS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086076,55,FDI26_gp55,SEA_BEANS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086077,56,FDI26_gp56,SEA_BEANS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086078,58,FDI26_gp58,SEA_BEANS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086079,59,FDI26_gp59,SEA_BEANS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086080,60,FDI26_gp60,SEA_BEANS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086081,61,FDI26_gp61,SEA_BEANS_61,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2015815,40086082,62,FDI26_gp62,SEA_BEANS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086083,63,FDI26_gp63,SEA_BEANS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086084,64,FDI26_gp64,SEA_BEANS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086085,65,FDI26_gp65,SEA_BEANS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086086,66,FDI26_gp66,SEA_BEANS_66,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2015815,40086087,67,FDI26_gp67,SEA_BEANS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086088,68,FDI26_gp68,SEA_BEANS_68,-,-,-,AlpA-like DNA binding protein,protein-coding,-,-,-,AlpA-like DNA binding protein,20201221,-
2015815,40086089,69,FDI26_gp69,SEA_BEANS_69,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201221,-
2015815,40086090,71,FDI26_gp71,SEA_BEANS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086091,50,FDI26_gp50,SEA_BEANS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086092,37,FDI26_gp37,SEA_BEANS_37,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2015815,40086093,35,FDI26_gp35,SEA_BEANS_35,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
2015815,40086094,23,FDI26_gp23,SEA_BEANS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086095,24,FDI26_gp24,SEA_BEANS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086096,18,FDI26_gp18,SEA_BEANS_18,-,-,-,LysM domain protein,protein-coding,-,-,-,LysM domain protein,20201221,-
2015815,40086097,70,FDI26_gp70,SEA_BEANS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086098,72,FDI26_gp72,SEA_BEANS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086099,73,FDI26_gp73,SEA_BEANS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086100,40,FDI26_gp40,SEA_BEANS_40,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2015815,40086101,57,FDI26_gp57,SEA_BEANS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015815,40086102,1,FDI26_gp01,SEA_BEANS_1,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
2015815,40120424,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
