#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163886,54991260,HOT13_gp02,HOT13_gp02,-,-,-,-,putative major head subunit precursor,protein-coding,-,-,-,putative major head subunit precursor,20210403,-
2163886,54991274,HOT13_gp16,HOT13_gp16,-,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210403,-
2163886,54991275,HOT13_gp17,HOT13_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991276,HOT13_gp18,HOT13_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991277,HOT13_gp19,HOT13_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991278,HOT13_gp20,HOT13_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991279,HOT13_gp21,HOT13_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991280,HOT13_gp22,HOT13_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991281,HOT13_gp23,HOT13_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991282,HOT13_gp24,HOT13_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991283,HOT13_gp25,HOT13_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991284,HOT13_gp26,HOT13_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991285,HOT13_gp27,HOT13_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991286,HOT13_gp28,HOT13_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991287,HOT13_gp29,HOT13_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991288,HOT13_gp30,HOT13_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991289,HOT13_gp31,HOT13_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991290,HOT13_gp32,HOT13_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991291,HOT13_gp33,HOT13_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991292,HOT13_gp34,HOT13_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991293,HOT13_gp35,HOT13_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991294,HOT13_gp36,HOT13_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991295,HOT13_gp37,HOT13_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991296,HOT13_gp38,HOT13_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991297,HOT13_gp39,HOT13_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991298,HOT13_gp40,HOT13_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991299,HOT13_gp41,HOT13_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991300,HOT13_gp42,HOT13_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991301,HOT13_gp43,HOT13_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991302,HOT13_gp44,HOT13_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991303,HOT13_gp45,HOT13_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991304,HOT13_gp46,HOT13_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991305,HOT13_gp47,HOT13_gp47,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210403,-
2163886,54991306,HOT13_gp48,HOT13_gp48,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2163886,54991307,HOT13_gp49,HOT13_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991308,HOT13_gp50,HOT13_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991309,HOT13_gp51,HOT13_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991310,HOT13_gp52,HOT13_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991311,HOT13_gp53,HOT13_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991312,HOT13_gp54,HOT13_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991313,HOT13_gp55,HOT13_gp55,-,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210403,-
2163886,54991314,HOT13_gp56,HOT13_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991315,HOT13_gp57,HOT13_gp57,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210403,-
2163886,54991316,HOT13_gp58,HOT13_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991317,HOT13_gp59,HOT13_gp59,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2163886,54991318,HOT13_gp60,HOT13_gp60,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210403,-
2163886,54991319,HOT13_gp61,HOT13_gp61,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210403,-
2163886,54991320,HOT13_gp62,HOT13_gp62,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210129,-
2163886,54991321,HOT13_gp63,HOT13_gp63,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2163886,54991322,HOT13_gp64,HOT13_gp64,-,-,-,-,super-infection exclusion protein,protein-coding,-,-,-,super-infection exclusion protein,20201221,-
2163886,54991323,HOT13_gp65,HOT13_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991324,HOT13_gp66,HOT13_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991325,HOT13_gp67,HOT13_gp67,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2163886,54991326,HOT13_gp68,HOT13_gp68,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
2163886,54991327,HOT13_gp69,HOT13_gp69,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2163886,54991328,HOT13_gp70,HOT13_gp70,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2163886,54991329,HOT13_gp71,HOT13_gp71,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2163886,54991330,HOT13_gp72,HOT13_gp72,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20210403,-
2163886,54991331,HOT13_gp73,HOT13_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2163886,54991332,HOT13_gp74,HOT13_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2163886,54991333,HOT13_gp75,HOT13_gp75,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2163886,54991334,HOT13_gp76,HOT13_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
2163886,54991335,HOT13_gp77,HOT13_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991336,HOT13_gp78,HOT13_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991337,HOT13_gp79,HOT13_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2163886,54991338,HOT13_gp80,HOT13_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,54991339,HOT13_gp81,HOT13_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2163886,54991340,HOT13_gp82,HOT13_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2163886,54991341,HOT13_gp01,HOT13_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163886,55153910,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
