#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2488980,60335083,2,I5I00_gp002,ZERG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2488980,60335127,46,I5I00_gp046,ZERG_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210406,-
2488980,60335128,47,I5I00_gp047,ZERG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335129,48,I5I00_gp048,ZERG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335130,49,I5I00_gp049,ZERG_49,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2488980,60335131,50,I5I00_gp050,ZERG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2488980,60335132,51,I5I00_gp051,ZERG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335133,52,I5I00_gp052,ZERG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335134,53,I5I00_gp053,ZERG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335135,54,I5I00_gp054,ZERG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335136,55,I5I00_gp055,ZERG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335137,56,I5I00_gp056,ZERG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2488980,60335138,57,I5I00_gp057,ZERG_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2488980,60335139,58,I5I00_gp058,ZERG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2488980,60335140,59,I5I00_gp059,ZERG_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2488980,60335141,60,I5I00_gp060,ZERG_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2488980,60335142,61,I5I00_gp061,ZERG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335143,62,I5I00_gp062,ZERG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335144,63,I5I00_gp063,ZERG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335145,64,I5I00_gp064,ZERG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2488980,60335146,65,I5I00_gp065,ZERG_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2488980,60335147,66,I5I00_gp066,ZERG_66,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20210424,-
2488980,60335148,67,I5I00_gp067,ZERG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335149,68,I5I00_gp068,ZERG_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335150,69,I5I00_gp069,ZERG_69,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2488980,60335151,72,I5I00_gp072,ZERG_72,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2488980,60335152,73,I5I00_gp073,ZERG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335153,74,I5I00_gp074,ZERG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2488980,60335154,75,I5I00_gp075,ZERG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335155,76,I5I00_gp076,ZERG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335156,77,I5I00_gp077,ZERG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335157,78,I5I00_gp078,ZERG_78,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2488980,60335158,79,I5I00_gp079,ZERG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335159,81,I5I00_gp081,ZERG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335160,82,I5I00_gp082,ZERG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335161,83,I5I00_gp083,ZERG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335162,84,I5I00_gp084,ZERG_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335163,85,I5I00_gp085,ZERG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335164,86,I5I00_gp086,ZERG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335165,87,I5I00_gp087,ZERG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335166,88,I5I00_gp088,ZERG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335167,89,I5I00_gp089,ZERG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335168,90,I5I00_gp090,ZERG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335169,91,I5I00_gp091,ZERG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335170,92,I5I00_gp092,ZERG_92,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2488980,60335171,93,I5I00_gp093,ZERG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335172,94,I5I00_gp094,ZERG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335173,95,I5I00_gp095,ZERG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335174,96,I5I00_gp096,ZERG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335175,97,I5I00_gp097,ZERG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335176,98,I5I00_gp098,ZERG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335177,99,I5I00_gp099,ZERG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335178,101,I5I00_gp101,ZERG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335179,102,I5I00_gp102,ZERG_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2488980,60335180,103,I5I00_gp103,ZERG_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2488980,60335181,70,I5I00_gp070,ZERG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335182,71,I5I00_gp071,ZERG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335183,80,I5I00_gp080,ZERG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2488980,60335184,100,I5I00_gp100,ZERG_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2488980,60335185,104,I5I00_gp104,ZERG_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2488980,60335186,1,I5I00_gp001,ZERG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2488980,60338743,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
