#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2184265,55632127,HWA82_gp001,HWA82_gp001,E0157_001,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200620,-
2184265,55632163,HWA82_gp037,HWA82_gp037,E0157_037,-,-,-,H-N-H-endonuclease,protein-coding,-,-,-,H-N-H-endonuclease,20210306,-
2184265,55632164,HWA82_gp038,HWA82_gp038,E0157_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632165,HWA82_gp039,HWA82_gp039,E0157_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632166,HWA82_gp040,HWA82_gp040,E0157_040,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210212,-
2184265,55632167,HWA82_gp041,HWA82_gp041,E0157_041,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210403,-
2184265,55632168,HWA82_gp042,HWA82_gp042,E0157_042,-,-,-,putative ATP-dependent Clp protease,protein-coding,-,-,-,putative ATP-dependent Clp protease,20210403,-
2184265,55632169,HWA82_gp043,HWA82_gp043,E0157_043,-,-,-,deoxynucleoside-5'-monophosphate kinase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphate kinase,20210306,-
2184265,55632170,HWA82_gp044,HWA82_gp044,E0157_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632171,HWA82_gp045,HWA82_gp045,E0157_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632172,HWA82_gp046,HWA82_gp046,E0157_046,-,-,-,H-N-H-endonuclease,protein-coding,-,-,-,H-N-H-endonuclease,20210306,-
2184265,55632173,HWA82_gp047,HWA82_gp047,E0157_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632174,HWA82_gp048,HWA82_gp048,E0157_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632175,HWA82_gp049,HWA82_gp049,E0157_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632176,HWA82_gp050,HWA82_gp050,E0157_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632177,HWA82_gp051,HWA82_gp051,E0157_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632178,HWA82_gp052,HWA82_gp052,E0157_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632179,HWA82_gp053,HWA82_gp053,E0157_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632180,HWA82_gp054,HWA82_gp054,E0157_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632181,HWA82_gp055,HWA82_gp055,E0157_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632182,HWA82_gp056,HWA82_gp056,E0157_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632183,HWA82_gp057,HWA82_gp057,E0157_057,-,-,-,putative acetyltransferase-like protein,protein-coding,-,-,-,putative acetyltransferase-like protein,20200905,-
2184265,55632184,HWA82_gp058,HWA82_gp058,E0157_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632185,HWA82_gt001,HWA82_gt001,E0157_tRNA001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632186,HWA82_gt002,HWA82_gt002,E0157_tRNA002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632187,HWA82_gp161,HWA82_gp161,E0157_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632188,HWA82_gp160,HWA82_gp160,E0157_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632189,HWA82_gt003,HWA82_gt003,E0157_tRNA003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632190,HWA82_gt006,HWA82_gt006,E0157_tRNA006,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632191,HWA82_gt007,HWA82_gt007,E0157_tRNA007,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632192,HWA82_gt010,HWA82_gt010,E0157_tRNA010,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632193,HWA82_gt011,HWA82_gt011,E0157_tRNA011,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632194,HWA82_gt013,HWA82_gt013,E0157_tRNA013,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632195,HWA82_gp153,HWA82_gp153,E0157_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632196,HWA82_gt014,HWA82_gt014,E0157_tRNA014,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632197,HWA82_gt016,HWA82_gt016,E0157_tRNA016,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632198,HWA82_gp150,HWA82_gp150,E0157_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632199,HWA82_gp149,HWA82_gp149,E0157_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632200,HWA82_gt020,HWA82_gt020,E0157_tRNA020,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632201,HWA82_gt021,HWA82_gt021,E0157_tRNA021,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632202,HWA82_gp146,HWA82_gp146,E0157_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632203,HWA82_gp145,HWA82_gp145,E0157_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632204,HWA82_gp144,HWA82_gp144,E0157_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
2184265,55632205,HWA82_gt023,HWA82_gt023,E0157_tRNA023,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632206,HWA82_gp142,HWA82_gp142,E0157_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632207,HWA82_gp141,HWA82_gp141,E0157_081,-,-,-,putative cell wall hydrolase,protein-coding,-,-,-,putative cell wall hydrolase,20210313,-
2184265,55632208,HWA82_gp140,HWA82_gp140,E0157_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632209,HWA82_gp139,HWA82_gp139,E0157_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632210,HWA82_gp138,HWA82_gp138,E0157_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632211,HWA82_gp137,HWA82_gp137,E0157_085,-,-,-,putative metallopeptidase,protein-coding,-,-,-,putative metallopeptidase,20200620,-
2184265,55632212,HWA82_gp136,HWA82_gp136,E0157_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632213,HWA82_gp135,HWA82_gp135,E0157_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632214,HWA82_gp134,HWA82_gp134,E0157_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632215,HWA82_gp133,HWA82_gp133,E0157_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632216,HWA82_gp132,HWA82_gp132,E0157_090,-,-,-,putative RNaseH ribonuclease,protein-coding,-,-,-,putative RNaseH ribonuclease,20210424,-
2184265,55632217,HWA82_gp131,HWA82_gp131,E0157_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632218,HWA82_gp130,HWA82_gp130,E0157_092,-,-,-,tymidylate synthase,protein-coding,-,-,-,tymidylate synthase,20210424,-
2184265,55632219,HWA82_gp129,HWA82_gp129,E0157_093,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200620,-
2184265,55632220,HWA82_gp128,HWA82_gp128,E0157_094,-,-,-,"aerobic ribonucleoside diphosphate reductase, small subunit",protein-coding,-,-,-,"aerobic ribonucleoside diphosphate reductase, small subunit",20210403,-
2184265,55632221,HWA82_gp127,HWA82_gp127,E0157_095,-,-,-,"aerobic ribonucleoside diphosphate reductase, large subunit",protein-coding,-,-,-,"aerobic ribonucleoside diphosphate reductase, large subunit",20210424,-
2184265,55632222,HWA82_gp126,HWA82_gp126,E0157_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632223,HWA82_gp125,HWA82_gp125,E0157_097,-,-,-,putative PhoH-like protein,protein-coding,-,-,-,putative PhoH-like protein,20210424,-
2184265,55632224,HWA82_gp124,HWA82_gp124,E0157_098,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210123,-
2184265,55632225,HWA82_gp123,HWA82_gp123,E0157_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632226,HWA82_gp122,HWA82_gp122,E0157_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632227,HWA82_gp121,HWA82_gp121,E0157_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632228,HWA82_gp120,HWA82_gp120,E0157_102,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20210424,-
2184265,55632229,HWA82_gp119,HWA82_gp119,E0157_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632230,HWA82_gp118,HWA82_gp118,E0157_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2184265,55632231,HWA82_gp117,HWA82_gp117,E0157_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632232,HWA82_gp116,HWA82_gp116,E0157_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632233,HWA82_gp115,HWA82_gp115,E0157_107,-,-,-,H-N-H-endonuclease,protein-coding,-,-,-,H-N-H-endonuclease,20210424,-
2184265,55632234,HWA82_gp114,HWA82_gp114,E0157_108,-,-,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20210424,-
2184265,55632235,HWA82_gp113,HWA82_gp113,E0157_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632236,HWA82_gp112,HWA82_gp112,E0157_110,-,-,-,D2 protein,protein-coding,-,-,-,D2 protein,20200620,-
2184265,55632237,HWA82_gp111,HWA82_gp111,E0157_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632238,HWA82_gp110,HWA82_gp110,E0157_112,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20200620,-
2184265,55632239,HWA82_gp109,HWA82_gp109,E0157_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632240,HWA82_gp108,HWA82_gp108,E0157_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2184265,55632241,HWA82_gp107,HWA82_gp107,E0157_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632242,HWA82_gp106,HWA82_gp106,E0157_116,-,-,-,"NAD-dependent DNA ligase, subunit A",protein-coding,-,-,-,"NAD-dependent DNA ligase, subunit A",20210424,-
2184265,55632243,HWA82_gp105,HWA82_gp105,E0157_117,-,-,-,NAD-dependent DNA ligase subunit B,protein-coding,-,-,-,NAD-dependent DNA ligase subunit B,20210424,-
2184265,55632244,HWA82_gp104,HWA82_gp104,E0157_118,-,-,-,D5 protein,protein-coding,-,-,-,D5 protein,20210424,-
2184265,55632245,HWA82_gp103,HWA82_gp103,E0157_119,-,-,-,D6 protein,protein-coding,-,-,-,D6 protein,20210320,-
2184265,55632246,HWA82_gp102,HWA82_gp102,E0157_120,-,-,-,H-N-H-endonuclease,protein-coding,-,-,-,H-N-H-endonuclease,20210424,-
2184265,55632247,HWA82_gp101,HWA82_gp101,E0157_121,-,-,-,DNA replication primase,protein-coding,-,-,-,DNA replication primase,20210313,-
2184265,55632248,HWA82_gp100,HWA82_gp100,E0157_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632249,HWA82_gp099,HWA82_gp099,E0157_123,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210425,-
2184265,55632250,HWA82_gp098,HWA82_gp098,E0157_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632251,HWA82_gp097,HWA82_gp097,E0157_125,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210424,-
2184265,55632252,HWA82_gp096,HWA82_gp096,E0157_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632253,HWA82_gp095,HWA82_gp095,E0157_127,-,-,-,D11 protein,protein-coding,-,-,-,D11 protein,20200620,-
2184265,55632254,HWA82_gp094,HWA82_gp094,E0157_128,-,-,-,"putative recombination endonuclease, subunit D12",protein-coding,-,-,-,"putative recombination endonuclease, subunit D12",20210424,-
2184265,55632255,HWA82_gp093,HWA82_gp093,E0157_129,-,-,-,"putative recombination endonuclease, subunit D13",protein-coding,-,-,-,"putative recombination endonuclease, subunit D13",20210424,-
2184265,55632256,HWA82_gp092,HWA82_gp092,E0157_130,-,-,-,D14 protein,protein-coding,-,-,-,D14 protein,20201010,-
2184265,55632257,HWA82_gp091,HWA82_gp091,E0157_131,-,-,-,flap endonuclease,protein-coding,-,-,-,flap endonuclease,20200905,-
2184265,55632258,HWA82_gp090,HWA82_gp090,E0157_132,-,-,-,deoxyUTP pyrophosphatase,protein-coding,-,-,-,deoxyUTP pyrophosphatase,20210306,-
2184265,55632259,HWA82_gp089,HWA82_gp089,E0157_133,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2184265,55632260,HWA82_gp088,HWA82_gp088,E0157_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632261,HWA82_gp087,HWA82_gp087,E0157_135,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2184265,55632262,HWA82_gp086,HWA82_gp086,E0157_136,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20210424,-
2184265,55632263,HWA82_gp085,HWA82_gp085,E0157_137,-,-,-,L-shaped tail fiber protein p132,protein-coding,-,-,-,L-shaped tail fiber protein p132,20200620,-
2184265,55632264,HWA82_gp084,HWA82_gp084,E0157_138,-,-,-,tail protein Pb4,protein-coding,-,-,-,tail protein Pb4,20200620,-
2184265,55632265,HWA82_gp083,HWA82_gp083,E0157_139,-,-,-,tail protein Pb3,protein-coding,-,-,-,tail protein Pb3,20210424,-
2184265,55632266,HWA82_gp082,HWA82_gp082,E0157_140,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20200620,-
2184265,55632267,HWA82_gp081,HWA82_gp081,E0157_141,-,-,-,putative pore forming tail tip protein Pb2,protein-coding,-,-,-,putative pore forming tail tip protein Pb2,20210424,-
2184265,55632268,HWA82_gp080,HWA82_gp080,E0157_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632269,HWA82_gp079,HWA82_gp079,E0157_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632270,HWA82_gp078,HWA82_gp078,E0157_144,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200620,-
2184265,55632271,HWA82_gp077,HWA82_gp077,E0157_145,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210327,-
2184265,55632272,HWA82_gp076,HWA82_gp076,E0157_146,-,-,-,tail tube terminator protein,protein-coding,-,-,-,tail tube terminator protein,20200620,-
2184265,55632273,HWA82_gp075,HWA82_gp075,E0157_147,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200620,-
2184265,55632274,HWA82_gp074,HWA82_gp074,E0157_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632275,HWA82_gp073,HWA82_gp073,E0157_149,-,-,-,major head protein precursor,protein-coding,-,-,-,major head protein precursor,20210424,-
2184265,55632276,HWA82_gp072,HWA82_gp072,E0157_150,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20210424,-
2184265,55632277,HWA82_gp071,HWA82_gp071,E0157_151,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2184265,55632278,HWA82_gp070,HWA82_gp070,E0157_152,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2184265,55632279,HWA82_gp069,HWA82_gp069,E0157_153,-,-,-,Nicking endonuclease,protein-coding,-,-,-,Nicking endonuclease,20200620,-
2184265,55632280,HWA82_gp068,HWA82_gp068,E0157_154,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210424,-
2184265,55632281,HWA82_gp067,HWA82_gp067,E0157_155,-,-,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20201010,-
2184265,55632282,HWA82_gp066,HWA82_gp066,E0157_156,-,-,-,"putative terminase, small subunit",protein-coding,-,-,-,"putative terminase, small subunit",20200620,-
2184265,55632283,HWA82_gp065,HWA82_gp065,E0157_157,-,-,-,receptor-binding tail protein,protein-coding,-,-,-,receptor-binding tail protein,20200620,-
2184265,55632284,HWA82_gp064,HWA82_gp064,E0157_158,-,-,-,lytic conversion lipoprotein precursor,protein-coding,-,-,-,lytic conversion lipoprotein precursor,20200620,-
2184265,55632285,HWA82_gp063,HWA82_gp063,E0157_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632286,HWA82_gp062,HWA82_gp062,E0157_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632287,HWA82_gp061,HWA82_gp061,E0157_161,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200620,-
2184265,55632288,HWA82_gp060,HWA82_gp060,E0157_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2184265,55632289,HWA82_gp059,HWA82_gp059,E0157_163,-,-,-,H-N-H-endonuclease,protein-coding,-,-,-,H-N-H-endonuclease,20210424,-
2184265,55632290,HWA82_gp163,HWA82_gp163,E0157_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632291,HWA82_gp162,HWA82_gp162,E0157_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632292,HWA82_gt004,HWA82_gt004,E0157_tRNA004,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632293,HWA82_gt005,HWA82_gt005,E0157_tRNA005,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632294,HWA82_gp159,HWA82_gp159,E0157_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632295,HWA82_gp158,HWA82_gp158,E0157_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632296,HWA82_gt008,HWA82_gt008,E0157_tRNA008,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632297,HWA82_gt009,HWA82_gt009,E0157_tRNA009,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632298,HWA82_gp157,HWA82_gp157,E0157_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632299,HWA82_gp156,HWA82_gp156,E0157_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632300,HWA82_gt012,HWA82_gt012,E0157_tRNA012,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632301,HWA82_gp155,HWA82_gp155,E0157_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632302,HWA82_gp154,HWA82_gp154,E0157_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632303,HWA82_gt015,HWA82_gt015,E0157_tRNA015,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632304,HWA82_gp152,HWA82_gp152,E0157_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632305,HWA82_gt017,HWA82_gt017,E0157_tRNA017,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632306,HWA82_gt018,HWA82_gt018,E0157_tRNA018,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632307,HWA82_gt019,HWA82_gt019,E0157_tRNA019,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632308,HWA82_gp151,HWA82_gp151,E0157_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632309,HWA82_gp148,HWA82_gp148,E0157_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2184265,55632310,HWA82_gt022,HWA82_gt022,E0157_tRNA022,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2184265,55632311,HWA82_gp147,HWA82_gp147,E0157_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
