#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1079999,14005267,F364_gp002,F364_gp002,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20201220,-
1079999,14005316,F364_gp051,F364_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005317,F364_gp052,F364_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005318,F364_gp053,F364_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005319,F364_gp054,F364_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005320,F364_gp055,F364_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005321,F364_gp056,F364_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005322,F364_gp057,F364_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005323,F364_gp058,F364_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005324,F364_gp059,F364_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005325,F364_gp060,F364_gp060,-,-,-,-,UvsW,protein-coding,-,-,-,UvsW,20201220,-
1079999,14005326,F364_gp061,F364_gp061,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1079999,14005327,F364_gp062,F364_gp062,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1079999,14005328,F364_gp063,F364_gp063,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1079999,14005329,F364_gp064,F364_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005330,F364_gp065,F364_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005331,F364_gp066,F364_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005332,F364_gp067,F364_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005333,F364_gp068,F364_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005334,F364_gp069,F364_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005335,F364_gp070,F364_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005336,F364_gp071,F364_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005337,F364_gp072,F364_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005338,F364_gp073,F364_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005339,F364_gp074,F364_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005340,F364_gp075,F364_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005341,F364_gp076,F364_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005342,F364_gp077,F364_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005343,F364_gp078,F364_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005344,F364_gp079,F364_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005345,F364_gp080,F364_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005346,F364_gp081,F364_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005347,F364_gp082,F364_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005348,F364_gp083,F364_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005349,F364_gp084,F364_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005350,F364_gp085,F364_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005351,F364_gp086,F364_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005352,F364_gp087,F364_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005353,F364_gp088,F364_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005354,F364_gp089,F364_gp089,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1079999,14005355,F364_gp090,F364_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005356,F364_gp091,F364_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005357,F364_gp092,F364_gp092,-,-,-,-,gp25 base plate wedge subunit,protein-coding,-,-,-,gp25 base plate wedge subunit,20201220,-
1079999,14005358,F364_gp093,F364_gp093,-,-,-,-,gp6 baseplate wedge protein,protein-coding,-,-,-,gp6 baseplate wedge protein,20201220,-
1079999,14005359,F364_gp094,F364_gp094,-,-,-,-,YadA domain structural protein,protein-coding,-,-,-,YadA domain structural protein,20201220,-
1079999,14005360,F364_gp095,F364_gp095,-,-,-,-,gp14 neck protein,protein-coding,-,-,-,gp14 neck protein,20201220,-
1079999,14005361,F364_gp096,F364_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005362,F364_gp097,F364_gp097,-,-,-,-,gp10 baseplate wedge subunit/tail protein,protein-coding,-,-,-,gp10 baseplate wedge subunit/tail protein,20201220,-
1079999,14005363,F364_gp098,F364_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005364,F364_gp099,F364_gp099,-,-,-,-,gp7 baseplate wedge initiator,protein-coding,-,-,-,gp7 baseplate wedge initiator,20201220,-
1079999,14005365,F364_gp100,F364_gp100,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1079999,14005366,F364_gp101,F364_gp101,-,-,-,-,gp14 neck protein,protein-coding,-,-,-,gp14 neck protein,20201220,-
1079999,14005367,F364_gp102,F364_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005368,F364_gp103,F364_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005369,F364_gp104,F364_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005370,F364_gp105,F364_gp105,-,-,-,-,phage tail fiber-like protein,protein-coding,-,-,-,phage tail fiber-like protein,20201220,-
1079999,14005371,F364_gp106,F364_gp106,-,-,-,-,gp13 neck protein,protein-coding,-,-,-,gp13 neck protein,20201220,-
1079999,14005372,F364_gp107,F364_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005373,F364_gp108,F364_gp108,-,-,-,-,gp15 proximal tail sheath stabilization protein,protein-coding,-,-,-,gp15 proximal tail sheath stabilization protein,20201220,-
1079999,14005374,F364_gp109,F364_gp109,-,-,-,-,small gp16 terminase DNA packaging enzyme,protein-coding,-,-,-,small gp16 terminase DNA packaging enzyme,20201220,-
1079999,14005375,F364_gp110,F364_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005376,F364_gp111,F364_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005377,F364_gp112,F364_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005378,F364_gp113,F364_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005379,F364_gp114,F364_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005380,F364_gp115,F364_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005381,F364_gp116,F364_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005382,F364_gp117,F364_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005383,F364_gp118,F364_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005384,F364_gp119,F364_gp119,-,-,-,-,PcyA ferredoxin oxidorreductase,protein-coding,-,-,-,PcyA ferredoxin oxidorreductase,20201220,-
1079999,14005385,F364_gp120,F364_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005386,F364_gp121,F364_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005387,F364_gp122,F364_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005388,F364_gp123,F364_gp123,-,-,-,-,gp17 terminase large subunit,protein-coding,-,-,-,gp17 terminase large subunit,20201220,-
1079999,14005389,F364_gp124,F364_gp124,-,-,-,-,gp18 tail sheath monomer protein,protein-coding,-,-,-,gp18 tail sheath monomer protein,20201220,-
1079999,14005390,F364_gp125,F364_gp125,-,-,-,-,tail tube gp3 head-proximal tip protein,protein-coding,-,-,-,tail tube gp3 head-proximal tip protein,20201220,-
1079999,14005391,F364_gp126,F364_gp126,-,-,-,-,gp20' portal vertex head protein,protein-coding,-,-,-,gp20' portal vertex head protein,20201220,-
1079999,14005392,F364_gp127,F364_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005393,F364_gp128,F364_gp128,-,-,-,-,gp21 prohead core scaffold protease,protein-coding,-,-,-,gp21 prohead core scaffold protease,20201220,-
1079999,14005394,F364_gp129,F364_gp129,-,-,-,-,gp22 scaffold prohead core protein,protein-coding,-,-,-,gp22 scaffold prohead core protein,20201220,-
1079999,14005395,F364_gp130,F364_gp130,-,-,-,-,head vertex subunit gp24 precursor,protein-coding,-,-,-,head vertex subunit gp24 precursor,20201220,-
1079999,14005396,F364_gp131,F364_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005397,F364_gp132,F364_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005398,F364_gp133,F364_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005399,F364_gp134,F364_gp134,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201220,-
1079999,14005400,F364_gp135,F364_gp135,-,-,-,-,gp19 tail tube monomer protein,protein-coding,-,-,-,gp19 tail tube monomer protein,20201220,-
1079999,14005401,F364_gp136,F364_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005402,F364_gp137,F364_gp137,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20201220,-
1079999,14005403,F364_gp138,F364_gp138,-,-,-,-,UvsW,protein-coding,-,-,-,UvsW,20201220,-
1079999,14005404,F364_gp139,F364_gp139,-,-,-,-,methylamine protein,protein-coding,-,-,-,methylamine protein,20201220,-
1079999,14005405,F364_gp140,F364_gp140,-,-,-,-,late transcription gp55 sigma factor,protein-coding,-,-,-,late transcription gp55 sigma factor,20201220,-
1079999,14005406,F364_gp141,F364_gp141,-,-,-,-,late transcription gp55 sigma factor,protein-coding,-,-,-,late transcription gp55 sigma factor,20201220,-
1079999,14005407,F364_gp142,F364_gp142,-,-,-,-,gp47 recombination endonuclease subunit,protein-coding,-,-,-,gp47 recombination endonuclease subunit,20201220,-
1079999,14005408,F364_gp143,F364_gp143,-,-,-,-,gp47 recombination endonuclease subunit,protein-coding,-,-,-,gp47 recombination endonuclease subunit,20201220,-
1079999,14005409,F364_gp144,F364_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005410,F364_gp145,F364_gp145,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20201220,-
1079999,14005411,F364_gp146,F364_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005412,F364_gp147,F364_gp147,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201220,-
1079999,14005413,F364_gp148,F364_gp148,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201220,-
1079999,14005414,F364_gp149,F364_gp149,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201220,-
1079999,14005415,F364_gp150,F364_gp150,-,-,-,-,CobS porphyrin biosynthetic protein,protein-coding,-,-,-,CobS porphyrin biosynthetic protein,20201220,-
1079999,14005416,F364_gp151,F364_gp151,-,-,-,-,CobS porphyrin biosynthetic protein,protein-coding,-,-,-,CobS porphyrin biosynthetic protein,20201220,-
1079999,14005417,F364_gp152,F364_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005418,F364_gp153,F364_gp153,-,-,-,-,gp45 sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,gp45 sliding clamp DNA polymerase accessory protein,20201220,-
1079999,14005419,F364_gp154,F364_gp154,-,-,-,-,gp44 clamp loader subunit,protein-coding,-,-,-,gp44 clamp loader subunit,20201220,-
1079999,14005420,F364_gp155,F364_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005421,F364_gp156,F364_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005422,F364_gp157,F364_gp157,-,-,-,-,Dam DNA adenine methylase,protein-coding,-,-,-,Dam DNA adenine methylase,20201220,-
1079999,14005423,F364_gp158,F364_gp158,-,-,-,-,Dam DNA adenine methylase,protein-coding,-,-,-,Dam DNA adenine methylase,20201220,-
1079999,14005424,F364_gp159,F364_gp159,-,-,-,-,gp62 clamp loader subunit,protein-coding,-,-,-,gp62 clamp loader subunit,20201220,-
1079999,14005425,F364_gp160,F364_gp160,-,-,-,-,RegA endoribonulcease translational protein,protein-coding,-,-,-,RegA endoribonulcease translational protein,20201220,-
1079999,14005426,F364_gp161,F364_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005427,F364_gp162,F364_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005428,F364_gp163,F364_gp163,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20201220,-
1079999,14005429,F364_gp164,F364_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005430,F364_gp165,F364_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005431,F364_gp166,F364_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005432,F364_gp167,F364_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005433,F364_gp168,F364_gp168,-,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20201220,-
1079999,14005434,F364_gp169,F364_gp169,-,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20201220,-
1079999,14005435,F364_gp170,F364_gp170,-,-,-,-,DUF1583,protein-coding,-,-,-,DUF1583,20201220,-
1079999,14005436,F364_gp171,F364_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005437,F364_gp172,F364_gp172,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201220,-
1079999,14005438,F364_gp173,F364_gp173,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201220,-
1079999,14005439,F364_gp174,F364_gp174,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201220,-
1079999,14005440,F364_gp175,F364_gp175,-,-,-,-,gp43 DNA polymerase,protein-coding,-,-,-,gp43 DNA polymerase,20201220,-
1079999,14005441,F364_gp176,F364_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005442,F364_gp177,F364_gp177,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20201220,-
1079999,14005443,F364_gp178,F364_gp178,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20201220,-
1079999,14005444,F364_gp179,F364_gp179,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201220,-
1079999,14005445,F364_gp180,F364_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005446,F364_gp181,F364_gp181,-,-,-,-,MazG pyrophosphatase,protein-coding,-,-,-,MazG pyrophosphatase,20201220,-
1079999,14005447,F364_gp182,F364_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005448,F364_gp183,F364_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005449,F364_gp184,F364_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005450,F364_gp185,F364_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005451,F364_gp186,F364_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005452,F364_gp187,F364_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005453,F364_gp188,F364_gp188,-,-,-,-,NrdB ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdB ribonucleotide reductase A subunit,20201220,-
1079999,14005454,F364_gp189,F364_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005455,F364_gp190,F364_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005456,F364_gp191,F364_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005457,F364_gp192,F364_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005458,F364_gp193,F364_gp193,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201220,-
1079999,14005459,F364_gp194,F364_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005460,F364_gp195,F364_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005461,F364_gp196,F364_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005462,F364_gp197,F364_gp197,-,-,-,-,gp61 DNA primase subunit,protein-coding,-,-,-,gp61 DNA primase subunit,20201220,-
1079999,14005463,F364_gp198,F364_gp198,-,-,-,-,gp61 DNA primase subunit,protein-coding,-,-,-,gp61 DNA primase subunit,20201220,-
1079999,14005464,F364_gp199,F364_gp199,-,-,-,-,NrdA ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdA ribonucleotide reductase A subunit,20201220,-
1079999,14005465,F364_gp200,F364_gp200,-,-,-,-,NrdA ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdA ribonucleotide reductase A subunit,20201220,-
1079999,14005466,F364_gp201,F364_gp201,-,-,-,-,NrdA ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdA ribonucleotide reductase A subunit,20201220,-
1079999,14005467,F364_gp202,F364_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1079999,14005468,F364_gp203,F364_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
